attempts,child_run_id,chunk_id,estimated_cost,finished_utc,gpu_device,log_path,max_frames,max_tracks,message,row_count,rows,stage,started_utc,status,wall_time_s
1,nightly_1080ti_20260604T231033Z_agreement_0000_cuda0,agreement_0000,2,2026-06-04T23:10:39.023957+00:00,cuda:0,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/agreement_0000_cuda0.log,200,2,ok,2,"['R2:L0:I0:T6', 'R2:L2:I3:T6']",agreement,2026-06-04T23:10:34.397008+00:00,done,4.625075085001299
1,nightly_1080ti_20260604T231033Z_agreement_0001_cuda1,agreement_0001,2,2026-06-04T23:10:39.479125+00:00,cuda:1,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/agreement_0001_cuda1.log,200,2,ok,2,"['R4:L8:I1+I2+I3+I8:T8', 'R4:L14:I1+I2+I3+I8:T8']",agreement,2026-06-04T23:10:34.398806+00:00,done,5.074652872004663
2,nightly_1080ti_20260604T231033Z_partial_raw_0000_cuda0,partial_raw_0000,32,2026-06-04T23:14:45.025413+00:00,cuda:0,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0000_cuda0.log,0,0,ok,4,"['R2:L0:I0:T6', 'R2:L0:I0:T8', 'R2:L0:I1:T6', 'R2:L0:I1:T8']",partial_raw,2026-06-04T23:12:33.319107+00:00,done,131.70454455299478
2,nightly_1080ti_20260604T231033Z_partial_raw_0001_cuda1,partial_raw_0001,32,2026-06-04T23:14:46.677521+00:00,cuda:1,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0001_cuda1.log,0,0,ok,4,"['R2:L0:I3:T6', 'R2:L0:I3:T8', 'R2:L0:I4:T6', 'R2:L0:I4:T8']",partial_raw,2026-06-04T23:12:33.320747+00:00,done,133.35431623300246
2,nightly_1080ti_20260604T231033Z_partial_raw_0002_cuda0,partial_raw_0002,32,2026-06-04T23:16:57.994446+00:00,cuda:0,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0002_cuda0.log,0,0,ok,4,"['R2:L0:I7:T6', 'R2:L0:I7:T8', 'R2:L0:I8:T6', 'R2:L0:I8:T8']",partial_raw,2026-06-04T23:14:45.028780+00:00,done,132.96101088199066
2,nightly_1080ti_20260604T231033Z_partial_raw_0003_cuda1,partial_raw_0003,32,2026-06-04T23:16:59.346914+00:00,cuda:1,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0003_cuda1.log,0,0,ok,4,"['R2:L0:I1+I3+I7:T6', 'R2:L0:I1+I3+I7:T8', 'R2:L0:I1+I2+I3+I8:T6', 'R2:L0:I1+I2+I3+I8:T8']",partial_raw,2026-06-04T23:14:46.680164+00:00,done,132.66212352000002
2,nightly_1080ti_20260604T231033Z_partial_raw_0004_cuda0,partial_raw_0004,32,2026-06-04T23:19:12.359743+00:00,cuda:0,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0004_cuda0.log,0,0,ok,4,"['R2:L1:I0:T6', 'R2:L1:I0:T8', 'R2:L1:I1:T6', 'R2:L1:I1:T8']",partial_raw,2026-06-04T23:16:57.996813+00:00,done,134.35801271699893
2,nightly_1080ti_20260604T231033Z_partial_raw_0005_cuda1,partial_raw_0005,32,2026-06-04T23:19:13.561884+00:00,cuda:1,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0005_cuda1.log,0,0,ok,4,"['R2:L1:I3:T6', 'R2:L1:I3:T8', 'R2:L1:I4:T6', 'R2:L1:I4:T8']",partial_raw,2026-06-04T23:16:59.349408+00:00,done,134.20781122600602
2,nightly_1080ti_20260604T231033Z_partial_raw_0006_cuda0,partial_raw_0006,32,2026-06-04T23:21:26.926081+00:00,cuda:0,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0006_cuda0.log,0,0,ok,4,"['R2:L1:I7:T6', 'R2:L1:I7:T8', 'R2:L1:I8:T6', 'R2:L1:I8:T8']",partial_raw,2026-06-04T23:19:12.362032+00:00,done,134.55923724200693
2,nightly_1080ti_20260604T231033Z_partial_raw_0007_cuda1,partial_raw_0007,32,2026-06-04T23:21:26.325139+00:00,cuda:1,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0007_cuda1.log,0,0,ok,4,"['R2:L1:I1+I3+I7:T6', 'R2:L1:I1+I3+I7:T8', 'R2:L1:I1+I2+I3+I8:T6', 'R2:L1:I1+I2+I3+I8:T8']",partial_raw,2026-06-04T23:19:13.564519+00:00,done,132.75589518700144
2,nightly_1080ti_20260604T231033Z_partial_raw_0008_cuda1,partial_raw_0008,32,2026-06-04T23:23:43.448522+00:00,cuda:1,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0008_cuda1.log,0,0,ok,4,"['R2:L2:I0:T6', 'R2:L2:I0:T8', 'R2:L2:I1:T6', 'R2:L2:I1:T8']",partial_raw,2026-06-04T23:21:26.328772+00:00,done,137.11514453199925
2,nightly_1080ti_20260604T231033Z_partial_raw_0009_cuda0,partial_raw_0009,32,2026-06-04T23:23:43.296895+00:00,cuda:0,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0009_cuda0.log,0,0,ok,4,"['R2:L2:I3:T6', 'R2:L2:I3:T8', 'R2:L2:I4:T6', 'R2:L2:I4:T8']",partial_raw,2026-06-04T23:21:26.929249+00:00,done,136.36339356600365
2,nightly_1080ti_20260604T231033Z_partial_raw_0010_cuda0,partial_raw_0010,32,2026-06-04T23:25:58.113811+00:00,cuda:0,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0010_cuda0.log,0,0,ok,4,"['R2:L2:I7:T6', 'R2:L2:I7:T8', 'R2:L2:I8:T6', 'R2:L2:I8:T8']",partial_raw,2026-06-04T23:23:43.299265+00:00,done,134.8097905330069
2,nightly_1080ti_20260604T231033Z_partial_raw_0011_cuda1,partial_raw_0011,32,2026-06-04T23:26:01.818249+00:00,cuda:1,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0011_cuda1.log,0,0,ok,4,"['R2:L2:I1+I3+I7:T6', 'R2:L2:I1+I3+I7:T8', 'R2:L2:I1+I2+I3+I8:T6', 'R2:L2:I1+I2+I3+I8:T8']",partial_raw,2026-06-04T23:23:43.450911+00:00,done,138.3658022640011
2,nightly_1080ti_20260604T231033Z_partial_raw_0012_cuda0,partial_raw_0012,32,2026-06-04T23:28:14.689587+00:00,cuda:0,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0012_cuda0.log,0,0,ok,4,"['R2:L3:I0:T6', 'R2:L3:I0:T8', 'R2:L3:I1:T6', 'R2:L3:I1:T8']",partial_raw,2026-06-04T23:25:58.116387+00:00,done,136.56858955200005
2,nightly_1080ti_20260604T231033Z_partial_raw_0013_cuda1,partial_raw_0013,32,2026-06-04T23:28:18.393277+00:00,cuda:1,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0013_cuda1.log,0,0,ok,4,"['R2:L3:I3:T6', 'R2:L3:I3:T8', 'R2:L3:I4:T6', 'R2:L3:I4:T8']",partial_raw,2026-06-04T23:26:01.820723+00:00,done,136.57094974198844
2,nightly_1080ti_20260604T231033Z_partial_raw_0014_cuda0,partial_raw_0014,32,2026-06-04T23:30:34.715570+00:00,cuda:0,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0014_cuda0.log,0,0,ok,4,"['R2:L3:I7:T6', 'R2:L3:I7:T8', 'R2:L3:I8:T6', 'R2:L3:I8:T8']",partial_raw,2026-06-04T23:28:14.693085+00:00,done,140.01770656999724
2,nightly_1080ti_20260604T231033Z_partial_raw_0015_cuda1,partial_raw_0015,32,2026-06-04T23:30:38.870764+00:00,cuda:1,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0015_cuda1.log,0,0,ok,4,"['R2:L3:I1+I3+I7:T6', 'R2:L3:I1+I3+I7:T8', 'R2:L3:I1+I2+I3+I8:T6', 'R2:L3:I1+I2+I3+I8:T8']",partial_raw,2026-06-04T23:28:18.395987+00:00,done,140.47012292999716
3,nightly_1080ti_20260604T231033Z_partial_raw_0016_cuda0,partial_raw_0016,32,2026-06-04T23:35:06.186338+00:00,cuda:0,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0016_cuda0.log,0,0,ok,4,"['R2:L4:I0:T6', 'R2:L4:I0:T8', 'R2:L4:I1:T6', 'R2:L4:I1:T8']",partial_raw,2026-06-04T23:32:20.459163+00:00,done,165.72506943400367
3,nightly_1080ti_20260604T231033Z_partial_raw_0017_cuda0,partial_raw_0017,32,2026-06-04T23:35:06.543127+00:00,cuda:0,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0017_cuda0.log,0,0,ok,4,"['R2:L4:I3:T6', 'R2:L4:I3:T8', 'R2:L4:I4:T6', 'R2:L4:I4:T8']",partial_raw,2026-06-04T23:32:20.461162+00:00,done,166.07948986600968
2,nightly_1080ti_20260604T231033Z_partial_raw_0018_cuda0,partial_raw_0018,32,2026-06-04T23:35:11.105465+00:00,cuda:0,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0018_cuda0.log,0,0,ok,4,"['R2:L4:I7:T6', 'R2:L4:I7:T8', 'R2:L4:I8:T6', 'R2:L4:I8:T8']",partial_raw,2026-06-04T23:32:20.463507+00:00,done,170.64012889900187
2,nightly_1080ti_20260604T231033Z_partial_raw_0019_cuda1,partial_raw_0019,32,2026-06-04T23:35:08.491566+00:00,cuda:1,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0019_cuda1.log,0,0,ok,4,"['R2:L4:I1+I3+I7:T6', 'R2:L4:I1+I3+I7:T8', 'R2:L4:I1+I2+I3+I8:T6', 'R2:L4:I1+I2+I3+I8:T8']",partial_raw,2026-06-04T23:32:20.465312+00:00,done,168.0242840179999
2,nightly_1080ti_20260604T231033Z_partial_raw_0020_cuda1,partial_raw_0020,32,2026-06-04T23:35:10.313679+00:00,cuda:1,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0020_cuda1.log,0,0,ok,4,"['R2:L5:I0:T6', 'R2:L5:I0:T8', 'R2:L5:I1:T6', 'R2:L5:I1:T8']",partial_raw,2026-06-04T23:32:20.467158+00:00,done,169.84429181800806
2,nightly_1080ti_20260604T231033Z_partial_raw_0021_cuda1,partial_raw_0021,32,2026-06-04T23:35:04.908981+00:00,cuda:1,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0021_cuda1.log,0,0,ok,4,"['R2:L5:I3:T6', 'R2:L5:I3:T8', 'R2:L5:I4:T6', 'R2:L5:I4:T8']",partial_raw,2026-06-04T23:32:20.469315+00:00,done,164.4365977760026
2,nightly_1080ti_20260604T231033Z_partial_raw_0022_cuda1,partial_raw_0022,32,2026-06-04T23:37:44.234708+00:00,cuda:1,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0022_cuda1.log,0,0,ok,4,"['R2:L5:I7:T6', 'R2:L5:I7:T8', 'R2:L5:I8:T6', 'R2:L5:I8:T8']",partial_raw,2026-06-04T23:35:04.913256+00:00,done,159.31735433801077
2,nightly_1080ti_20260604T231033Z_partial_raw_0023_cuda0,partial_raw_0023,32,2026-06-04T23:37:50.191905+00:00,cuda:0,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0023_cuda0.log,0,0,ok,4,"['R2:L5:I1+I3+I7:T6', 'R2:L5:I1+I3+I7:T8', 'R2:L5:I1+I2+I3+I8:T6', 'R2:L5:I1+I2+I3+I8:T8']",partial_raw,2026-06-04T23:35:06.190180+00:00,done,163.9976314509986
2,nightly_1080ti_20260604T231033Z_partial_raw_0024_cuda0,partial_raw_0024,32,2026-06-04T23:37:50.766302+00:00,cuda:0,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0024_cuda0.log,0,0,ok,4,"['R2:L7:I0:T6', 'R2:L7:I0:T8', 'R2:L7:I1:T6', 'R2:L7:I1:T8']",partial_raw,2026-06-04T23:35:06.547159+00:00,done,164.21487608199823
2,nightly_1080ti_20260604T231033Z_partial_raw_0025_cuda1,partial_raw_0025,32,2026-06-04T23:37:54.166223+00:00,cuda:1,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0025_cuda1.log,0,0,ok,4,"['R2:L7:I3:T6', 'R2:L7:I3:T8', 'R2:L7:I4:T6', 'R2:L7:I4:T8']",partial_raw,2026-06-04T23:35:08.495940+00:00,done,165.66606732500077
2,nightly_1080ti_20260604T231033Z_partial_raw_0026_cuda1,partial_raw_0026,32,2026-06-04T23:37:55.585500+00:00,cuda:1,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0026_cuda1.log,0,0,ok,4,"['R2:L7:I7:T6', 'R2:L7:I7:T8', 'R2:L7:I8:T6', 'R2:L7:I8:T8']",partial_raw,2026-06-04T23:35:10.318833+00:00,done,165.2637058429973
2,nightly_1080ti_20260604T231033Z_partial_raw_0027_cuda0,partial_raw_0027,32,2026-06-04T23:37:59.442208+00:00,cuda:0,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0027_cuda0.log,0,0,ok,4,"['R2:L7:I1+I3+I7:T6', 'R2:L7:I1+I3+I7:T8', 'R2:L7:I1+I2+I3+I8:T6', 'R2:L7:I1+I2+I3+I8:T8']",partial_raw,2026-06-04T23:35:11.109489+00:00,done,168.32847871800186
2,nightly_1080ti_20260604T231033Z_partial_raw_0028_cuda1,partial_raw_0028,32,2026-06-04T23:40:26.983843+00:00,cuda:1,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0028_cuda1.log,0,0,ok,4,"['R2:L8:I0:T6', 'R2:L8:I0:T8', 'R2:L8:I1:T6', 'R2:L8:I1:T8']",partial_raw,2026-06-04T23:37:44.238860+00:00,done,162.7426193049905
2,nightly_1080ti_20260604T231033Z_partial_raw_0029_cuda0,partial_raw_0029,32,2026-06-04T23:40:35.027966+00:00,cuda:0,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0029_cuda0.log,0,0,ok,4,"['R2:L8:I3:T6', 'R2:L8:I3:T8', 'R2:L8:I4:T6', 'R2:L8:I4:T8']",partial_raw,2026-06-04T23:37:50.196803+00:00,done,164.82710452200263
