chunk_id,stage,row_spec,R,L,I,T,status,max_tracks,max_frames
agreement_0000,agreement,R2:L0:I0:T6,R2,L0,I0,T6,done,2,200
agreement_0000,agreement,R2:L2:I3:T6,R2,L2,I3,T6,done,2,200
agreement_0001,agreement,R4:L8:I1+I2+I3+I8:T8,R4,L8,I1+I2+I3+I8,T8,done,2,200
agreement_0001,agreement,R4:L14:I1+I2+I3+I8:T8,R4,L14,I1+I2+I3+I8,T8,done,2,200
partial_raw_0000,partial_raw,R2:L0:I0:T6,R2,L0,I0,T6,done,0,0
partial_raw_0000,partial_raw,R2:L0:I0:T8,R2,L0,I0,T8,done,0,0
partial_raw_0000,partial_raw,R2:L0:I1:T6,R2,L0,I1,T6,done,0,0
partial_raw_0000,partial_raw,R2:L0:I1:T8,R2,L0,I1,T8,done,0,0
partial_raw_0001,partial_raw,R2:L0:I3:T6,R2,L0,I3,T6,done,0,0
partial_raw_0001,partial_raw,R2:L0:I3:T8,R2,L0,I3,T8,done,0,0
partial_raw_0001,partial_raw,R2:L0:I4:T6,R2,L0,I4,T6,done,0,0
partial_raw_0001,partial_raw,R2:L0:I4:T8,R2,L0,I4,T8,done,0,0
partial_raw_0002,partial_raw,R2:L0:I7:T6,R2,L0,I7,T6,done,0,0
partial_raw_0002,partial_raw,R2:L0:I7:T8,R2,L0,I7,T8,done,0,0
partial_raw_0002,partial_raw,R2:L0:I8:T6,R2,L0,I8,T6,done,0,0
partial_raw_0002,partial_raw,R2:L0:I8:T8,R2,L0,I8,T8,done,0,0
partial_raw_0003,partial_raw,R2:L0:I1+I3+I7:T6,R2,L0,I1+I3+I7,T6,done,0,0
partial_raw_0003,partial_raw,R2:L0:I1+I3+I7:T8,R2,L0,I1+I3+I7,T8,done,0,0
partial_raw_0003,partial_raw,R2:L0:I1+I2+I3+I8:T6,R2,L0,I1+I2+I3+I8,T6,done,0,0
partial_raw_0003,partial_raw,R2:L0:I1+I2+I3+I8:T8,R2,L0,I1+I2+I3+I8,T8,done,0,0
partial_raw_0004,partial_raw,R2:L1:I0:T6,R2,L1,I0,T6,done,0,0
partial_raw_0004,partial_raw,R2:L1:I0:T8,R2,L1,I0,T8,done,0,0
partial_raw_0004,partial_raw,R2:L1:I1:T6,R2,L1,I1,T6,done,0,0
partial_raw_0004,partial_raw,R2:L1:I1:T8,R2,L1,I1,T8,done,0,0
partial_raw_0005,partial_raw,R2:L1:I3:T6,R2,L1,I3,T6,done,0,0
partial_raw_0005,partial_raw,R2:L1:I3:T8,R2,L1,I3,T8,done,0,0
partial_raw_0005,partial_raw,R2:L1:I4:T6,R2,L1,I4,T6,done,0,0
