capture,pair,gt_dist,N,median,mean,bias_median,std,p25,p75,status
W01,BSCCF4-BS9336,670.0,1198,622.9815825905689,622.686527297621,-47.018417409431095,76.3424647245774,573.9163187301956,671.5517300863647,ok_time_aligned
W01,BSCCF4-BS955A,659.7,1198,582.0250888103299,582.7551817013958,-77.67491118967018,26.07077495232492,565.5814518297628,598.1054193966414,ok_time_aligned
W01,BS9336-BS955A,708.7,1198,796.7211067012365,798.2115097249317,88.02110670123648,59.998073571884795,757.7814462296159,837.338348190422,ok_time_aligned
W02,BSCCF4-BS9336,670.0,1199,678.3084727440752,681.5277531925927,8.308472744075175,59.74816937963495,642.0696892689091,716.7547429176499,ok_time_aligned
W02,BSCCF4-BS955A,659.7,1199,708.7000989230716,711.5676623903324,49.000098923071505,41.098855326484326,683.2749760846659,738.5930724559773,ok_time_aligned
W02,BS9336-BS955A,708.7,1199,651.5427846971432,652.8993219208642,-57.1572153028568,46.53804291613476,622.5194480815991,683.5272121348208,ok_time_aligned
W04,BSCCF4-BS9336,670.0,1199,694.4011570257647,694.7919623748703,24.401157025764746,59.970755103320315,655.6135352229032,733.9364740717467,ok_time_aligned
W04,BSCCF4-BS955A,659.7,1199,703.9120078973343,709.5356722031709,44.212007897334274,49.555661388601884,674.8625412201338,740.7972149498453,ok_time_aligned
W04,BS9336-BS955A,708.7,1199,699.4753787863544,702.075947851391,-9.224621213645605,45.11223234317696,671.1259794840839,732.6861884207115,ok_time_aligned
W05,BSCCF4-BS9336,670.0,1799,711.4180671924037,729.6441445121445,41.41806719240367,149.95211511790117,632.5253302964002,816.9060856921335,ok_time_aligned
W05,BSCCF4-BS955A,659.7,1799,671.3496144316374,691.5641328094164,11.64961443163736,152.91688556758484,595.7598755292531,774.0364475106535,ok_time_aligned
W05,BS9336-BS955A,708.7,1799,743.5784901724372,758.1854923372628,34.87849017243718,151.56260659908037,669.2777498208902,837.1636846639308,ok_time_aligned
