pair,v1_mean,v2_ivw,v3_mvue,v2_minus_v1,v3_minus_v1,sigma_ab_mad,sigma_ba_mad,n_ab,n_ba
A-B,3007.088,3007.7013447106315,3006.486131386861,0.6133447106312815,-0.6018686131392315,28.1694,26.686799999999998,1000,1000
A-C,5537.676,5536.912411630771,5535.260273972603,-0.7635883692291827,-2.4157260273977954,19.273799999999998,20.7564,1000,1000
A-D,4676.4445,4674.777691479871,4672.607634652258,-1.6668085201290523,-3.8368653477418775,37.8063,41.5128,1000,1000
A-E,1463.483,1459.2793628172387,1459.711513583441,-4.203637182761213,-3.7714864165589006,25.2042,32.6172,1000,1000
A-F,3196.3945,3196.0696072410005,3195.640533582963,-0.32489275899934,-0.753966417036736,42.2541,23.7216,1000,1000
A-G,5759.797,5760.702469295121,5761.613793103448,0.9054692951212928,1.8167931034486173,26.686799999999998,23.7216,1000,1000
A-H,4858.948,4860.01089695139,4860.33524948264,1.0628969513900302,1.3872494826400725,37.065,31.875899999999998,1000,1000
B-C,4571.0895,4571.094408056716,4570.5,0.004908056715976272,-0.5895000000000437,29.651999999999997,29.651999999999997,1000,1000
B-D,5439.381,5437.495530718181,5435.75088715401,-1.8854692818194962,-3.63011284598997,41.5128,37.065,1000,1000
B-E,3214.588,3214.6668645737,3214.52700729927,0.07886457369977506,-0.06099270073036678,28.1694,26.686799999999998,1000,1000
B-F,1442.35,1438.6837826946044,1439.1965317919075,-3.6662173053955485,-3.153468208092363,22.238999999999997,16.3086,1000,1000
B-G,5006.028,5003.545488251195,5004.715923566879,-2.4825117488053365,-1.3120764331215469,40.0302,42.9954,1000,1000
B-H,5659.838,5659.977698054553,5659.000000000001,0.13969805455326423,-0.8379999999988286,19.273799999999998,19.273799999999998,1000,1000
C-D,3127.2775,3123.133299028347,3121.7760252365933,-4.1442009716529356,-5.501474763406804,42.9954,33.3585,1000,1000
C-E,5670.7815,5670.774901279054,5671.238894373149,-0.006598720946385583,0.4573943731493273,16.3086,17.049899999999997,1000,1000
C-F,4803.5415,4803.066106878616,4802.762264150943,-0.4753931213845135,-0.7792358490569313,17.7912,16.3086,1000,1000
C-G,1733.8835,1735.2157802622798,1735.331681205393,1.3322802622799372,1.4481812053929843,21.4977,30.3933,1000,1000
C-H,3455.9555,3455.635989254498,3454.4298642533936,-0.3195107455021571,-1.52563574660644,32.6172,29.651999999999997,1000,1000
D-E,5099.0235,5093.943982937109,5094.889391979302,-5.079517062891682,-4.134108020698477,25.2042,32.6172,1000,1000
D-F,5592.5365,5593.208960148526,5592.598503740649,0.6724601485257153,0.06200374064883363,31.1346,28.1694,1000,1000
D-G,3276.221,3277.3742684590366,3277.6376470588234,1.1532684590365534,1.4166470588234006,23.7216,19.273799999999998,1000,1000
D-H,1528.5645,1525.5077073306318,1522.3414287967196,-3.0567926693681784,-6.2230712032803694,48.1845,34.099799999999995,1000,1000
E-F,2791.712,2791.1806489083565,2790.9452054794524,-0.5313510916435007,-0.7667945205475917,20.7564,19.273799999999998,1000,1000
E-G,5604.9755,5605.087149552543,5604.619808306709,0.11164955254389497,-0.3556916932902823,17.7912,19.273799999999998,1000,1000
E-H,4572.044,4572.759549727062,4569.644412191582,0.7155497270623528,-2.399587808417891,29.651999999999997,25.2042,1000,1000
F-G,4657.457,4657.452770511592,4657.460063897764,-0.004229488408782345,0.003063897763240675,19.273799999999998,17.7912,1000,1000
F-H,5454.796,5455.09136514955,5457.486131386861,0.29536514954997983,2.6901313868611396,28.1694,26.686799999999998,1000,1000
G-H,2940.7725,2941.3277433196713,2940.8140293637844,0.5552433196712627,0.041529363784320594,26.686799999999998,25.2042,1000,1000
