ID,path,group,height,facing,status,N,mean_x,mean_y,mean_z,x_std,y_std,z_std,std_3d
ID12,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID12_20260513_154958,edge_high,high,ADHE,ok,601,722.9127761013115,2467.5536160557467,-1447.471590783763,32.546702970238975,32.5493252632138,55.98384121224249,72.47714761358253
ID13,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID13_20260513_161529,center_mid,mid,ABEF,ok,601,1451.0731315079136,2558.467938370689,-1099.0512673300232,43.711288519513545,20.544948407547682,98.59058201754239,109.78558426160834
ID14,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID14_20260513_161800,center_mid,mid,BCGF,ok,600,1368.2801557525572,2583.6668741021654,-1165.5287440483194,31.589998522764315,19.70291696698174,40.25211857388189,54.83033825686174
ID15,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID15_20260513_162010,center_mid,mid,CDHG,ok,600,1442.5143433117503,2577.0895002468196,-1111.962656023121,40.473096364882196,19.583411647572976,60.53754689843968,75.40806406214206
ID16,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID16_20260513_162320,center_mid,mid,ADHE,ok,601,1407.512730948634,2555.3432276379435,-1203.012817489619,42.07938267638862,27.72038855733866,40.43329669329384,64.60608229635746
ID17,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID17_20260513_161228,center_low,low,ABEF,ok,601,1253.3304088805862,2514.2303367236873,-65.01335160775186,42.18432209368966,31.109070612415582,105.83646540441681,118.10439752258478
ID18,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID18_20260513_161018,center_low,low,BCGF,ok,601,1413.0796811044538,2357.742444620352,-114.08438875016401,53.060394584507236,29.5745999979277,60.980537934564005,86.0737384182297
ID19,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID19_20260513_160549,center_low,low,CDHG,ok,601,1498.9747677027422,2583.0609467172835,-26.903793615045693,44.32291211779131,19.679095549039133,54.00801456635909,72.58548737612581
ID20,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID20_20260513_160806,center_low,low,ADHE,ok,601,1419.09260682519,2698.203850505673,-160.41156274235283,36.82991631915311,18.73300787704764,62.33948826080723,74.79024078592522
ID21,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID21_20260513_155713,center_high,high,ABEF,ok,600,1412.6168284112441,2492.0469800798023,-1552.0484739117912,34.143222182868705,20.826431531021647,51.23183951454825,64.99385548949607
ID22,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID22_20260513_160059,center_high,high,BCGF,ok,601,1397.9906803967874,2472.753824933577,-1592.2892283428896,40.27042372194304,30.851209099830573,61.96196158679214,80.07989019316527
ID23,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID23_20260513_160315,center_high,high,CDHG,ok,601,1432.6835935574186,2512.7464643970816,-1571.8796952313262,37.730066088185175,24.67740923845864,51.20170951672674,68.22131244102864
ID24,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID24_20260513_155348,center_high,high,ADHE,ok,601,1387.9272974201788,2509.1962964530862,-1541.3783051139403,42.83401055012373,25.129654599190843,68.09965977463808,84.28413647599531
