pair,a,b,n_ab,n_ba,med_ab,med_ba,mad_ab,mad_ba,asymmetry,v1_fused,v3_fused,v1_v3_diff
AB,A,B,1000,1000,2997.0,3015.0,28.1694,26.686799999999998,18.0,3007.088,3006.4861313868614,0.6018686131387767
AC,A,C,1000,1000,5526.0,5546.0,19.273799999999998,20.7564,20.0,5537.676,5535.260273972602,2.415726027398705
AD,A,D,1000,1000,4661.5,4686.0,37.8063,41.5128,24.5,4676.4445,4672.607634652257,3.836865347742787
AE,A,E,1000,1000,1447.0,1481.0,25.2042,32.6172,34.0,1463.483,1459.7115135834413,3.7714864165586732
AF,A,F,1000,1000,3194.5,3196.0,42.2541,23.7216,1.5,3196.3945,3195.6405335829627,0.7539664170371907
AG,A,G,1000,1000,5751.0,5770.0,26.686799999999998,23.7216,19.0,5759.797,5761.613793103447,-1.8167931034477078
AH,A,H,1000,1000,4852.0,4866.5,37.065,31.875899999999998,14.5,4858.948,4860.335249482639,-1.3872494826382535
BC,B,C,1000,1000,4570.0,4571.0,29.651999999999997,29.651999999999997,1.0,4571.0895,4570.5,0.5895000000000437
BD,B,D,1000,1000,5453.0,5422.0,41.5128,37.065,31.0,5439.381,5435.750887154009,3.6301128459908796
BE,B,E,1000,1000,3214.0,3215.0,28.1694,26.686799999999998,1.0,3214.588,3214.5270072992703,0.06099270072991203
BF,B,F,1000,1000,1447.0,1435.0,22.238999999999997,16.3086,12.0,1442.35,1439.1965317919075,3.153468208092363
BG,B,G,1000,1000,4988.0,5024.0,40.0302,42.9954,36.0,5006.028,5004.715923566879,1.3120764331215469
BH,B,H,1000,1000,5649.0,5669.0,19.273799999999998,19.273799999999998,20.0,5659.838,5659.0,0.8379999999997381
CD,C,D,1000,1000,3143.0,3109.0,42.9954,33.3585,34.0,3127.2775,3121.7760252365933,5.501474763406804
CE,C,E,1000,1000,5671.0,5671.5,16.3086,17.049899999999997,0.5,5670.7815,5671.2388943731485,-0.4573943731484178
CF,C,F,1000,1000,4812.0,4795.0,17.7912,16.3086,17.0,4803.5415,4802.762264150943,0.7792358490569313
CG,C,G,1000,1000,1739.5,1727.0,21.4977,30.3933,12.5,1733.8835,1735.3316812053924,-1.4481812053925296
CH,C,H,1000,1000,3461.0,3449.0,32.6172,29.651999999999997,12.0,3455.9555,3454.429864253393,1.5256357466068948
DE,D,E,1000,1000,5079.0,5121.5,25.2042,32.6172,42.5,5099.0235,5094.889391979302,4.134108020698477
DF,D,F,1000,1000,5586.0,5598.0,31.1346,28.1694,12.0,5592.5365,5592.598503740648,-0.06200374064792413
DG,D,G,1000,1000,3268.0,3284.0,23.7216,19.273799999999998,16.0,3276.221,3277.6376470588234,-1.4166470588234006
DH,D,H,1000,1000,1537.0,1515.0,48.1845,34.099799999999995,22.0,1528.5645,1522.3414287967196,6.2230712032803694
EF,E,F,1000,1000,2799.0,2784.0,20.7564,19.273799999999998,15.0,2791.712,2790.9452054794515,0.7667945205485012
EG,E,G,1000,1000,5606.0,5603.0,17.7912,19.273799999999998,3.0,5604.9755,5604.619808306709,0.3556916932902823
EH,E,H,1000,1000,4565.0,4573.0,29.651999999999997,25.2042,8.0,4572.044,4569.644412191583,2.3995878084169817
FG,F,G,1000,1000,4658.0,4657.0,19.273799999999998,17.7912,1.0,4657.457,4657.460063897764,-0.003063897763240675
FH,F,H,1000,1000,5448.0,5466.0,28.1694,26.686799999999998,18.0,5454.796,5457.4861313868605,-2.69013138686023
GH,G,H,1000,1000,2935.0,2946.0,26.686799999999998,25.2042,11.0,2940.7725,2940.814029363785,-0.04152936378477534
