capture,pair,gt_dist,measured_median,bias,std,N,status,note
W01,BSCCF4-BS9336,670.0,696.6332740050666,26.633274005066596,115.75377689870524,1012,ok,C points ABEF
W01,BSCCF4-BS955A,659.7,,,,,insufficient,
W01,BS9336-BS955A,708.7,,,,,insufficient,
W02,BSCCF4-BS9336,670.0,597.2908742393175,-72.70912576068247,115.52128403198077,1012,ok,C points BCGF
W02,BSCCF4-BS955A,659.7,,,,,insufficient,
W02,BS9336-BS955A,708.7,,,,,insufficient,
W03,BSCCF4-BS9336,670.0,,,,,insufficient,
W03,BSCCF4-BS955A,659.7,,,,,insufficient,
W03,BS9336-BS955A,708.7,,,,,insufficient,
W04,BSCCF4-BS9336,670.0,626.7387609781504,-43.26123902184963,105.53409386663944,1012,ok,C points ADHE
W04,BSCCF4-BS955A,659.7,,,,,insufficient,
W04,BS9336-BS955A,708.7,,,,,insufficient,
W05,BSCCF4-BS9336,670.0,1194.7783090292728,524.7783090292728,573.2736387909404,1610,ok,free move; analyzed but excluded from strong same-frame rigid constraints
W05,BSCCF4-BS955A,659.7,,,,,insufficient,
W05,BS9336-BS955A,708.7,,,,,insufficient,
