ID,tilt,facing,tag,status,N,radius,expected_radius,radius_bias,radial_std,z_plane_std,std_3d,rms_3d,tilt_deg,r2
ID25,planar,none,BS2DCE,ok,1801,444.2397841967342,440.0,4.239784196734206,74.627172832145,151.12019958143776,100.45461548350407,168.66056154075167,17.873081709122477,-0.007156371827369501
ID25,planar,none,BSDC91,ok,1800,580.2484534689997,560.0,20.24845346899974,79.9566499947866,146.05056377134207,97.49226745516914,166.59673666917718,14.025153543890966,-0.004792632062039726
ID26,small,ABEF,BSDC91,ok,1801,584.013989132222,560.0,24.013989132222036,78.9385183808433,131.76594801746631,91.65549754594204,153.69540879524862,19.44748986715556,-0.004609630604596182
ID26,small,ABEF,BS2DCE,ok,1800,461.7915311219895,440.0,21.79153112198952,84.11627739264323,153.7909238998925,108.91210283913966,175.46190836429412,23.34825302750516,-0.008435373405545787
ID27,small,BCGF,BSDC91,ok,1801,549.1637329173,560.0,-10.836267082700033,88.80960017899257,212.17281186050377,163.71518287250728,230.1232283056507,7.103732513631265,-0.0066250878503193444
ID27,small,BCGF,BS2DCE,ok,1800,431.61659179535644,440.0,-8.383408204643558,85.60021558690647,175.72734977061828,118.33689545877132,195.65531606113038,16.354985696527358,-0.010031439263951558
ID28,small,CDHG,BSDC91,ok,1801,578.8049968001387,560.0,18.804996800138724,83.86173085092481,136.66095953819354,99.08941050825226,160.4565648267037,20.51450724261193,-0.005303931056788391
ID28,small,CDHG,BS2DCE,ok,1800,445.4445454286357,440.0,5.444545428635706,93.27930142737492,153.09930601155725,102.30994563726031,179.54933636638393,27.558170587941472,-0.011210010216159194
ID29,small,ADHE,BS2DCE,ok,1800,453.87718788089114,440.0,13.877187880891142,87.97290952215555,156.2108737908225,101.83811462308047,179.48580889436903,25.66615334127969,-0.0095727439658575
ID29,small,ADHE,BSDC91,ok,1800,585.939848956936,560.0,25.939848956935975,72.6959486854331,132.48739836470781,86.24126082110153,151.18897496739757,23.48905373650599,-0.0038780758158147854
ID30,mid,ABEF,BS2DCE,ok,1801,499.9333839063271,440.0,59.933383906327094,122.32677801888973,115.14766022021341,98.16937847288335,168.68244501843947,60.442627773641696,-0.015433403000182588
ID30,mid,ABEF,BSDC91,ok,1800,575.6901579513153,560.0,15.690157951315314,117.05016315768582,111.91859539157697,93.44428064153443,162.391850675421,51.87732195359529,-0.010554208662169495
ID31,mid,BCGF,BSDC91,ok,1801,524.6858293052176,560.0,-35.31417069478243,88.43081874555936,79.63218698803905,56.492801452650134,119.23771026594001,44.86194544391609,-0.00720416509552102
ID31,mid,BCGF,BS2DCE,ok,1800,404.7095502127075,440.0,-35.290449787292516,77.35269932649811,90.92526321460875,54.96063514445668,119.60982685987933,47.455197979919525,-0.009303527208878393
ID32,mid,CDHG,BSDC91,ok,1801,545.0012846087168,560.0,-14.998715391283213,101.95322572982265,98.35787799426784,80.49263331324062,141.99048560695292,45.85716022905384,-0.00890528228872256
ID32,mid,CDHG,BS2DCE,ok,1800,450.09206450383823,440.0,10.09206450383823,92.19614905045432,105.26766792052022,71.35210887511,140.2586778892859,56.05508209734014,-0.010715708485208308
ID33,mid,ADHE,BS2DCE,ok,1801,457.9712329449192,440.0,17.971232944919223,112.45464818646127,126.9407740256803,92.8736658883512,170.1663979415189,60.04514660520781,-0.015545961946841658
ID33,mid,ADHE,BSDC91,ok,1800,540.0523883872825,560.0,-19.947611612717537,90.16673121759538,102.26475958401849,71.86205847916253,136.54882337426045,45.69901461806066,-0.0070677017286377986
ID34,high,ABEF,BSDC91,ok,1801,526.8856028889302,560.0,-33.11439711106982,71.15962261426395,49.85866616647165,48.56617269952555,87.02231014747865,69.45707694640492,-0.004602171973195235
ID34,high,ABEF,BS2DCE,ok,1800,455.72945313033983,440.0,15.729453130339834,99.39619690410301,66.40262658272619,68.51247823342692,120.03867826210376,74.67595956549158,-0.012183838879393782
ID35,high,BCGF,BS2DCE,ok,1800,430.6301554077015,440.0,-9.369844592298477,80.66598044399038,77.3084497599085,60.14776346861381,111.98974035966748,72.21017304180623,-0.0089296353118955
ID35,high,BCGF,BSDC91,ok,1800,512.0111440037456,560.0,-47.988855996254415,87.91248460310608,73.14166524776529,54.92626061407853,114.61293708243842,71.54345771562707,-0.007480936435011909
ID36,high,CDHG,BS2DCE,ok,1800,458.53302104549925,440.0,18.533021045499254,89.22502481451865,68.21419937153793,60.18473838984894,112.65480141177291,74.9119856724799,-0.009649694553921728
ID36,high,CDHG,BSDC91,ok,1800,526.1792130034211,560.0,-33.82078699657893,79.5024032191573,62.32437108586146,52.138328632377394,101.20005453854984,65.56601259522057,-0.005773424090619983
ID37,high,ADHE,BSDC91,ok,1801,524.3021415185999,560.0,-35.69785848140009,101.08985366158278,89.63336417790123,75.37027991649519,135.4624687663732,64.00932875475792,-0.0094706386035599
ID37,high,ADHE,BS2DCE,ok,1800,434.6237441269007,440.0,-5.376255873099296,96.4126107459951,89.18224793824169,75.63591150009913,131.78058016515777,72.3994506610084,-0.012614471413260997
ID38,vertical,ABEF,BSDC91,ok,1801,527.8404117753961,560.0,-32.15958822460391,71.51535409050489,43.369843083063316,44.6871122019631,83.77993855954603,87.83996271016707,-0.004631771632824355
ID38,vertical,ABEF,BS2DCE,ok,1800,449.01508224663615,440.0,9.015082246636155,74.09827204249295,32.948540820898636,44.760120005532364,81.32686550138116,86.01481500716683,-0.006902544064663285
ID39,vertical,BCGF,BSDC91,ok,1801,523.1939201585665,560.0,-36.80607984143353,82.84392007454572,85.51624195285642,62.82039678083036,119.24642265234375,89.19040204952243,-0.006347931475988222
ID39,vertical,BCGF,BS2DCE,ok,1800,422.5441734080224,440.0,-17.455826591977598,78.58864892413303,63.86282278408866,58.84911997799906,101.5332048336061,86.04831044930381,-0.008800884625236316
ID40,vertical,CDHG,BSDC91,ok,1801,538.255290465117,560.0,-21.744709534882986,92.45571381318896,55.708613998075435,58.55363580097381,108.23820168314282,88.20571822026746,-0.00748703456337263
ID40,vertical,CDHG,BS2DCE,ok,1800,457.02390850921876,440.0,17.023908509218757,95.4610513221593,43.84096149030476,63.89578091434043,105.5294605524509,87.87311898580093,-0.01115186146730518
ID41,vertical,ADHE,BS2DCE,ok,1801,400.8967276366596,440.0,-39.10327236334041,75.17581934618869,69.54278435754885,49.14870236767557,102.65562098493324,85.50477193656327,-0.008948900289575068
ID41,vertical,ADHE,BSDC91,ok,1800,516.3977880583618,560.0,-43.60221194163819,95.96948183721678,72.53482189144188,61.83477964197501,120.63320672277189,81.22140802583581,-0.00878691535663112
