tilt_level,n_captures,std_3d_median,radius_mean,delta_r_mean,tilt_deg_mean
planar,1,98.9734414693366,512.244118832867,136.00866927226554,15.949117626506721
small,4,102.0740301301704,511.3315530041837,126.29817789493097,20.4352932516448
mid,4,76.17734589620157,499.7669864775405,93.18085717118502,51.536687087591886
high,4,60.166250929231374,483.61180939064224,77.46543192606386,70.59668061909957
vertical,4,58.70137788948644,479.39591278224725,94.05187966422612,86.48731342307846
