anchor,sigma_x,sigma_y,sigma_z,sigma_3d,sigma_d
A,0,0,0,0,27.4281
B,32.4457906320451,0,0,32.4457906320451,28.1694
C,55.83012388738606,27.159750220737983,0,62.08586606735669,25.574849999999998
D,66.30763622065491,31.67631452350269,106.98933123697292,129.79525615945016,33.72915
E,39.41700313593331,39.18129623575239,36.48930924077384,66.48566612286278,25.2042
F,34.54736381071114,32.4695876340746,33.18406011430463,57.87034053007004,21.4977
G,61.133526564443606,32.13111342469064,37.918895999272976,78.78806504743943,23.7216
H,58.737334109958326,35.32155758771508,119.73384333598439,137.96332878259062,28.9107
