group,n_captures,std_3d_median,best,worst
edge_low,3,97.63695150580625,ID01,ID07
edge_mid,4,58.740415386369044,ID08,ID05
edge_high,4,68.69228346125212,ID03,ID09
center_mid,4,70.00707317924976,ID14,ID13
center_low,4,80.43198960207746,ID19,ID17
center_high,4,74.15060131709696,ID21,ID24
