pair,mad_this,mad_old,asym_this,asym_old,v3_this,v3_old
AB,27.4281,20.38575,18.0,32.5,3006.4861313868614,4529.8407138136145
AC,20.015099999999997,31.505249999999997,20.0,25.0,5535.260273972602,5348.3179961884025
AD,39.659549999999996,20.015099999999997,24.5,16.0,4672.607634652257,3026.864721485411
AE,28.9107,16.679249999999996,34.0,6.5,1459.7115135834413,1492.8943731490622
AF,32.98785,28.1694,1.5,14.0,3195.6405335829627,4911.542465753424
AG,25.2042,20.015099999999997,19.0,17.0,5761.613793103447,5516.365853658537
AH,34.47045,19.64445,14.5,17.5,4860.335249482639,3258.5800711743773
BC,29.651999999999997,31.505249999999997,1.0,1.5,4570.5,3102.6560509554133
BD,39.2889,39.2889,31.0,2.0,5435.750887154009,5338.962277580072
BE,27.4281,23.7216,1.0,0.0,3214.5270072992703,4760.0
BF,19.273799999999998,28.9107,12.0,2.0,1439.1965317919075,1855.2522639068566
BG,41.5128,29.651999999999997,36.0,6.0,5004.715923566879,3296.0
BH,19.273799999999998,25.9455,20.0,6.0,5659.0,5591.828711256118
CD,38.17695,49.29644999999999,34.0,11.5,3121.7760252365933,4454.363422555717
CE,16.679249999999996,31.50525,0.5,27.0,5671.2388943731485,5564.248698239525
CF,17.0499,27.4281,17.0,2.0,4802.762264150943,3357.734576757532
CG,25.9455,35.95305,12.5,12.0,1735.3316812053924,1522.0404207053002
CH,31.1346,42.254099999999994,12.0,8.0,3454.429864253393,4806.580110497237
DE,28.9107,28.1694,42.5,1.0,5094.889391979302,3404.5
DF,29.652,20.015099999999997,12.0,8.0,5592.598503740648,5694.878048780489
DG,21.4977,22.238999999999997,16.0,1.0,3277.6376470588234,4677.433628318584
DH,41.14215,49.6671,22.0,5.0,1522.3414287967196,1545.8402625820568
EF,20.015099999999997,20.7564,15.0,13.0,2790.9452054794515,4473.42385786802
EG,18.5325,21.86835,3.0,11.0,5604.619808306709,5368.05787965616
EH,27.4281,33.3585,8.0,1.0,4569.644412191583,2968.5663716814156
FG,18.5325,17.0499,1.0,7.0,4657.460063897764,3071.9530685920577
FH,27.4281,28.9107,18.0,5.0,5457.4861313868605,5418.117647058823
GH,25.9455,18.5325,11.0,14.0,2940.814029363785,4528.44089456869
