seed_label,run_id,audit_id,status,blocking_final_claim,evidence
S00_default,phase4_GPUCPU_FULLFACTORY_2x1080ti_20260605T113145Z,A1_accept_rate_match,PASS,False,max_abs_accept_rate_delta=0
S00_default,phase4_GPUCPU_FULLFACTORY_2x1080ti_20260605T113145Z,A2_p95_cpu_gpu_xyz_agreement,PASS,False,max_p95_xyz_diff=8.586 mm; threshold=10 mm
S00_default,phase4_GPUCPU_FULLFACTORY_2x1080ti_20260605T113145Z,A3_single_frame_outlier_audit,REVIEW,True,"max_single_frame_xyz_diff=844.065 mm at R4:L0:I1+I2+I3+I8:T6/R13/BS2DCE; resource gate can pass, but final numerical claim must inspect this outlier"
S01,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z,A1_accept_rate_match,PASS,False,max_abs_accept_rate_delta=0
S01,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z,A2_p95_cpu_gpu_xyz_agreement,PASS,False,max_p95_xyz_diff=8.586 mm; threshold=10 mm
S01,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z,A3_single_frame_outlier_audit,REVIEW,True,"max_single_frame_xyz_diff=844.065 mm at R4:L0:I1+I2+I3+I8:T6/R13/BS2DCE; resource gate can pass, but final numerical claim must inspect this outlier"
S02,phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z,A1_accept_rate_match,PASS,False,max_abs_accept_rate_delta=0
S02,phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z,A2_p95_cpu_gpu_xyz_agreement,PASS,False,max_p95_xyz_diff=8.586 mm; threshold=10 mm
S02,phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z,A3_single_frame_outlier_audit,REVIEW,True,"max_single_frame_xyz_diff=844.065 mm at R4:L0:I1+I2+I3+I8:T6/R13/BS2DCE; resource gate can pass, but final numerical claim must inspect this outlier"
S03,phase4_GPUCPU_FULLFACTORY_S03_2x1080ti_20260605T142014Z,A1_accept_rate_match,PASS,False,max_abs_accept_rate_delta=0
S03,phase4_GPUCPU_FULLFACTORY_S03_2x1080ti_20260605T142014Z,A2_p95_cpu_gpu_xyz_agreement,PASS,False,max_p95_xyz_diff=8.586 mm; threshold=10 mm
S03,phase4_GPUCPU_FULLFACTORY_S03_2x1080ti_20260605T142014Z,A3_single_frame_outlier_audit,REVIEW,True,"max_single_frame_xyz_diff=844.065 mm at R4:L0:I1+I2+I3+I8:T6/R13/BS2DCE; resource gate can pass, but final numerical claim must inspect this outlier"
S04,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z,A1_accept_rate_match,PASS,False,max_abs_accept_rate_delta=0
S04,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z,A2_p95_cpu_gpu_xyz_agreement,PASS,False,max_p95_xyz_diff=8.586 mm; threshold=10 mm
S04,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z,A3_single_frame_outlier_audit,REVIEW,True,"max_single_frame_xyz_diff=844.065 mm at R4:L0:I1+I2+I3+I8:T6/R13/BS2DCE; resource gate can pass, but final numerical claim must inspect this outlier"
