seed,stage,mean_s,median_s,max_s
S00_default,cpu_golden,25.329,25.313,35.37
S00_default,simulate_imu_prior,0.782,0.842,1.435
S00_default,torch_gpu,2.649,2.718,4.196
S01,cpu_golden,24.349,24.225,31.836
S01,simulate_imu_prior,0.778,0.855,1.135
S01,torch_gpu,2.557,2.522,3.546
S02,cpu_golden,24.205,23.928,31.952
S02,simulate_imu_prior,0.782,0.919,1.051
S02,torch_gpu,2.554,2.493,3.459
S03,cpu_golden,26.293,26.745,35.746
S03,simulate_imu_prior,0.813,0.898,1.479
S03,torch_gpu,2.818,2.912,4.159
S04,cpu_golden,27.698,27.834,36.125
S04,simulate_imu_prior,0.834,0.914,1.38
S04,torch_gpu,2.968,3.026,4.517
