seed_label,run_id,gate_id,status,blocking_next_phase,evidence
S00_default,phase4_GPUCPU_FULLFACTORY_2x1080ti_20260605T113145Z,G11_two_gpu_dynamic_balance,PASS,True,"devices=['cuda:0', 'cuda:1']; partial_chunks_by_gpu={'cuda:0': 144, 'cuda:1': 144}; gpu0 max_util=100%, gpu1 max_util=100%; failed=0"
S00_default,phase4_GPUCPU_FULLFACTORY_2x1080ti_20260605T113145Z,G12_cpu_parallel_execution,PASS,True,"workers_per_device=4; total_workers=8; cpu_golden_mean=25.33s, simulate_imu_prior_mean=0.78s, torch_gpu_mean=2.65s"
S00_default,phase4_GPUCPU_FULLFACTORY_2x1080ti_20260605T113145Z,G13_thread_oversubscription_control,PASS,True,checked_logs=20; torch_threads_1_in_sample=True; workers_per_device=4
S01,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z,G11_two_gpu_dynamic_balance,PASS,True,"devices=['cuda:0', 'cuda:1']; partial_chunks_by_gpu={'cuda:0': 144, 'cuda:1': 144}; gpu0 max_util=100%, gpu1 max_util=100%; failed=0"
S01,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z,G12_cpu_parallel_execution,PASS,True,"workers_per_device=4; total_workers=8; cpu_golden_mean=24.35s, simulate_imu_prior_mean=0.78s, torch_gpu_mean=2.56s"
S01,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z,G13_thread_oversubscription_control,PASS,True,checked_logs=20; torch_threads_1_in_sample=True; workers_per_device=4
S02,phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z,G11_two_gpu_dynamic_balance,PASS,True,"devices=['cuda:0', 'cuda:1']; partial_chunks_by_gpu={'cuda:0': 146, 'cuda:1': 142}; gpu0 max_util=100%, gpu1 max_util=94%; failed=0"
S02,phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z,G12_cpu_parallel_execution,PASS,True,"workers_per_device=4; total_workers=8; cpu_golden_mean=24.20s, simulate_imu_prior_mean=0.78s, torch_gpu_mean=2.55s"
S02,phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z,G13_thread_oversubscription_control,PASS,True,checked_logs=20; torch_threads_1_in_sample=True; workers_per_device=4
S03,phase4_GPUCPU_FULLFACTORY_S03_2x1080ti_20260605T142014Z,G11_two_gpu_dynamic_balance,PASS,True,"devices=['cuda:0', 'cuda:1']; partial_chunks_by_gpu={'cuda:0': 144, 'cuda:1': 144}; gpu0 max_util=100%, gpu1 max_util=100%; failed=0"
S03,phase4_GPUCPU_FULLFACTORY_S03_2x1080ti_20260605T142014Z,G12_cpu_parallel_execution,PASS,True,"workers_per_device=4; total_workers=8; cpu_golden_mean=26.29s, simulate_imu_prior_mean=0.81s, torch_gpu_mean=2.82s"
S03,phase4_GPUCPU_FULLFACTORY_S03_2x1080ti_20260605T142014Z,G13_thread_oversubscription_control,PASS,True,checked_logs=20; torch_threads_1_in_sample=True; workers_per_device=4
S04,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z,G11_two_gpu_dynamic_balance,PASS,True,"devices=['cuda:0', 'cuda:1']; partial_chunks_by_gpu={'cuda:0': 144, 'cuda:1': 144}; gpu0 max_util=100%, gpu1 max_util=99%; failed=0"
S04,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z,G12_cpu_parallel_execution,PASS,True,"workers_per_device=4; total_workers=8; cpu_golden_mean=27.70s, simulate_imu_prior_mean=0.83s, torch_gpu_mean=2.97s"
S04,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z,G13_thread_oversubscription_control,PASS,True,checked_logs=20; torch_threads_1_in_sample=True; workers_per_device=4
