row_spec,R,L,I,T,seed_count,track_rows,p95_mean_mm,p95_max_across_seeds_mm,max_diff_across_seeds_mm,accept_delta_max_across_seeds
R4:L14:I1+I3+I7:T8,R4,L14,I1+I3+I7,T8,5,170,0.007,0.206,731.792,0.0
R4:L18:I1+I2+I3+I8:T8,R4,L18,I1+I2+I3+I8,T8,5,170,0.007,0.205,731.778,0.0
R4:L12:I1+I2+I3+I8:T8,R4,L12,I1+I2+I3+I8,T8,5,170,0.007,0.203,731.338,0.0
R4:L13:I8:T6,R4,L13,I8,T6,5,170,0.006,0.195,729.679,0.0
R4:L13:I1+I3+I7:T8,R4,L13,I1+I3+I7,T8,5,170,0.006,0.18,726.988,0.0
R2:L1:I1+I3+I7:T6,R2,L1,I1+I3+I7,T6,5,170,0.026,0.868,726.711,0.0
R4:L17:I1+I2+I3+I8:T8,R4,L17,I1+I2+I3+I8,T8,5,170,0.006,0.176,726.066,0.0
R2:L19:I1+I2+I3+I8:T6,R2,L19,I1+I2+I3+I8,T6,5,170,0.025,0.831,725.452,0.0
R4:L2:I1+I2+I3+I8:T8,R4,L2,I1+I2+I3+I8,T8,5,170,0.006,0.171,725.042,0.0
R4:L15:I4:T6,R4,L15,I4,T6,5,170,0.006,0.17,724.993,0.0
R2:L5:I1+I2+I3+I8:T6,R2,L5,I1+I2+I3+I8,T6,5,170,0.024,0.808,724.698,0.0
R2:L16:I1+I2+I3+I8:T6,R2,L16,I1+I2+I3+I8,T6,5,170,0.024,0.796,724.32,0.0
R4:L8:I1+I2+I3+I8:T6,R4,L8,I1+I2+I3+I8,T6,5,170,0.006,0.16,722.712,0.0
R2:L15:I1+I2+I3+I8:T6,R2,L15,I1+I2+I3+I8,T6,5,170,0.022,0.716,721.347,0.0
R4:L10:I1+I2+I3+I8:T6,R4,L10,I1+I2+I3+I8,T6,5,170,0.005,0.147,719.605,0.0
R4:L5:I3:T6,R4,L5,I3,T6,5,170,0.005,0.145,719.194,0.0
R2:L14:I1+I2+I3+I8:T6,R2,L14,I1+I2+I3+I8,T6,5,170,0.018,0.598,716.179,0.0
R4:L19:I3:T6,R4,L19,I3,T6,5,170,0.004,0.133,715.994,0.0
R2:L13:I1+I2+I3+I8:T6,R2,L13,I1+I2+I3+I8,T6,5,170,0.017,0.543,713.387,0.0
R4:L14:I4:T6,R4,L14,I4,T6,5,170,0.004,0.116,710.953,0.0
R4:L16:I3:T6,R4,L16,I3,T6,5,170,0.004,0.114,710.326,0.0
R4:L3:I1+I3+I7:T8,R4,L3,I1+I3+I7,T8,5,170,0.004,0.111,709.317,0.0
R4:L1:I8:T8,R4,L1,I8,T8,5,170,0.004,0.109,708.916,0.0
R2:L19:I1+I3+I7:T6,R2,L19,I1+I3+I7,T6,5,170,0.013,0.437,707.05,0.0
R4:L3:I8:T6,R4,L3,I8,T6,5,170,0.004,0.104,706.659,0.0
R2:L5:I1+I3+I7:T6,R2,L5,I1+I3+I7,T6,5,170,0.013,0.422,705.999,0.0
R2:L16:I1+I3+I7:T6,R2,L16,I1+I3+I7,T6,5,170,0.013,0.415,705.506,0.0
R4:L13:I4:T6,R4,L13,I4,T6,5,170,0.003,0.096,704.051,0.0
R2:L0:I0:T6,R2,L0,I0,T6,5,180,0.011,0.385,703.386,0.0
R2:L0:I0:T8,R2,L0,I0,T8,5,170,0.012,0.385,703.386,0.0
R2:L0:I1+I2+I3+I8:T8,R2,L0,I1+I2+I3+I8,T8,5,170,0.012,0.385,703.386,0.0
R2:L0:I1+I3+I7:T8,R2,L0,I1+I3+I7,T8,5,170,0.012,0.385,703.386,0.0
R2:L0:I1:T6,R2,L0,I1,T6,5,170,0.012,0.385,703.386,0.0
R2:L0:I1:T8,R2,L0,I1,T8,5,170,0.012,0.385,703.386,0.0
R2:L0:I3:T6,R2,L0,I3,T6,5,170,0.012,0.385,703.386,0.0
R2:L0:I3:T8,R2,L0,I3,T8,5,170,0.012,0.385,703.386,0.0
R2:L0:I4:T6,R2,L0,I4,T6,5,170,0.012,0.385,703.386,0.0
R2:L0:I4:T8,R2,L0,I4,T8,5,170,0.012,0.385,703.386,0.0
R2:L0:I7:T6,R2,L0,I7,T6,5,170,0.012,0.385,703.386,0.0
R2:L0:I7:T8,R2,L0,I7,T8,5,170,0.012,0.385,703.386,0.0
R2:L0:I8:T6,R2,L0,I8,T6,5,170,0.012,0.385,703.386,0.0
R2:L0:I8:T8,R2,L0,I8,T8,5,170,0.012,0.385,703.386,0.0
R2:L3:I1+I2+I3+I8:T6,R2,L3,I1+I2+I3+I8,T6,5,170,0.012,0.386,703.325,0.0
R4:L4:I1+I3+I7:T6,R4,L4,I1+I3+I7,T6,5,170,0.004,0.094,703.174,0.0
R4:L15:I3:T6,R4,L15,I3,T6,5,170,0.003,0.092,702.731,0.0
R2:L15:I1+I3+I7:T6,R2,L15,I1+I3+I7,T6,5,170,0.011,0.363,701.532,0.0
R4:L19:I7:T6,R4,L19,I7,T6,5,170,0.003,0.083,698.717,0.0
R4:L5:I7:T6,R4,L5,I7,T6,5,170,0.003,0.076,695.592,0.0
R4:L16:I7:T6,R4,L16,I7,T6,5,170,0.003,0.076,695.338,0.0
R2:L14:I1+I3+I7:T6,R2,L14,I1+I3+I7,T6,5,170,0.009,0.289,694.57,0.0
R2:L18:I1+I2+I3+I8:T6,R2,L18,I1+I2+I3+I8,T6,5,170,0.009,0.289,694.559,0.0
R4:L18:I1+I3+I7:T8,R4,L18,I1+I3+I7,T8,5,170,0.003,0.074,694.355,0.0
R2:L12:I1+I2+I3+I8:T6,R2,L12,I1+I2+I3+I8,T6,5,170,0.009,0.286,694.222,0.0
R4:L12:I1+I3+I7:T8,R4,L12,I1+I3+I7,T8,5,170,0.003,0.073,693.846,0.0
R2:L13:I1+I3+I7:T6,R2,L13,I1+I3+I7,T6,5,170,0.008,0.255,690.886,0.0
R2:L17:I1+I2+I3+I8:T6,R2,L17,I1+I2+I3+I8,T6,5,170,0.008,0.251,690.178,0.0
R2:L2:I1+I2+I3+I8:T6,R2,L2,I1+I2+I3+I8,T6,5,170,0.008,0.245,689.391,0.0
R4:L14:I3:T6,R4,L14,I3,T6,5,170,0.002,0.064,689.166,0.0
R4:L17:I1+I3+I7:T8,R4,L17,I1+I3+I7,T8,5,170,0.002,0.062,687.639,0.0
R4:L1:I4:T8,R4,L1,I4,T8,5,170,0.002,0.059,686.307,0.0
R4:L19:I1:T6,R4,L19,I1,T6,5,170,0.002,0.059,686.08,0.0
R4:L2:I1+I3+I7:T8,R4,L2,I1+I3+I7,T8,5,170,0.002,0.059,685.759,0.0
R4:L8:I1+I3+I7:T6,R4,L8,I1+I3+I7,T6,5,170,0.003,0.06,685.165,0.0
R4:L16:I1:T6,R4,L16,I1,T6,5,170,0.002,0.057,684.622,0.0
R4:L15:I7:T6,R4,L15,I7,T6,5,170,0.002,0.057,684.406,0.0
R4:L12:I8:T6,R4,L12,I8,T6,5,170,0.002,0.056,684.224,0.0
R4:L18:I8:T6,R4,L18,I8,T6,5,170,0.002,0.056,684.005,0.0
R4:L13:I3:T6,R4,L13,I3,T6,5,170,0.002,0.053,682.257,0.0
R4:L5:I1:T6,R4,L5,I1,T6,5,170,0.002,0.05,679.704,0.0
R2:L1:I1+I2+I3+I8:T8,R2,L1,I1+I2+I3+I8,T8,5,170,0.006,0.177,679.395,0.0
R4:L3:I4:T6,R4,L3,I4,T6,5,170,0.002,0.047,677.612,0.0
R2:L3:I1+I3+I7:T6,R2,L3,I1+I3+I7,T6,5,170,0.005,0.165,677.24,0.0
R2:L1:I8:T6,R2,L1,I8,T6,5,170,0.005,0.163,676.928,0.0
R4:L17:I8:T6,R4,L17,I8,T6,5,170,0.002,0.045,675.373,0.0
R4:L11:I1+I2+I3+I8:T8,R4,L11,I1+I2+I3+I8,T8,5,170,0.002,0.042,673.74,0.0
R4:L2:I8:T6,R4,L2,I8,T6,5,170,0.002,0.042,673.377,0.0
R4:L15:I1:T6,R4,L15,I1,T6,5,170,0.002,0.04,671.746,0.0
R4:L10:I1+I3+I7:T6,R4,L10,I1+I3+I7,T6,5,170,0.002,0.04,671.312,0.0
R2:L18:I1+I3+I7:T6,R2,L18,I1+I3+I7,T6,5,170,0.004,0.115,665.571,0.0
R4:L14:I7:T6,R4,L14,I7,T6,5,170,0.002,0.034,665.303,0.0
R4:L1:I3:T8,R4,L1,I3,T8,5,170,0.002,0.034,665.291,0.0
R2:L12:I1+I3+I7:T6,R2,L12,I1+I3+I7,T6,5,170,0.004,0.114,665.172,0.0
R2:L17:I1+I3+I7:T6,R2,L17,I1+I3+I7,T6,5,170,0.003,0.097,660.3,0.0
R2:L1:I4:T6,R2,L1,I4,T6,5,170,0.003,0.094,659.252,0.0
R2:L2:I1+I3+I7:T6,R2,L2,I1+I3+I7,T6,5,170,0.003,0.094,658.821,0.0
R4:L13:I7:T6,R4,L13,I7,T6,5,170,0.001,0.027,656.144,0.0
R4:L3:I3:T6,R4,L3,I3,T6,5,170,0.001,0.026,655.766,0.0
R2:L1:I1+I3+I7:T8,R2,L1,I1+I3+I7,T8,5,170,0.003,0.083,655.361,0.0
R4:L19:I8:T8,R4,L19,I8,T8,5,170,0.001,0.025,653.915,0.0
R2:L19:I1+I2+I3+I8:T8,R2,L19,I1+I2+I3+I8,T8,5,170,0.003,0.078,653.185,0.0
R4:L5:I8:T8,R4,L5,I8,T8,5,170,0.001,0.024,652.3,0.0
R2:L5:I1+I2+I3+I8:T8,R2,L5,I1+I2+I3+I8,T8,5,170,0.003,0.075,651.884,0.0
R2:L16:I1+I2+I3+I8:T8,R2,L16,I1+I2+I3+I8,T8,5,170,0.003,0.074,651.234,0.0
R4:L12:I4:T6,R4,L12,I4,T6,5,170,0.001,0.023,651.065,0.0
R4:L16:I8:T8,R4,L16,I8,T8,5,170,0.001,0.023,649.957,0.0
R2:L11:I1+I2+I3+I8:T6,R2,L11,I1+I2+I3+I8,T6,5,170,0.003,0.069,649.326,0.0
R4:L14:I1:T6,R4,L14,I1,T6,5,170,0.001,0.022,649.186,0.0
R4:L18:I4:T6,R4,L18,I4,T6,5,170,0.001,0.021,647.704,0.0
R2:L15:I1+I2+I3+I8:T8,R2,L15,I1+I2+I3+I8,T8,5,170,0.002,0.063,646.136,0.0
R2:L1:I3:T6,R2,L1,I3,T6,5,170,0.002,0.057,642.612,0.0
R4:L1:I7:T8,R4,L1,I7,T8,5,170,0.001,0.018,641.204,0.0
R4:L15:I8:T8,R4,L15,I8,T8,5,170,0.001,0.017,639.14,0.0
R4:L2:I4:T6,R4,L2,I4,T6,5,170,0.001,0.017,638.891,0.0
R4:L13:I1:T6,R4,L13,I1,T6,5,170,0.001,0.017,638.457,0.0
R4:L17:I4:T6,R4,L17,I4,T6,5,170,0.001,0.017,638.024,0.0
R2:L14:I1+I2+I3+I8:T8,R2,L14,I1+I2+I3+I8,T8,5,170,0.002,0.048,637.355,0.0
R4:L4:I1+I2+I3+I8:T8,R4,L4,I1+I2+I3+I8,T8,5,170,0.001,0.016,635.713,0.0
R2:L19:I8:T6,R2,L19,I8,T6,5,170,0.002,0.043,633.523,0.0
R2:L13:I1+I2+I3+I8:T8,R2,L13,I1+I2+I3+I8,T8,5,170,0.002,0.042,632.654,0.0
R2:L5:I8:T6,R2,L5,I8,T6,5,170,0.002,0.041,632.228,0.0
R2:L16:I8:T6,R2,L16,I8,T6,5,170,0.002,0.039,630.347,0.0
R4:L12:I3:T6,R4,L12,I3,T6,5,170,0.001,0.012,626.412,0.0
R2:L1:I7:T6,R2,L1,I7,T6,5,170,0.001,0.032,623.3,0.0
R4:L1:I1:T8,R4,L1,I1,T8,5,170,0.001,0.011,622.325,0.0
R2:L19:I1+I3+I7:T8,R2,L19,I1+I3+I7,T8,5,170,0.001,0.031,622.096,0.0
R2:L15:I8:T6,R2,L15,I8,T6,5,170,0.001,0.03,621.633,0.0
R4:L19:I4:T8,R4,L19,I4,T8,5,170,0.001,0.011,621.617,0.0
R4:L5:I4:T8,R4,L5,I4,T8,5,170,0.001,0.011,621.197,0.0
R4:L11:I1+I3+I7:T8,R4,L11,I1+I3+I7,T8,5,170,0.001,0.011,621.167,0.0
R4:L3:I7:T6,R4,L3,I7,T6,5,170,0.001,0.01,620.644,0.0
R4:L14:I8:T8,R4,L14,I8,T8,5,170,0.001,0.01,620.529,0.0
R2:L5:I1+I3+I7:T8,R2,L5,I1+I3+I7,T8,5,170,0.001,0.029,620.36,0.0
R2:L16:I1+I3+I7:T8,R2,L16,I1+I3+I7,T8,5,170,0.001,0.028,619.548,0.0
R2:L4:I1+I2+I3+I8:T6,R2,L4,I1+I2+I3+I8,T6,5,170,0.002,0.028,618.861,0.0
R4:L16:I4:T8,R4,L16,I4,T8,5,170,0.001,0.009,616.481,0.0
R2:L3:I1+I2+I3+I8:T8,R2,L3,I1+I2+I3+I8,T8,5,170,0.001,0.025,615.961,0.0
R4:L2:I3:T6,R4,L2,I3,T6,5,170,0.001,0.009,614.738,0.0
R2:L15:I1+I3+I7:T8,R2,L15,I1+I3+I7,T8,5,170,0.001,0.023,613.026,0.0
R4:L13:I8:T8,R4,L13,I8,T8,5,170,0.001,0.008,611.516,0.0
R4:L18:I3:T6,R4,L18,I3,T6,5,170,0.001,0.008,608.448,0.0
R2:L1:I1:T6,R2,L1,I1,T6,5,170,0.001,0.02,607.984,0.0
R2:L19:I4:T6,R2,L19,I4,T6,5,170,0.001,0.02,607.407,0.0
R2:L5:I4:T6,R2,L5,I4,T6,5,170,0.001,0.02,607.064,0.0
R2:L11:I1+I3+I7:T6,R2,L11,I1+I3+I7,T6,5,170,0.001,0.019,607.039,0.0
R2:L14:I8:T6,R2,L14,I8,T6,5,170,0.001,0.019,606.519,0.0
R4:L15:I4:T8,R4,L15,I4,T8,5,170,0.001,0.007,604.526,0.0
R2:L16:I4:T6,R2,L16,I4,T6,5,170,0.001,0.017,603.211,0.0
R2:L14:I1+I3+I7:T8,R2,L14,I1+I3+I7,T8,5,170,0.001,0.017,601.743,0.0
R2:L18:I1+I2+I3+I8:T8,R2,L18,I1+I2+I3+I8,T8,5,170,0.001,0.017,601.727,0.0
R2:L12:I1+I2+I3+I8:T8,R2,L12,I1+I2+I3+I8,T8,5,170,0.001,0.016,601.184,0.0
R4:L8:I1+I2+I3+I8:T8,R4,L8,I1+I2+I3+I8,T8,5,180,0.002,0.046,601.147,0.0
R4:L17:I3:T6,R4,L17,I3,T6,5,170,0.001,0.006,600.472,0.0
R4:L3:I1:T6,R4,L3,I1,T6,5,170,0.001,0.006,599.537,0.0
R2:L13:I8:T6,R2,L13,I8,T6,5,170,0.001,0.016,599.145,0.0
R4:L10:I1+I2+I3+I8:T8,R4,L10,I1+I2+I3+I8,T8,5,170,0.001,0.006,596.565,0.0
R4:L7:I1+I2+I3+I8:T6,R4,L7,I1+I2+I3+I8,T6,5,170,0.001,0.006,596.452,0.0
R4:L5:I3:T8,R4,L5,I3,T8,5,170,0.001,0.005,595.961,0.0
R2:L13:I1+I3+I7:T8,R2,L13,I1+I3+I7,T8,5,170,0.001,0.014,595.844,0.0
R2:L17:I1+I2+I3+I8:T8,R2,L17,I1+I2+I3+I8,T8,5,170,0.001,0.014,594.715,0.0
R4:L18:I7:T6,R4,L18,I7,T6,5,170,0.001,0.005,594.178,0.0
R2:L2:I1+I2+I3+I8:T8,R2,L2,I1+I2+I3+I8,T8,5,170,0.001,0.013,593.463,0.0
R2:L15:I4:T6,R2,L15,I4,T6,5,170,0.001,0.013,593.402,0.0
R4:L18:I1:T6,R4,L18,I1,T6,5,170,0.001,0.005,591.781,0.0
R4:L19:I3:T8,R4,L19,I3,T8,5,170,0.001,0.005,591.274,0.0
R2:L8:I1+I2+I3+I8:T6,R2,L8,I1+I2+I3+I8,T6,5,170,0.002,0.012,590.618,0.0
R4:L12:I7:T6,R4,L12,I7,T6,5,170,0.001,0.005,589.504,0.0
R4:L11:I8:T6,R4,L11,I8,T6,5,170,0.001,0.004,587.531,0.0
R2:L10:I1+I2+I3+I8:T6,R2,L10,I1+I2+I3+I8,T6,5,170,0.001,0.011,586.836,0.0
R2:L5:I3:T6,R2,L5,I3,T6,5,170,0.001,0.011,586.337,0.0
R4:L14:I4:T8,R4,L14,I4,T8,5,170,0.001,0.004,583.948,0.0
R4:L16:I3:T8,R4,L16,I3,T8,5,170,0.001,0.004,583.041,0.0
R4:L17:I7:T6,R4,L17,I7,T6,5,170,0.001,0.004,582.616,0.0
R2:L19:I3:T6,R2,L19,I3,T6,5,170,0.001,0.009,582.457,0.0
R4:L3:I8:T8,R4,L3,I8,T8,5,170,0.001,0.003,577.761,0.0
R2:L14:I4:T6,R2,L14,I4,T6,5,170,0.001,0.008,576.372,0.0
R2:L16:I3:T6,R2,L16,I3,T6,5,170,0.001,0.008,575.618,0.0
R2:L3:I1+I3+I7:T8,R2,L3,I1+I3+I7,T8,5,170,0.001,0.007,574.405,0.0
R4:L2:I7:T6,R4,L2,I7,T6,5,170,0.001,0.003,574.085,0.0
R4:L13:I4:T8,R4,L13,I4,T8,5,170,0.001,0.003,574.027,0.0
R2:L1:I8:T8,R2,L1,I8,T8,5,170,0.001,0.007,573.923,0.0
R4:L17:I1:T6,R4,L17,I1,T6,5,170,0.001,0.003,573.153,0.0
R4:L4:I1+I3+I7:T8,R4,L4,I1+I3+I7,T8,5,170,0.001,0.003,572.775,0.0
R4:L15:I3:T8,R4,L15,I3,T8,5,170,0.001,0.003,572.144,0.0
R2:L3:I8:T6,R2,L3,I8,T6,5,170,0.001,0.007,571.216,0.0
R2:L13:I4:T6,R2,L13,I4,T6,5,170,0.001,0.006,568.096,0.0
R4:L12:I1:T6,R4,L12,I1,T6,5,170,0.001,0.003,567.89,0.0
R2:L4:I1+I3+I7:T6,R2,L4,I1+I3+I7,T6,5,170,0.001,0.006,567.049,0.0
R2:L15:I3:T6,R2,L15,I3,T6,5,170,0.001,0.006,566.52,0.0
R4:L19:I7:T8,R4,L19,I7,T8,5,170,0.001,0.003,566.445,0.0
R4:L5:I7:T8,R4,L5,I7,T8,5,170,0.001,0.002,562.039,0.0
R2:L19:I7:T6,R2,L19,I7,T6,5,170,0.001,0.005,561.742,0.0
R4:L16:I7:T8,R4,L16,I7,T8,5,170,0.001,0.002,561.682,0.0
R2:L5:I7:T6,R2,L5,I7,T6,5,170,0.001,0.005,558.038,0.0
R2:L16:I7:T6,R2,L16,I7,T6,5,170,0.001,0.005,557.738,0.0
R2:L18:I1+I3+I7:T8,R2,L18,I1+I3+I7,T8,5,170,0.001,0.005,556.575,0.0
R2:L12:I1+I3+I7:T8,R2,L12,I1+I3+I7,T8,5,170,0.001,0.004,555.973,0.0
R4:L14:I3:T8,R4,L14,I3,T8,5,170,0.001,0.002,553.057,0.0
R4:L2:I1:T6,R4,L2,I1,T6,5,170,0.001,0.002,551.279,0.0
R2:L14:I3:T6,R2,L14,I3,T6,5,170,0.001,0.004,550.461,0.0
R4:L19:I1:T8,R4,L19,I1,T8,5,170,0.001,0.002,548.779,0.0
R2:L17:I1+I3+I7:T8,R2,L17,I1+I3+I7,T8,5,170,0.001,0.004,548.667,0.0
R4:L8:I1+I3+I7:T8,R4,L8,I1+I3+I7,T8,5,170,0.002,0.004,547.517,0.0
R2:L1:I4:T8,R2,L1,I4,T8,5,170,0.001,0.003,547.106,0.0
R2:L19:I1:T6,R2,L19,I1,T6,5,170,0.001,0.003,546.84,0.0
R4:L16:I1:T8,R4,L16,I1,T8,5,170,0.001,0.002,546.768,0.0
R4:L15:I7:T8,R4,L15,I7,T8,5,170,0.001,0.002,546.47,0.0
R2:L2:I1+I3+I7:T8,R2,L2,I1+I3+I7,T8,5,170,0.001,0.003,546.464,0.0
R4:L12:I8:T8,R4,L12,I8,T8,5,170,0.001,0.002,546.219,0.0
R4:L18:I8:T8,R4,L18,I8,T8,5,170,0.001,0.002,545.919,0.0
