seed,gpu_index,util_mean_pct,util_p95_pct,util_max_pct,mem_max_mb,temp_max_c,power_mean_w,sample_count
S00_default,0,4.29,24.0,100.0,1046.0,56.0,61.15,228
S00_default,1,4.55,27.65,100.0,906.0,56.0,57.48,228
S01,0,6.52,31.0,100.0,1046.0,56.0,62.99,220
S01,1,5.02,28.0,100.0,906.0,56.0,57.56,220
S02,0,5.22,29.0,100.0,1046.0,56.0,62.38,220
S02,1,5.47,31.05,94.0,906.0,55.0,55.86,220
S03,0,5.58,28.2,100.0,1046.0,56.0,59.87,237
S03,1,4.88,26.0,100.0,906.0,55.0,56.29,237
S04,0,5.4,29.0,100.0,1046.0,56.0,61.56,250
S04,1,5.12,25.55,99.0,906.0,55.0,55.69,250
