seed,run_id,chunks_done,chunks_failed,chunks_running,chunks_pending,rows_done,rows_total,elapsed_wall_min,chunk_wall_median_s,chunk_wall_p95_s,partial_chunks_cuda0,partial_chunks_cuda1,agreement_rows,xyz_diff_p95_max_mm,xyz_diff_max_max_mm,accept_rate_delta_max
S00_default,phase4_GPUCPU_FULLFACTORY_2x1080ti_20260605T113145Z,290,0,0,0,580,580,57.14,93.07,110.61,144,144,19592,8.586,844.065,0.0
S01,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z,290,0,0,0,580,580,55.13,90.85,102.59,144,144,19592,8.586,844.065,0.0
S02,phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z,290,0,0,0,580,580,55.13,90.25,101.19,146,142,19592,8.586,844.065,0.0
S03,phase4_GPUCPU_FULLFACTORY_S03_2x1080ti_20260605T142014Z,290,0,0,0,580,580,59.4,98.19,112.55,144,144,19592,8.586,844.065,0.0
S04,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z,290,0,0,0,580,580,62.68,102.55,118.99,144,144,19592,8.586,844.065,0.0
