row_spec,R,L,I,T,seed_count,track_rows,p95_mean_mm,p95_max_across_seeds_mm,max_diff_across_seeds_mm,accept_delta_max_across_seeds
R4:L0:I1+I2+I3+I8:T6,R4,L0,I1+I2+I3+I8,T6,5,170,0.253,8.586,844.065,0.0
R4:L1:I1+I2+I3+I8:T6,R4,L1,I1+I2+I3+I8,T6,5,170,0.197,6.698,838.371,0.0
R4:L0:I1+I3+I7:T6,R4,L0,I1+I3+I7,T6,5,170,0.18,6.11,836.201,0.0
R4:L1:I1+I3+I7:T6,R4,L1,I1+I3+I7,T6,5,170,0.131,4.45,828.346,0.0
R4:L19:I1+I2+I3+I8:T6,R4,L19,I1+I2+I3+I8,T6,5,170,0.127,4.293,827.416,0.0
R4:L5:I1+I2+I3+I8:T6,R4,L5,I1+I2+I3+I8,T6,5,170,0.124,4.205,826.86,0.0
R4:L16:I1+I2+I3+I8:T6,R4,L16,I1+I2+I3+I8,T6,5,170,0.123,4.155,826.581,0.0
R4:L15:I1+I2+I3+I8:T6,R4,L15,I1+I2+I3+I8,T6,5,170,0.113,3.816,824.384,0.0
R4:L14:I1+I2+I3+I8:T6,R4,L14,I1+I2+I3+I8,T6,5,170,0.097,3.301,820.552,0.0
R4:L13:I1+I2+I3+I8:T6,R4,L13,I1+I2+I3+I8,T6,5,170,0.09,3.059,818.476,0.0
R4:L19:I1+I3+I7:T6,R4,L19,I1+I3+I7,T6,5,170,0.076,2.575,813.75,0.0
R4:L5:I1+I3+I7:T6,R4,L5,I1+I3+I7,T6,5,170,0.074,2.506,812.964,0.0
R4:L16:I1+I3+I7:T6,R4,L16,I1+I3+I7,T6,5,170,0.073,2.47,812.596,0.0
R4:L0:I0:T6,R4,L0,I0,T6,5,170,0.069,2.334,811.008,0.0
R4:L0:I0:T8,R4,L0,I0,T8,5,170,0.069,2.334,811.008,0.0
R4:L0:I1+I2+I3+I8:T8,R4,L0,I1+I2+I3+I8,T8,5,170,0.069,2.334,811.008,0.0
R4:L0:I1+I3+I7:T8,R4,L0,I1+I3+I7,T8,5,170,0.069,2.334,811.008,0.0
R4:L0:I1:T6,R4,L0,I1,T6,5,170,0.069,2.334,811.008,0.0
R4:L0:I1:T8,R4,L0,I1,T8,5,170,0.069,2.334,811.008,0.0
R4:L0:I3:T6,R4,L0,I3,T6,5,170,0.069,2.334,811.008,0.0
R4:L0:I3:T8,R4,L0,I3,T8,5,170,0.069,2.334,811.008,0.0
R4:L0:I4:T6,R4,L0,I4,T6,5,170,0.069,2.334,811.008,0.0
R4:L0:I4:T8,R4,L0,I4,T8,5,170,0.069,2.334,811.008,0.0
R4:L0:I7:T6,R4,L0,I7,T6,5,170,0.069,2.334,811.008,0.0
R4:L0:I7:T8,R4,L0,I7,T8,5,170,0.069,2.334,811.008,0.0
R4:L0:I8:T6,R4,L0,I8,T6,5,170,0.069,2.334,811.008,0.0
R4:L0:I8:T8,R4,L0,I8,T8,5,170,0.069,2.334,811.008,0.0
R4:L3:I1+I2+I3+I8:T6,R4,L3,I1+I2+I3+I8,T6,5,170,0.069,2.332,810.962,0.0
R4:L15:I1+I3+I7:T6,R4,L15,I1+I3+I7,T6,5,170,0.066,2.228,809.617,0.0
R4:L14:I1+I3+I7:T6,R4,L14,I1+I3+I7,T6,5,170,0.055,1.862,804.38,0.0
