a,b,master,dist_mm,quality_percent,raw_mm,ok,fail
A,B,A,2969,100,2969,1,0
A,C,A,5542,100,5542,1,0
A,D,A,4647,100,4647,1,0
A,E,A,1469,100,1469,1,0
A,F,A,3207,100,3207,1,0
A,G,A,5750,100,5750,1,0
A,H,A,4817,100,4817,1,0
A,B,A,3028,100,3028,1,0
A,C,A,5531,100,5531,1,0
A,D,A,4636,100,4636,1,0
A,E,A,1436,100,1436,1,0
A,F,A,3197,100,3197,1,0
A,G,A,5761,100,5761,1,0
A,H,A,4843,100,4843,1,0
A,B,A,3009,100,3009,1,0
A,C,A,5525,100,5525,1,0
A,D,A,4656,100,4656,1,0
A,E,A,1483,100,1483,1,0
A,F,A,3190,100,3190,1,0
A,G,A,5738,100,5738,1,0
A,H,A,4801,100,4801,1,0
A,B,A,3070,100,3070,1,0
A,C,A,5573,100,5573,1,0
A,D,A,4665,100,4665,1,0
A,E,A,1481,100,1481,1,0
A,F,A,3190,100,3190,1,0
A,G,A,5749,100,5749,1,0
A,H,A,4890,100,4890,1,0
A,B,A,3047,100,3047,1,0
A,C,A,5556,100,5556,1,0
A,D,A,4663,100,4663,1,0
A,E,A,1436,100,1436,1,0
A,F,A,3178,93,3178,1,0
A,G,A,5753,100,5753,1,0
A,H,A,4901,100,4901,1,0
A,B,A,2985,100,2985,1,0
A,C,A,5499,100,5499,1,0
A,D,A,4758,100,4758,1,0
A,E,A,1468,100,1468,1,0
A,F,A,3142,93,3142,1,0
A,G,A,5757,100,5757,1,0
A,H,A,4863,100,4863,1,0
A,B,A,3024,100,3024,1,0
A,C,A,5531,100,5531,1,0
A,D,A,4747,100,4747,1,0
A,E,A,1476,100,1476,1,0
A,F,A,3204,94,3204,1,0
A,G,A,5769,100,5769,1,0
A,H,A,4863,100,4863,1,0
A,B,A,2969,100,2969,1,0
A,C,A,5563,100,5563,1,0
A,D,A,4699,100,4699,1,0
A,E,A,1474,100,1474,1,0
A,F,A,3183,94,3183,1,0
A,G,A,5733,100,5733,1,0
A,H,A,4828,100,4828,1,0
A,B,A,3014,100,3014,1,0
A,C,A,5538,100,5538,1,0
A,D,A,4634,100,4634,1,0
A,E,A,1458,100,1458,1,0
A,F,A,3180,94,3180,1,0
A,G,A,5758,100,5758,1,0
A,H,A,4809,100,4809,1,0
A,B,A,3050,100,3050,1,0
A,C,A,5524,100,5524,1,0
A,D,A,4666,100,4666,1,0
A,E,A,1461,100,1461,1,0
A,F,A,3177,95,3177,1,0
A,G,A,5712,100,5712,1,0
A,H,A,4881,100,4881,1,0
A,B,A,3020,100,3020,1,0
A,C,A,5538,100,5538,1,0
A,D,A,4660,100,4660,1,0
A,E,A,1480,100,1480,1,0
A,F,A,3183,95,3183,1,0
A,G,A,5771,100,5771,1,0
A,H,A,4896,100,4896,1,0
A,B,A,2994,100,2994,1,0
A,C,A,5555,100,5555,1,0
A,D,A,4653,100,4653,1,0
A,E,A,1432,100,1432,1,0
A,F,A,3193,95,3193,1,0
A,G,A,5726,100,5726,1,0
A,H,A,4872,100,4872,1,0
A,B,A,2991,100,2991,1,0
A,C,A,5557,100,5557,1,0
A,D,A,4681,100,4681,1,0
A,E,A,1426,100,1426,1,0
A,F,A,3135,95,3135,1,0
A,G,A,5739,100,5739,1,0
A,H,A,4836,100,4836,1,0
A,B,A,2969,100,2969,1,0
A,C,A,5533,100,5533,1,0
A,D,A,4671,100,4671,1,0
A,E,A,1457,100,1457,1,0
A,F,A,3224,95,3224,1,0
A,G,A,5726,100,5726,1,0
A,H,A,4805,100,4805,1,0
A,B,A,3046,100,3046,1,0
A,C,A,5526,100,5526,1,0
A,D,A,4617,100,4617,1,0
A,E,A,1477,100,1477,1,0
A,F,A,3185,96,3185,1,0
A,G,A,5765,100,5765,1,0
A,H,A,4805,100,4805,1,0
A,B,A,2993,100,2993,1,0
A,C,A,5532,100,5532,1,0
A,D,A,4645,100,4645,1,0
A,E,A,1473,100,1473,1,0
A,F,A,3236,96,3236,1,0
A,G,A,5792,100,5792,1,0
A,H,A,4854,100,4854,1,0
A,B,A,2994,100,2994,1,0
A,C,A,5557,100,5557,1,0
A,D,A,4674,100,4674,1,0
A,E,A,1449,100,1449,1,0
A,F,A,3224,96,3224,1,0
A,G,A,5729,100,5729,1,0
A,H,A,4836,100,4836,1,0
A,B,A,3047,100,3047,1,0
A,C,A,5538,100,5538,1,0
A,D,A,4637,100,4637,1,0
A,E,A,1450,100,1450,1,0
A,F,A,3186,96,3186,1,0
A,G,A,5754,100,5754,1,0
A,H,A,4849,100,4849,1,0
A,B,A,2981,100,2981,1,0
A,C,A,5576,100,5576,1,0
A,D,A,4699,100,4699,1,0
A,E,A,1456,100,1456,1,0
A,F,A,3180,96,3180,1,0
A,G,A,5736,100,5736,1,0
A,H,A,4921,100,4921,1,0
A,B,A,2982,100,2982,1,0
A,C,A,5536,100,5536,1,0
A,D,A,4669,100,4669,1,0
A,E,A,1468,100,1468,1,0
A,F,A,3251,96,3251,1,0
A,G,A,5747,100,5747,1,0
A,H,A,4899,100,4899,1,0
