phase,material,wall_count,walls,distance_cm,seed,metal_box_count,device,tag_points,trials,samples,range_bias_mean_m,range_sigma_mean_m,hor_err_p50_m,hor_err_p90_m,hor_err_p95_m,z_err_p50_m,z_err_p90_m,z_err_p95_m,pos_err_p50_m,pos_err_p90_m,pos_err_p95_m,failure_gt_0p5m_ratio,failure_gt_1p0m_ratio
phase2,phase1_default_wall,4,x_min+x_max+y_min+y_max,0,0,6,cuda:0,847,96,81312,0.26651430130004883,0.14933571219444275,0.22995978593826294,0.4311986267566681,0.49301066994667053,0.43143272399902344,0.761665940284729,0.8488034009933472,0.5251727104187012,0.8093444108963013,0.892257034778595,0.5463768839836121,0.018939392641186714
phase2,phase1_default_wall,4,x_min+x_max+y_min+y_max,0,1,6,cuda:0,847,96,81312,0.26651430130004883,0.14933571219444275,0.22845222055912018,0.43410348892211914,0.5009168982505798,0.4282751679420471,0.7614054083824158,0.8533750176429749,0.5217511653900146,0.8122708797454834,0.9022529721260071,0.5385059714317322,0.02158352918922901
phase2,phase1_default_wall,4,x_min+x_max+y_min+y_max,0,2,6,cuda:0,847,96,81312,0.26651430130004883,0.14933571219444275,0.2295159101486206,0.43206438422203064,0.49439653754234314,0.43184638023376465,0.7601152062416077,0.8471971154212952,0.5252693295478821,0.8077198266983032,0.8916531801223755,0.546733558177948,0.0187672171741724
phase2,phase1_default_wall,4,x_min+x_max+y_min+y_max,0,3,6,cuda:0,847,96,81312,0.26651430130004883,0.14933571219444275,0.2284466177225113,0.4336422383785248,0.49739500880241394,0.4298069477081299,0.7655879855155945,0.8568857908248901,0.523300051689148,0.8139532208442688,0.9037281274795532,0.541691243648529,0.021386757493019104
phase2,phase1_default_wall,4,x_min+x_max+y_min+y_max,0,4,6,cuda:0,847,96,81312,0.26651430130004883,0.14933571219444275,0.22992844879627228,0.434543639421463,0.4989365041255951,0.43020325899124146,0.7597149610519409,0.8485104441642761,0.5232519507408142,0.8094293475151062,0.8949149250984192,0.5430932641029358,0.019320640712976456
phase2,phase1_default_wall,4,x_min+x_max+y_min+y_max,0,5,6,cuda:0,847,96,81312,0.26651430130004883,0.14933571219444275,0.22992298007011414,0.43150150775909424,0.492750883102417,0.4322974681854248,0.7635926604270935,0.8486998677253723,0.5253806114196777,0.8101674318313599,0.8922542333602905,0.5470287203788757,0.017229929566383362
phase2,phase1_default_wall,4,x_min+x_max+y_min+y_max,0,6,6,cuda:0,847,96,81312,0.26651430130004883,0.14933571219444275,0.23052266240119934,0.4334290325641632,0.4976361393928528,0.4322810769081116,0.76302570104599,0.8507370352745056,0.5250579714775085,0.8118377923965454,0.8974596261978149,0.5452454686164856,0.019861767068505287
phase2,phase1_default_wall,4,x_min+x_max+y_min+y_max,0,7,6,cuda:0,847,96,81312,0.26651430130004883,0.14933571219444275,0.23011547327041626,0.430398166179657,0.4903201162815094,0.4322170615196228,0.7583265900611877,0.8434261083602905,0.5247468948364258,0.8047160506248474,0.8856244683265686,0.5461678504943848,0.016651907935738564
phase2,phase1_default_wall,4,x_min+x_max+y_min+y_max,0,8,6,cuda:0,847,96,81312,0.26651430130004883,0.14933571219444275,0.22812023758888245,0.4327836036682129,0.500261664390564,0.42779141664505005,0.7617911100387573,0.8554944396018982,0.5216116905212402,0.812038004398346,0.9014770984649658,0.5387765765190125,0.022026268765330315
phase2,phase1_default_wall,4,x_min+x_max+y_min+y_max,0,9,6,cuda:0,847,96,81312,0.26651430130004883,0.14933571219444275,0.2283291220664978,0.43462491035461426,0.49836990237236023,0.4300827085971832,0.7625505924224854,0.8522206544876099,0.5223864316940308,0.8118688464164734,0.8994345664978027,0.5408057570457458,0.020390594378113747
phase2,phase1_default_wall,4,x_min+x_max+y_min+y_max,0,10,6,cuda:0,847,96,81312,0.26651430130004883,0.14933572709560394,0.22676905989646912,0.43575531244277954,0.5056984424591064,0.4276076853275299,0.7637450098991394,0.8590496182441711,0.5205765962600708,0.8163375854492188,0.9089776277542114,0.5377066135406494,0.02371113747358322
