pair,obs,pred,residual
AB,3006.4861313868614,2983.265343452362,-23.22078793449964
AC,5535.260273972602,5521.757025327416,-13.503248645185522
AD,4672.607634652257,4722.058162712975,49.45052806071817
AE,1459.7115135834413,1461.011415570005,1.299901986563782
AF,3195.6405335829627,3210.382982068863,14.74244848590024
AG,5761.613793103447,5780.975467466357,19.36167436290998
AH,4860.335249482639,4810.484625493468,-49.850623989170344
BC,4570.5,4604.796166408607,34.29616640860695
BD,5435.750887154009,5432.668439004441,-3.082448149568336
BE,3214.5270072992703,3234.35534349458,19.82833619530993
BF,1439.1965317919075,1439.6971371232632,0.5006053313557004
BG,5004.715923566879,4966.592036441362,-38.123887125516376
BH,5659.0,5669.344069479305,10.34406947930529
CD,3121.7760252365933,3089.2414555825035,-32.534569654089864
CE,5671.2388943731485,5698.2580978538645,27.019203480715987
CF,4802.762264150943,4763.441044803296,-39.32121934764746
CG,1735.3316812053924,1732.6434372076963,-2.6882439976961905
CH,3454.429864253393,3474.757986208591,20.32812195519773
DE,5094.889391979302,5026.540932782122,-68.34845919718009
DF,5592.598503740648,5619.716238233299,27.117734492650925
DG,3277.6376470588234,3298.6279765865966,20.990329527773156
DH,1522.3414287967196,1527.1978613746203,4.856432577900705
EF,2790.9452054794515,2778.9489365470304,-11.996268932421117
EG,5604.619808306709,5581.230978660924,-23.388829645785336
EH,4569.644412191583,4622.28508913302,52.64067694143705
FG,4657.460063897764,4689.872511651238,32.412447753474225
FH,5457.4861313868605,5438.149953902904,-19.336177483956817
GH,2940.814029363785,2929.4440203799036,-11.370008983881235
