pair,obs,pred,residual
AB,3006.4861313868614,2971.543692553826,-34.94243883303534
AC,5535.260273972602,5541.295937304331,6.0356633317296655
AD,4672.607634652257,4693.484246086469,20.876611434212464
AE,1459.7115135834413,1457.8136734679606,-1.897840115480676
AF,3195.6405335829627,3210.439356123541,14.798822540578385
AG,5761.613793103447,5785.056890450573,23.44309734712533
AH,4860.335249482639,4811.863654589336,-48.47159489330261
BC,4570.5,4549.970006927012,-20.529993072987963
BD,5435.750887154009,5486.728229648431,50.977342494421464
BE,3214.5270072992703,3228.557821345363,14.030814046092928
BF,1439.1965317919075,1437.7909479953769,-1.4055837965306637
BG,5004.715923566879,4993.565343596428,-11.150579970450963
BH,5659.0,5658.062675469486,-0.9373245305141609
CD,3121.7760252365933,3046.470407204763,-75.30561803183036
CE,5671.2388943731485,5731.199471101692,59.960576728543856
CF,4802.762264150943,4768.0877825373045,-34.67448161363882
CG,1735.3316812053924,1720.4689451407116,-14.862736064680803
CH,3454.429864253393,3485.241898018652,30.812033765259002
DE,5094.889391979302,4995.378839810668,-99.5105521686337
DF,5592.598503740648,5634.560685487961,41.96218174731257
DG,3277.6376470588234,3308.7577243973737,31.120077338550345
DH,1522.3414287967196,1524.0509004715695,1.709471674849965
EF,2790.9452054794515,2783.7399496167272,-7.205255862724243
EG,5604.619808306709,5544.448298688985,-60.17150961772404
EH,4569.644412191583,4656.731611756231,87.08719956464847
FG,4657.460063897764,4695.918676522875,38.45861262511153
FH,5457.4861313868605,5411.7418302273045,-45.74430115955602
GH,2940.814029363785,2939.355086966628,-1.4589423971569886
