pair,obs,pred,residual
AB,3007.088,2971.7477852574193,-35.34021474258088
AC,5537.676,5542.6157712787335,4.939771278733133
AD,4676.4445,4695.476194884317,19.031694884317403
AE,1463.483,1460.6534065869462,-2.8295934130537717
AF,3196.3945,3211.5719621691733,15.177462169173396
AG,5759.797,5784.54522453348,24.748224533480425
AH,4858.948,4811.736026824796,-47.21197317520455
BC,4571.0895,4550.9295481702375,-20.159951829762576
BD,5439.381,5489.758388943782,50.377388943781625
BE,3214.588,3229.2934399688356,14.705439968835435
BF,1442.35,1440.6664535058087,-1.683546494191205
BG,5006.028,4994.860307951715,-11.167692048285062
BH,5659.838,5658.9835192646815,-0.8544807353182478
CD,3127.2775,3049.847083774307,-77.43041622569308
CE,5670.7815,5733.182732097691,62.40123209769081
CF,4803.5415,4767.376986624855,-36.16451337514536
CG,1733.8835,1718.365063723467,-15.518436276532839
CH,3455.9555,3488.0927821489195,32.13728214891944
DE,5099.0235,4999.789050038338,-99.234449961662
DF,5592.5365,5636.824388338274,44.28788833827366
DG,3276.221,3308.4948474564453,32.27384745644531
DH,1528.5645,1528.8818292779135,0.31732927791358634
EF,2791.712,2782.869299001213,-8.842700998786768
EG,5604.9755,5544.686882697252,-60.2886173027473
EH,4572.044,4656.906230298144,84.86223029814391
FG,4657.457,4695.303409559115,37.84640955911436
FH,5454.796,5409.987978029852,-44.80802197014873
GH,2940.7725,2937.72021394403,-3.052286055969944
