rx,src,n,snr_med,fp_amp_med,peak_med,noise_med,tail_med,raw_med,fp_peak_delta_med
A,B,19,39.81030611367867,19420.0,2466.0,44.0,0.013913707309568944,4781.0,2.296875
A,C,19,39.92753094925334,7607.0,1518.0,28.0,0.06599157933130058,5171.0,9.65625
A,D,15,38.973797121345285,19672.0,2340.0,60.0,0.018860704148110936,2780.0,4.40625
A,E,14,39.99808002558062,21516.0,2081.5,52.0,0.029833522618137275,1627.0,1.6640625
A,F,19,39.597347340881846,17371.0,1443.0,44.0,0.11750632893860971,4608.0,1.640625
A,G,20,41.65804357616577,20955.5,2282.5,38.0,0.015642072888767115,5283.5,1.9921875
A,H,17,41.17025872902562,21859.0,2446.0,48.0,0.01836612843342306,3164.0,2.421875
B,A,18,41.2635078263498,19110.0,2249.0,36.0,0.014552970703896249,4723.5,2.078125
B,C,19,38.40347677440265,17276.0,2043.0,48.0,0.033280613229598806,3408.0,2.828125
B,D,16,40.654248679341066,19352.5,2233.5,48.0,0.02062788073467443,5615.0,3.875
B,E,18,39.955452039621875,18692.5,1979.5,48.0,0.04063504804842207,4531.0,1.609375
B,F,17,39.4263940189701,20029.0,1887.0,44.0,0.0932229357060576,1512.0,2.25
B,G,16,39.39373485220213,18719.0,2071.5,48.0,0.02989038480545176,3650.0,1.4921875
B,H,18,39.123058545056765,16128.0,1961.0,44.0,0.04731448781394486,5429.0,1.4453125
C,A,16,39.393464178494725,7547.5,1390.0,28.0,0.05514050144932782,5113.5,9.71875
C,B,19,37.53616057086555,17050.0,2013.0,52.0,0.031881932603506385,3336.0,2.6875
C,D,18,39.566576270561946,18940.5,1924.5,52.0,0.039311934544657326,3964.0,1.5
C,E,19,42.65785949466718,18675.0,2105.0,48.0,0.016318568948014676,4981.0,4.296875
C,F,18,39.36498050519464,16513.5,2215.0,48.0,0.026958268348701443,3562.0,4.7109375
C,G,17,37.02460206621617,11173.0,1672.0,56.0,0.18010431007654215,1568.0,3.75
C,H,19,39.0910940093204,19493.0,2095.0,64.0,0.02955129638493974,4064.5,1.890625
D,A,16,39.495797318841326,20553.0,2401.5,54.0,0.017016717217914964,2771.0,3.484375
D,B,15,41.68778043237316,18773.0,2181.0,44.0,0.02175700709592647,5604.0,3.609375
D,C,17,39.51581825848712,19187.0,2150.0,52.0,0.04604232019011911,3971.0,1.640625
D,E,15,41.260666554284526,20687.0,2186.0,48.0,0.023343496131313448,3115.5,1.75
D,F,19,38.16736661131783,16717.0,2073.0,48.0,0.03587744030582855,5299.5,1.453125
D,G,12,39.416892291557474,15662.5,2053.5,40.0,0.02538551602340948,4102.5,6.8828125
D,H,17,40.12557550563375,21774.0,2083.0,56.0,0.034112543446758646,1756.0,1.671875
E,A,14,40.26076609241246,21433.5,2193.0,54.0,0.02416716656204689,1634.5,2.015625
E,B,19,39.470460770934736,19157.0,2094.0,48.0,0.036035594330760576,4465.0,1.609375
E,C,19,41.681024400233284,18696.0,2154.0,44.0,0.020833134769652612,4978.0,2.078125
E,D,17,40.37163832125259,20697.0,2275.0,48.0,0.02324798316608793,3080.0,2.203125
E,F,17,36.33217883735446,14439.0,2051.0,52.0,0.11187804922560327,4162.0,3.28125
E,G,20,39.497388829043324,19059.5,2075.5,44.0,0.09013841990072971,4898.5,3.4921875
E,H,17,36.22900175836867,15234.0,1963.0,64.0,0.1624314393983332,2773.0,1.5625
F,A,18,39.7217775278303,17593.0,1628.0,48.0,0.14045446528305933,4577.0,1.2421875
F,B,17,38.973282483007246,20238.0,1999.0,48.0,0.09213790860803056,1564.0,1.640625
F,C,16,39.637341330206745,16210.5,2224.0,44.0,0.02779006667019139,3529.5,4.546875
F,D,17,38.49551478817119,16204.0,2064.0,48.0,0.03720954803522844,5219.0,1.390625
F,E,16,36.925165231529924,14009.5,1908.5,50.0,0.10829833798909842,4240.0,3.421875
F,G,16,35.75619866334714,14799.0,1947.5,48.0,0.16893191687714193,3408.0,1.3203125
F,H,14,37.80643536673725,13779.5,1979.0,44.0,0.057433152125367995,5109.0,1.328125
G,A,19,41.74256951320656,20633.0,2131.0,28.0,0.015331062917277828,5208.0,2.15625
G,B,15,39.921338061500514,18879.0,2167.0,44.0,0.027362325802327895,3682.5,1.625
G,C,18,36.91800213979506,13910.5,1995.5,52.0,0.17572650023810873,1588.0,3.84375
G,D,13,39.915199682217064,14487.0,2003.0,36.0,0.03493787875454042,3986.0,1.546875
G,E,20,40.41146019841729,18737.5,2022.5,36.0,0.090436072938274,4815.5,3.84375
G,F,18,36.74347928700578,15487.0,1984.0,52.0,0.15758114484986768,3370.5,1.40625
G,H,17,39.125455226174424,20714.0,1990.0,44.0,0.07791036925482123,3584.5,1.734375
H,A,19,41.57499296333269,21215.0,2216.0,48.0,0.017832525243918818,3159.0,2.53125
H,B,19,38.715328693924526,15665.0,1820.0,44.0,0.04913811518624122,5499.0,0.984375
H,C,15,39.92314246514672,18978.0,2027.0,60.0,0.032538830563980006,4087.0,2.0
H,D,17,39.54156199961692,21089.0,2179.0,64.0,0.03966629775154512,1746.0,2.828125
H,E,17,36.08743804623353,15318.0,1924.0,60.0,0.15459962562749768,2751.0,1.4375
H,F,17,38.28996595110578,15476.0,1868.0,48.0,0.056120261557658424,5168.0,1.265625
H,G,15,38.69541515209369,20699.0,2085.0,48.0,0.07502385724510288,3724.0,1.609375
