version,eval_set,method,n_tags,err_3d_median_mm,err_3d_p95_mm,err_3d_rms_mm,err_horizontal_median_mm,err_vertical_median_mm,range_median_min_mm,range_median_max_mm,range_p95_min_mm,range_p95_max_mm,det,scale,note
v4-io,all8,A_tag_cloud_fit_WRONG_circular,24,66.01310485742425,195.19395866952226,104.06587013475189,40.570175787674536,51.20154837245482,,,,,-0.9999999999999994,1.0,WRONG for accuracy: transform fitted to tag truth; included only to show circular optimism.
v4-io,all8,B_centroid_only_WRONG_underdetermined,24,,,,,,225.81738041205227,1561.246759145256,550.6286959756275,2189.4148375939944,,1.0,"WRONG for accuracy: centroid fixes translation only; rotation/reflection remain free, so error is a range."
v4-io,all8,C_anchor_locked_OFFICIAL,24,72.68911932045484,171.49736845476423,109.84509967728258,37.420348076674614,61.870068315403614,,,,,,1.0,"CORRECT: transform fitted from anchors only, reflection allowed, no scale."
