sweep,conn_id,peer_name,tag_id,plan,pmode,anchor_label,status,reason,raw_mm,filt_mm,pred_mm,resid_mm,tracker_quality_percent,solve_quality_percent
24585,,BSF66F,,cal_static,4,C,ok,ok,2140,2140,0,0,96,96
24585,,BSF66F,,cal_static,4,D,ok,ok,3494,3494,0,0,100,100
24586,,BSF66F,,cal_static,4,E,ok,ok,3833,3833,0,0,100,100
24586,,BSF66F,,cal_static,4,F,ok,ok,2398,2398,0,0,100,100
24586,,BSF66F,,cal_static,4,G,ok,ok,1965,1965,0,0,100,100
24586,,BSF66F,,cal_static,4,H,ok,ok,3531,3531,0,0,96,96
24587,,BSF66F,,cal_static,4,A,ok,ok,3660,3660,0,0,100,100
24587,,BSF66F,,cal_static,4,B,ok,ok,2507,2507,0,0,100,100
24587,,BSF66F,,cal_static,4,C,ok,ok,2106,2106,0,0,96,96
24587,,BSF66F,,cal_static,4,D,ok,ok,3495,3495,0,0,100,100
24588,,BSF66F,,cal_static,4,E,ok,ok,3810,3810,0,0,100,100
24588,,BSF66F,,cal_static,4,F,ok,ok,2353,2353,0,0,100,100
24588,,BSF66F,,cal_static,4,G,ok,ok,1972,1972,0,0,100,100
24588,,BSF66F,,cal_static,4,H,ok,ok,3501,3501,0,0,96,96
24589,,BSF66F,,cal_static,4,A,ok,ok,3743,3743,0,0,100,100
24589,,BSF66F,,cal_static,4,B,ok,ok,2532,2532,0,0,100,100
24589,,BSF66F,,cal_static,4,C,ok,ok,2122,2122,0,0,96,96
24589,,BSF66F,,cal_static,4,D,ok,ok,3496,3496,0,0,100,100
24590,,BSF66F,,cal_static,4,E,ok,ok,3864,3864,0,0,100,100
24590,,BSF66F,,cal_static,4,F,timeout,rx_timeout,0,2353,0,0,96,96
24590,,BSF66F,,cal_static,4,G,ok,ok,2034,2034,0,0,100,100
24590,,BSF66F,,cal_static,4,H,ok,ok,3557,3557,0,0,96,96
24591,,BSF66F,,cal_static,4,A,ok,ok,3737,3737,0,0,100,100
24591,,BSF66F,,cal_static,4,B,ok,ok,2524,2524,0,0,100,100
24591,,BSF66F,,cal_static,4,C,ok,ok,2179,2179,0,0,96,96
24591,,BSF66F,,cal_static,4,D,ok,ok,3533,3533,0,0,100,100
24592,,BSF66F,,cal_static,4,E,ok,ok,3820,3820,0,0,100,100
24592,,BSF66F,,cal_static,4,F,ok,ok,2324,2324,0,0,100,100
24592,,BSF66F,,cal_static,4,G,ok,ok,2000,2000,0,0,100,100
24592,,BSF66F,,cal_static,4,H,ok,ok,3512,3512,0,0,96,96
24593,,BSF66F,,cal_static,4,A,ok,ok,3708,3708,0,0,100,100
24593,,BSF66F,,cal_static,4,B,ok,ok,2582,2582,0,0,100,100
24593,,BSF66F,,cal_static,4,C,ok,ok,2138,2138,0,0,100,100
24593,,BSF66F,,cal_static,4,D,ok,ok,3514,3514,0,0,100,100
24594,,BSF66F,,cal_static,4,E,ok,ok,3829,3829,0,0,100,100
24594,,BSF66F,,cal_static,4,F,ok,ok,2317,2317,0,0,100,100
24594,,BSF66F,,cal_static,4,G,ok,ok,2012,2012,0,0,100,100
24594,,BSF66F,,cal_static,4,H,ok,ok,3526,3526,0,0,100,100
24595,,BSF66F,,cal_static,4,A,ok,ok,3723,3723,0,0,100,100
24595,,BSF66F,,cal_static,4,B,ok,ok,2565,2565,0,0,100,100
24595,,BSF66F,,cal_static,4,C,ok,ok,2172,2172,0,0,100,100
24595,,BSF66F,,cal_static,4,D,ok,ok,3561,3561,0,0,100,100
24596,,BSF66F,,cal_static,4,E,ok,ok,3793,3793,0,0,100,100
24596,,BSF66F,,cal_static,4,F,ok,ok,2341,2341,0,0,100,100
24596,,BSF66F,,cal_static,4,G,ok,ok,2011,2011,0,0,100,100
24596,,BSF66F,,cal_static,4,H,ok,ok,3510,3510,0,0,100,100
24597,,BSF66F,,cal_static,4,A,ok,ok,3727,3727,0,0,100,100
24597,,BSF66F,,cal_static,4,B,ok,ok,2503,2503,0,0,100,100
24597,,BSF66F,,cal_static,4,C,ok,ok,2123,2123,0,0,100,100
24597,,BSF66F,,cal_static,4,D,ok,ok,3546,3546,0,0,100,100
24598,,BSF66F,,cal_static,4,E,ok,ok,3846,3846,0,0,100,100
24598,,BSF66F,,cal_static,4,F,ok,ok,2363,2363,0,0,100,100
24598,,BSF66F,,cal_static,4,G,ok,ok,1970,1970,0,0,100,100
24598,,BSF66F,,cal_static,4,H,ok,ok,3504,3504,0,0,100,100
24599,,BSF66F,,cal_static,4,A,ok,ok,3718,3718,0,0,100,100
24599,,BSF66F,,cal_static,4,B,ok,ok,2504,2504,0,0,100,100
24599,,BSF66F,,cal_static,4,C,ok,ok,2168,2168,0,0,100,100
24599,,BSF66F,,cal_static,4,D,ok,ok,3497,3497,0,0,100,100
24600,,BSF66F,,cal_static,4,E,ok,ok,3818,3818,0,0,100,100
24600,,BSF66F,,cal_static,4,F,ok,ok,2365,2365,0,0,100,100
24600,,BSF66F,,cal_static,4,G,ok,ok,2047,2047,0,0,100,100
24600,,BSF66F,,cal_static,4,H,ok,ok,3487,3487,0,0,100,100
24601,,BSF66F,,cal_static,4,A,ok,ok,3694,3694,0,0,100,100
24601,,BSF66F,,cal_static,4,B,ok,ok,2527,2527,0,0,100,100
24601,,BSF66F,,cal_static,4,C,ok,ok,2164,2164,0,0,100,100
24601,,BSF66F,,cal_static,4,D,ok,ok,3490,3490,0,0,100,100
24602,,BSF66F,,cal_static,4,E,ok,ok,3832,3832,0,0,100,100
24602,,BSF66F,,cal_static,4,F,ok,ok,2366,2366,0,0,100,100
24602,,BSF66F,,cal_static,4,G,ok,ok,2010,2010,0,0,100,100
24602,,BSF66F,,cal_static,4,H,ok,ok,3517,3517,0,0,100,100
24603,,BSF66F,,cal_static,4,A,ok,ok,3681,3681,0,0,100,100
24603,,BSF66F,,cal_static,4,B,ok,ok,2493,2493,0,0,100,100
24603,,BSF66F,,cal_static,4,C,ok,ok,2122,2122,0,0,100,100
24603,,BSF66F,,cal_static,4,D,ok,ok,3507,3507,0,0,100,100
24604,,BSF66F,,cal_static,4,E,ok,ok,3788,3788,0,0,100,100
24604,,BSF66F,,cal_static,4,F,ok,ok,2341,2341,0,0,100,100
24604,,BSF66F,,cal_static,4,G,ok,ok,2001,2001,0,0,100,100
24604,,BSF66F,,cal_static,4,H,ok,ok,3538,3538,0,0,100,100
24605,,BSF66F,,cal_static,4,A,ok,ok,3680,3680,0,0,100,100
24605,,BSF66F,,cal_static,4,B,ok,ok,2511,2511,0,0,100,100
24605,,BSF66F,,cal_static,4,C,ok,ok,2141,2141,0,0,100,100
24605,,BSF66F,,cal_static,4,D,ok,ok,3482,3482,0,0,100,100
24606,,BSF66F,,cal_static,4,E,ok,ok,3794,3794,0,0,100,100
24606,,BSF66F,,cal_static,4,F,ok,ok,2355,2355,0,0,100,100
24606,,BSF66F,,cal_static,4,G,ok,ok,1991,1991,0,0,100,100
24606,,BSF66F,,cal_static,4,H,ok,ok,3486,3486,0,0,100,100
24607,,BSF66F,,cal_static,4,A,ok,ok,3658,3658,0,0,100,100
24607,,BSF66F,,cal_static,4,B,ok,ok,2519,2519,0,0,100,100
24607,,BSF66F,,cal_static,4,C,ok,ok,2145,2145,0,0,100,100
24607,,BSF66F,,cal_static,4,D,ok,ok,3536,3536,0,0,100,100
24608,,BSF66F,,cal_static,4,E,ok,ok,3772,3772,0,0,100,100
24608,,BSF66F,,cal_static,4,F,ok,ok,2309,2309,0,0,100,100
24608,,BSF66F,,cal_static,4,G,ok,ok,1975,1975,0,0,100,100
24608,,BSF66F,,cal_static,4,H,ok,ok,3487,3487,0,0,100,100
24609,,BSF66F,,cal_static,4,A,ok,ok,3873,3873,0,0,100,100
24609,,BSF66F,,cal_static,4,B,ok,ok,2533,2533,0,0,100,100
24609,,BSF66F,,cal_static,4,C,ok,ok,2119,2119,0,0,100,100
24609,,BSF66F,,cal_static,4,D,ok,ok,3535,3535,0,0,100,100
24610,,BSF66F,,cal_static,4,E,ok,ok,3760,3760,0,0,100,100
24610,,BSF66F,,cal_static,4,F,ok,ok,2415,2415,0,0,100,100
24610,,BSF66F,,cal_static,4,G,ok,ok,1999,1999,0,0,100,100
24610,,BSF66F,,cal_static,4,H,ok,ok,3522,3522,0,0,100,100
24611,,BSF66F,,cal_static,4,A,ok,ok,3822,3822,0,0,100,100
24611,,BSF66F,,cal_static,4,B,ok,ok,2517,2517,0,0,100,100
24611,,BSF66F,,cal_static,4,C,ok,ok,2106,2106,0,0,100,100
24611,,BSF66F,,cal_static,4,D,ok,ok,3518,3518,0,0,100,100
24612,,BSF66F,,cal_static,4,E,ok,ok,3787,3787,0,0,100,100
24612,,BSF66F,,cal_static,4,F,ok,ok,2357,2357,0,0,100,100
24612,,BSF66F,,cal_static,4,G,ok,ok,1978,1978,0,0,100,100
24612,,BSF66F,,cal_static,4,H,ok,ok,3509,3509,0,0,100,100
24613,,BSF66F,,cal_static,4,A,ok,ok,3684,3684,0,0,100,100
24613,,BSF66F,,cal_static,4,B,ok,ok,2542,2542,0,0,100,100
24613,,BSF66F,,cal_static,4,C,ok,ok,2147,2147,0,0,100,100
24613,,BSF66F,,cal_static,4,D,timeout,rx_timeout,0,3518,0,0,96,96
24614,,BSF66F,,cal_static,4,E,ok,ok,3751,3751,0,0,100,100
24614,,BSF66F,,cal_static,4,F,ok,ok,2371,2371,0,0,100,100
24614,,BSF66F,,cal_static,4,G,ok,ok,1993,1993,0,0,100,100
24614,,BSF66F,,cal_static,4,H,ok,ok,3492,3492,0,0,100,100
24615,,BSF66F,,cal_static,4,A,ok,ok,3726,3726,0,0,100,100
24615,,BSF66F,,cal_static,4,B,ok,ok,2503,2503,0,0,100,100
24615,,BSF66F,,cal_static,4,C,ok,ok,2122,2122,0,0,100,100
24615,,BSF66F,,cal_static,4,D,ok,ok,3500,3500,0,0,96,96
24616,,BSF66F,,cal_static,4,E,ok,ok,3877,3877,0,0,100,100
24616,,BSF66F,,cal_static,4,F,ok,ok,2353,2353,0,0,100,100
24616,,BSF66F,,cal_static,4,G,ok,ok,1968,1968,0,0,100,100
24616,,BSF66F,,cal_static,4,H,timeout,rx_timeout,0,3492,0,0,96,96
24617,,BSF66F,,cal_static,4,A,ok,ok,3754,3754,0,0,100,100
24617,,BSF66F,,cal_static,4,B,ok,ok,2496,2496,0,0,100,100
24617,,BSF66F,,cal_static,4,C,ok,ok,2155,2155,0,0,100,100
24617,,BSF66F,,cal_static,4,D,ok,ok,3467,3467,0,0,96,96
24618,,BSF66F,,cal_static,4,E,ok,ok,3749,3749,0,0,100,100
24618,,BSF66F,,cal_static,4,F,ok,ok,2374,2374,0,0,100,100
24618,,BSF66F,,cal_static,4,G,ok,ok,2023,2023,0,0,100,100
24618,,BSF66F,,cal_static,4,H,ok,ok,3595,3595,0,0,96,96
24619,,BSF66F,,cal_static,4,A,ok,ok,3763,3763,0,0,100,100
24619,,BSF66F,,cal_static,4,B,ok,ok,2505,2505,0,0,100,100
24619,,BSF66F,,cal_static,4,C,ok,ok,2161,2161,0,0,100,100
24619,,BSF66F,,cal_static,4,D,ok,ok,3490,3490,0,0,96,96
24620,,BSF66F,,cal_static,4,E,ok,ok,3774,3774,0,0,100,100
24620,,BSF66F,,cal_static,4,F,ok,ok,2391,2391,0,0,100,100
24620,,BSF66F,,cal_static,4,G,ok,ok,1947,1947,0,0,100,100
24620,,BSF66F,,cal_static,4,H,ok,ok,3532,3532,0,0,96,96
24621,,BSF66F,,cal_static,4,A,ok,ok,3693,3693,0,0,100,100
24621,,BSF66F,,cal_static,4,B,ok,ok,2504,2504,0,0,100,100
24621,,BSF66F,,cal_static,4,C,ok,ok,2115,2115,0,0,100,100
24621,,BSF66F,,cal_static,4,D,ok,ok,3502,3502,0,0,96,96
24622,,BSF66F,,cal_static,4,E,ok,ok,3858,3858,0,0,100,100
24622,,BSF66F,,cal_static,4,F,ok,ok,2375,2375,0,0,100,100
24622,,BSF66F,,cal_static,4,G,ok,ok,1992,1992,0,0,100,100
24622,,BSF66F,,cal_static,4,H,ok,ok,3494,3494,0,0,96,96
24623,,BSF66F,,cal_static,4,A,ok,ok,3717,3717,0,0,100,100
24623,,BSF66F,,cal_static,4,B,ok,ok,2498,2498,0,0,100,100
24623,,BSF66F,,cal_static,4,C,ok,ok,2084,2084,0,0,100,100
24623,,BSF66F,,cal_static,4,D,ok,ok,3495,3495,0,0,96,96
24624,,BSF66F,,cal_static,4,E,ok,ok,3868,3868,0,0,100,100
24624,,BSF66F,,cal_static,4,F,ok,ok,2337,2337,0,0,100,100
24624,,BSF66F,,cal_static,4,G,ok,ok,1961,1961,0,0,100,100
24624,,BSF66F,,cal_static,4,H,ok,ok,3489,3489,0,0,96,96
24625,,BSF66F,,cal_static,4,A,ok,ok,3748,3748,0,0,100,100
24625,,BSF66F,,cal_static,4,B,ok,ok,2521,2521,0,0,100,100
24625,,BSF66F,,cal_static,4,C,ok,ok,2104,2104,0,0,100,100
24625,,BSF66F,,cal_static,4,D,ok,ok,3513,3513,0,0,100,100
24626,,BSF66F,,cal_static,4,E,ok,ok,3786,3786,0,0,100,100
24626,,BSF66F,,cal_static,4,F,ok,ok,2381,2381,0,0,100,100
24626,,BSF66F,,cal_static,4,G,ok,ok,2013,2013,0,0,100,100
24626,,BSF66F,,cal_static,4,H,ok,ok,3458,3458,0,0,100,100
24627,,BSF66F,,cal_static,4,A,ok,ok,3682,3682,0,0,100,100
24627,,BSF66F,,cal_static,4,B,ok,ok,2480,2480,0,0,100,100
24627,,BSF66F,,cal_static,4,C,ok,ok,2099,2099,0,0,100,100
24627,,BSF66F,,cal_static,4,D,ok,ok,3487,3487,0,0,100,100
24628,,BSF66F,,cal_static,4,E,ok,ok,3815,3815,0,0,100,100
24628,,BSF66F,,cal_static,4,F,ok,ok,2370,2370,0,0,100,100
24628,,BSF66F,,cal_static,4,G,ok,ok,1987,1987,0,0,100,100
24628,,BSF66F,,cal_static,4,H,ok,ok,3527,3527,0,0,100,100
24629,,BSF66F,,cal_static,4,A,ok,ok,3731,3731,0,0,100,100
24629,,BSF66F,,cal_static,4,B,ok,ok,2530,2530,0,0,100,100
24629,,BSF66F,,cal_static,4,C,ok,ok,2117,2117,0,0,100,100
24629,,BSF66F,,cal_static,4,D,ok,ok,3455,3455,0,0,100,100
24630,,BSF66F,,cal_static,4,E,ok,ok,3807,3807,0,0,100,100
24630,,BSF66F,,cal_static,4,F,ok,ok,2348,2348,0,0,100,100
24630,,BSF66F,,cal_static,4,G,ok,ok,1989,1989,0,0,100,100
24630,,BSF66F,,cal_static,4,H,ok,ok,3532,3532,0,0,100,100
24631,,BSF66F,,cal_static,4,A,ok,ok,3721,3721,0,0,100,100
24631,,BSF66F,,cal_static,4,B,ok,ok,2503,2503,0,0,100,100
24631,,BSF66F,,cal_static,4,C,ok,ok,2126,2126,0,0,100,100
24631,,BSF66F,,cal_static,4,D,ok,ok,3524,3524,0,0,100,100
24632,,BSF66F,,cal_static,4,E,ok,ok,3837,3837,0,0,100,100
24632,,BSF66F,,cal_static,4,F,ok,ok,2349,2349,0,0,100,100
24632,,BSF66F,,cal_static,4,G,ok,ok,2020,2020,0,0,100,100
24632,,BSF66F,,cal_static,4,H,ok,ok,3521,3521,0,0,100,100
24633,,BSF66F,,cal_static,4,A,ok,ok,3711,3711,0,0,100,100
24633,,BSF66F,,cal_static,4,B,ok,ok,2503,2503,0,0,100,100
24633,,BSF66F,,cal_static,4,C,ok,ok,2098,2098,0,0,100,100
24633,,BSF66F,,cal_static,4,D,ok,ok,3506,3506,0,0,100,100
24634,,BSF66F,,cal_static,4,E,ok,ok,3800,3800,0,0,100,100
24634,,BSF66F,,cal_static,4,F,ok,ok,2361,2361,0,0,100,100
24634,,BSF66F,,cal_static,4,G,ok,ok,1991,1991,0,0,100,100
24634,,BSF66F,,cal_static,4,H,ok,ok,3514,3514,0,0,100,100
24635,,BSF66F,,cal_static,4,A,ok,ok,3693,3693,0,0,100,100
24635,,BSF66F,,cal_static,4,B,ok,ok,2477,2477,0,0,100,100
24635,,BSF66F,,cal_static,4,C,ok,ok,2149,2149,0,0,100,100
24635,,BSF66F,,cal_static,4,D,ok,ok,3471,3471,0,0,100,100
