sweep,conn_id,peer_name,tag_id,anchor_id,status,raw_mm,filt_mm,quality_percent,ok_count,fail_count
11260,,BS2DCE,,2,ok,2872,2872,100,328,4
11260,,BS2DCE,,3,ok,1865,1865,100,322,10
11261,,BS2DCE,,2,ok,2898,2898,100,329,4
11261,,BS2DCE,,3,ok,1918,1918,100,323,10
11261,,BS2DCE,,4,ok,2883,2883,100,327,6
11261,,BS2DCE,,6,ok,2562,2562,96,328,5
11262,,BS2DCE,,2,ok,2652,2652,100,330,4
11262,,BS2DCE,,3,ok,2059,2059,100,324,10
11262,,BS2DCE,,4,ok,2999,2999,100,328,6
11263,,BS2DCE,,2,ok,2674,2674,100,331,4
11263,,BS2DCE,,3,ok,1975,1975,100,325,10
11264,,BS2DCE,,2,ok,2674,2674,100,332,4
11264,,BS2DCE,,3,ok,1880,1880,100,326,10
11264,,BS2DCE,,4,ok,3160,3160,100,330,6
11264,,BS2DCE,,6,ok,2500,2500,96,331,5
11265,,BS2DCE,,2,ok,2806,2806,100,333,4
11265,,BS2DCE,,3,ok,1746,1746,100,327,10
11265,,BS2DCE,,6,ok,2591,2591,100,332,5
11266,,BS2DCE,,2,ok,2917,2917,100,334,4
11266,,BS2DCE,,3,ok,1641,1641,100,328,10
11267,,BS2DCE,,2,ok,3107,3107,100,335,4
11267,,BS2DCE,,3,ok,1497,1497,100,329,10
11267,,BS2DCE,,4,ok,2999,2999,100,333,6
11267,,BS2DCE,,6,ok,2768,2768,100,334,5
11268,,BS2DCE,,2,ok,3096,3096,100,336,4
11268,,BS2DCE,,3,ok,1482,1482,100,330,10
11268,,BS2DCE,,4,ok,2992,2992,100,334,6
11269,,BS2DCE,,2,ok,2908,2908,100,337,4
11269,,BS2DCE,,3,ok,1173,1173,100,331,10
11270,,BS2DCE,,3,ok,1192,1192,100,332,10
11270,,BS2DCE,,2,ok,3012,3012,100,338,4
11270,,BS2DCE,,4,ok,2876,2876,100,336,6
11270,,BS2DCE,,6,ok,3220,3220,100,337,5
11271,,BS2DCE,,2,ok,3030,3030,100,339,4
11271,,BS2DCE,,3,ok,1310,1310,100,333,10
11271,,BS2DCE,,4,ok,2801,2801,100,337,6
11272,,BS2DCE,,2,ok,3140,3140,100,340,4
11272,,BS2DCE,,3,ok,1312,1312,100,334,10
11273,,BS2DCE,,2,ok,3112,3112,100,341,4
11273,,BS2DCE,,3,ok,1338,1338,100,335,10
11273,,BS2DCE,,4,ok,2569,2569,100,339,6
11273,,BS2DCE,,6,ok,3232,3232,100,340,5
11274,,BS2DCE,,2,ok,3072,3072,100,342,4
11274,,BS2DCE,,3,timeout,0,1338,96,335,11
11274,,BS2DCE,,4,timeout,0,2569,96,339,7
11275,,BS2DCE,,2,ok,3043,3043,100,343,4
11275,,BS2DCE,,3,ok,1412,1412,96,336,11
11276,,BS2DCE,,2,ok,2982,2982,100,344,4
11276,,BS2DCE,,3,ok,1478,1478,96,337,11
11276,,BS2DCE,,4,ok,3217,3217,96,341,7
11276,,BS2DCE,,6,ok,3028,3028,100,343,5
11277,,BS2DCE,,2,ok,2889,2889,100,345,4
11277,,BS2DCE,,3,ok,1688,1688,96,338,11
11277,,BS2DCE,,4,ok,2734,2734,96,342,7
11278,,BS2DCE,,2,ok,2822,2822,100,346,4
11278,,BS2DCE,,3,ok,1730,1730,96,339,11
11279,,BS2DCE,,2,ok,2951,2951,100,347,4
11279,,BS2DCE,,3,ok,1881,1881,96,340,11
11279,,BS2DCE,,4,ok,2755,2755,96,344,7
11279,,BS2DCE,,6,ok,2637,2637,100,346,5
11280,,BS2DCE,,2,ok,2924,2924,100,348,4
11280,,BS2DCE,,3,ok,1847,1847,96,341,11
11280,,BS2DCE,,6,ok,2510,2510,100,347,5
11281,,BS2DCE,,2,ok,2834,2834,100,349,4
11281,,BS2DCE,,3,ok,1935,1935,100,342,11
11282,,BS2DCE,,2,ok,2684,2684,100,350,4
11282,,BS2DCE,,3,ok,2098,2098,100,343,11
11282,,BS2DCE,,4,ok,3016,3016,100,347,7
11282,,BS2DCE,,6,ok,2844,2844,100,349,5
11283,,BS2DCE,,2,ok,2705,2705,100,351,4
11283,,BS2DCE,,3,ok,2009,2009,100,344,11
11283,,BS2DCE,,4,ok,3161,3161,100,348,7
11284,,BS2DCE,,2,ok,2677,2677,100,352,4
11284,,BS2DCE,,3,ok,1917,1917,100,345,11
11285,,BS2DCE,,2,ok,2859,2859,100,353,4
11285,,BS2DCE,,3,ok,1757,1757,100,346,11
11285,,BS2DCE,,4,ok,3114,3114,100,350,7
11285,,BS2DCE,,6,ok,2582,2582,100,352,5
11286,,BS2DCE,,2,ok,2856,2856,100,354,4
11286,,BS2DCE,,3,ok,1649,1649,100,347,11
11286,,BS2DCE,,4,ok,3039,3039,100,351,7
11287,,BS2DCE,,2,ok,3081,3081,100,355,4
11287,,BS2DCE,,3,ok,1485,1485,100,348,11
11288,,BS2DCE,,2,ok,3015,3015,100,356,4
11288,,BS2DCE,,3,ok,1380,1380,100,349,11
11288,,BS2DCE,,4,ok,2995,2995,100,353,7
11288,,BS2DCE,,6,ok,3007,3007,100,355,5
11289,,BS2DCE,,2,ok,3052,3052,100,357,4
11289,,BS2DCE,,3,ok,1252,1252,100,350,11
11289,,BS2DCE,,6,ok,3184,3184,100,356,5
11290,,BS2DCE,,2,ok,3187,3187,100,358,4
11290,,BS2DCE,,3,ok,1214,1214,100,351,11
11291,,BS2DCE,,2,ok,3064,3064,100,359,4
11291,,BS2DCE,,3,ok,1513,1513,100,352,11
11291,,BS2DCE,,4,ok,2832,2832,100,356,7
11291,,BS2DCE,,6,ok,3165,3165,100,358,5
11292,,BS2DCE,,2,ok,3109,3109,100,360,4
11292,,BS2DCE,,3,ok,1283,1283,100,353,11
11292,,BS2DCE,,4,ok,2616,2616,100,357,7
11293,,BS2DCE,,2,ok,3124,3124,100,361,4
11293,,BS2DCE,,3,ok,1265,1265,100,354,11
11294,,BS2DCE,,3,ok,1441,1441,100,355,11
11294,,BS2DCE,,2,ok,3020,3020,100,362,4
11294,,BS2DCE,,4,ok,2775,2775,100,359,7
11294,,BS2DCE,,6,ok,3145,3145,100,361,5
11295,,BS2DCE,,2,ok,2938,2938,100,363,4
11295,,BS2DCE,,3,ok,1572,1572,100,356,11
11295,,BS2DCE,,4,ok,3349,3349,100,360,7
11296,,BS2DCE,,2,ok,2884,2884,100,364,4
11296,,BS2DCE,,3,ok,1756,1756,100,357,11
11297,,BS2DCE,,2,ok,2933,2933,100,365,4
11297,,BS2DCE,,3,ok,1754,1754,100,358,11
11297,,BS2DCE,,4,ok,2748,2748,100,362,7
11297,,BS2DCE,,6,ok,2762,2762,100,364,5
11298,,BS2DCE,,2,ok,2901,2901,100,366,4
11298,,BS2DCE,,3,ok,1876,1876,100,359,11
11298,,BS2DCE,,4,ok,2763,2763,100,363,7
11299,,BS2DCE,,2,ok,2967,2967,100,367,4
11299,,BS2DCE,,3,ok,1910,1910,100,360,11
11300,,BS2DCE,,2,ok,2778,2778,100,368,4
11300,,BS2DCE,,3,timeout,0,1910,95,360,12
11300,,BS2DCE,,4,timeout,0,2913,95,364,8
11300,,BS2DCE,,6,ok,2615,2615,100,367,5
11301,,BS2DCE,,2,ok,2714,2714,100,369,4
11301,,BS2DCE,,3,ok,2036,2036,95,361,12
11301,,BS2DCE,,4,ok,2965,2965,95,365,8
11302,,BS2DCE,,2,ok,2632,2632,100,370,4
11302,,BS2DCE,,3,ok,1978,1978,95,362,12
11303,,BS2DCE,,2,ok,2716,2716,100,371,4
11303,,BS2DCE,,3,ok,1944,1944,95,363,12
11303,,BS2DCE,,4,ok,3123,3123,95,367,8
11303,,BS2DCE,,6,ok,2483,2483,100,370,5
11304,,BS2DCE,,2,ok,2754,2754,100,372,4
11304,,BS2DCE,,3,ok,1876,1876,95,364,12
11304,,BS2DCE,,6,ok,2489,2489,100,371,5
11305,,BS2DCE,,2,ok,2861,2861,100,373,4
11305,,BS2DCE,,3,ok,1646,1646,96,365,12
11306,,BS2DCE,,2,ok,2830,2830,100,374,4
11306,,BS2DCE,,3,ok,1584,1584,96,366,12
11306,,BS2DCE,,4,ok,2946,2946,96,370,8
11306,,BS2DCE,,6,ok,2713,2713,100,373,5
11307,,BS2DCE,,2,ok,3186,3186,100,375,4
11307,,BS2DCE,,3,ok,1489,1489,96,367,12
11307,,BS2DCE,,4,ok,3015,3015,96,371,8
11308,,BS2DCE,,2,ok,3053,3053,100,376,4
11308,,BS2DCE,,3,ok,1309,1309,96,368,12
11309,,BS2DCE,,2,ok,3086,3086,100,377,4
11309,,BS2DCE,,3,ok,1290,1290,96,369,12
11309,,BS2DCE,,4,ok,3021,3021,96,373,8
