L,A,U,P,I,T,kind,n,p50_mean,p95_mean,p95_std,rmse_mean,legacy_xz_p95_mean,legacy_yvertical_p95_mean,sameP_uwb_p95_mean,sameP_delta_p95_mean,sameP_improved_seed_fraction,b0_delta_p95_mean,radius_abs_mean,thickness_p95_mean,deltaR_rms_mean,sensor_label,experiment_short,accuracy_rank,rescue_rank
L16,A0,U4,P3,I3,T3,position_fusion,5,89.54590910643965,170.15072823800693,0.6727390219498086,101.49418445094916,131.62910729470278,126.23129994064433,200.2766290041533,30.125900766146355,1.0,61.651409757470745,50.89223016672007,141.96840677038395,207.02577421637028,L16 ICM-45686,X_A0_U4_P3_L16_I3_T3,416,166
L16,A0,U4,P1,I7,T5,position_fusion,5,88.37454522833855,170.20744701606162,1.1696534857068825,103.30182367257154,131.6922626699512,123.58644784622963,179.58127537090328,9.373828354841653,1.0,61.59469097941606,51.42803447823788,133.03815274275433,258.8411640902861,L16 ICM-45686,X_A0_U4_P1_L16_I7_T5,417,414
L20,A0,U4,P3,I3,T3,position_fusion,5,89.41792196623905,170.23130058124937,1.550970508077247,102.55018618036561,131.45250616451455,125.79904029424915,200.2766290041533,30.045328422903935,1.0,61.57083741422832,50.81468824461653,141.72167767447297,212.15753058222404,L20 Xsens MTi-3,X_A0_U4_P3_L20_I3_T3,418,168
L2,A0,U4,P1,I6,T5,position_fusion,5,87.64861067123684,170.24108112743323,0.575721489387493,103.20091841606737,131.46627409629838,125.23736003376504,179.58127537090328,9.340194243470041,1.0,61.561056868044446,51.45562752354882,133.35723816985504,256.2406590461597,L2 MPU6050/JY61P-like,X_A0_U4_P1_L2_I6_T5,419,415
L20,A0,U4,P3,I7,T3,position_fusion,5,89.74960680711374,170.43884030332487,0.6585452620543326,102.63351441546672,131.97845661620664,126.28960673668192,200.2766290041533,29.83778870082842,1.0,61.36329769215281,50.93129902578668,141.804415234308,208.18528745473031,L20 Xsens MTi-3,X_A0_U4_P3_L20_I7_T3,420,169
L16,A0,U4,P2,I4,T3,position_fusion,5,93.29391287720057,170.4432744679984,1.0315399019696312,105.527950638916,131.40187600305302,126.82634902444156,191.34655064695076,20.903276178952353,1.0,61.358863527479286,47.94389966436121,135.95271333031377,239.80985808953807,L16 ICM-45686,X_A0_U4_P2_L16_I4_T3,421,255
L20,A0,U4,P2,I1,T4,position_fusion,5,92.61524984677068,170.45791206955306,1.2546774724494247,103.64624535559673,129.49272561217126,125.7781253912062,191.34655064695076,20.88863857739769,1.0,61.34422592592462,47.66005980284442,134.4222160869147,234.64032280719357,L20 Xsens MTi-3,X_A0_U4_P2_L20_I1_T4,422,256
L16,A0,U4,P1,I2,T5,position_fusion,5,88.07542955770131,170.61946435456804,1.1154424993044831,103.18023215427868,131.6115969236349,123.60506387221685,179.58127537090328,8.961811016335265,1.0,61.18267364090967,51.4454166584232,133.22741329624733,259.19294044410316,L16 ICM-45686,X_A0_U4_P1_L16_I2_T5,423,421
L16,A0,U4,P1,I1,T5,position_fusion,5,87.97151766672076,170.63278705822808,0.684032255443242,103.40333123046385,132.10810525596298,123.44481232418602,179.58127537090328,8.948488312675186,1.0,61.169350937249604,51.466848057740684,133.1669837526062,258.27128414705294,L16 ICM-45686,X_A0_U4_P1_L16_I1_T5,424,422
L20,A0,U4,P2,I4,T3,position_fusion,5,92.4594327431874,170.655976357084,0.8583804436328513,104.18121945323234,129.71117595601018,126.22222425933282,191.34655064695076,20.690574289866753,1.0,61.146161638393686,47.760942530911784,134.55334484452607,241.78010403908837,L20 Xsens MTi-3,X_A0_U4_P2_L20_I4_T3,425,260
L20,A0,U4,P0,I5,T4,position_fusion,5,87.56824560746273,170.75223484892572,0.7250689682852878,103.98409787855819,125.60393459098876,134.45946722969788,231.8021379954777,61.04990314655198,1.0,61.04990314655198,52.40865325901675,137.86758980109977,250.7993629368225,L20 Xsens MTi-3,X_A0_U4_P0_L20_I5_T4,426,32
L20,A0,U4,P1,I0,T4,position_fusion,5,88.10644308792212,170.80029513974188,0.885296536543305,102.9824223493141,131.63100627538034,123.80229868442343,179.58127537090328,8.780980231161431,1.0,61.001842855735845,51.45523889060181,132.78188945851068,258.21487961482416,L20 Xsens MTi-3,X_A0_U4_P1_L20_I0_T4,427,427
