P,p50_mean,p95_mean,rmse_mean,radius_abs_mean,thickness_p95_mean,deltaR_rms_mean
P4,78.20862527471638,138.8862359430275,86.19738295119097,23.73578406192428,116.73133937814862,391.5836245546021
P5,92.92606318184494,156.73705943320283,103.50566607581544,56.00872902048093,102.00265164503428,459.6446418127378
P1,91.59488376343415,179.58127537090328,108.45297140199528,52.15961485304186,134.40891161834998,229.70240323044715
P2,98.56857380939852,191.34655064695076,114.77916478408947,51.86087234511291,144.0312241713526,159.2575463421512
P3,99.89041170348654,200.2766290041533,117.93189923681317,53.001406272794185,159.14135688267538,107.75155695167892
P0,105.83784720842488,231.8021379954777,132.8297379891087,59.73216676551942,173.57057176081128,80.07935390701411
