pair,anchor_a,anchor_b,n_samples,range_std_mm,analytical_se_median_mm,se_formula
A-B,A,B,2000,22.320159626733886,0.6255144374336941,1.2533 * std / sqrt(n_samples)
A-C,A,C,2000,29.554215889419556,0.8282462596603465,1.2533 * std / sqrt(n_samples)
A-D,A,D,2000,15.442424096656278,0.4327683754493804,1.2533 * std / sqrt(n_samples)
A-E,A,E,2000,29.80208920966163,0.8351928202163174,1.2533 * std / sqrt(n_samples)
A-F,A,F,2000,23.666393897255453,0.6632421681695733,1.2533 * std / sqrt(n_samples)
A-G,A,G,2000,27.927571043006605,0.7826601234935728,1.2533 * std / sqrt(n_samples)
A-H,A,H,2000,27.304418019281893,0.7651964843624531,1.2533 * std / sqrt(n_samples)
B-C,B,C,2000,21.299871977857908,0.5969212434162644,1.2533 * std / sqrt(n_samples)
B-D,B,D,2000,25.60344890923924,0.717527437467016,1.2533 * std / sqrt(n_samples)
B-E,B,E,2000,24.767778613123834,0.6941080782914396,1.2533 * std / sqrt(n_samples)
B-F,B,F,2000,19.842309180556793,0.556073570799888,1.2533 * std / sqrt(n_samples)
B-G,B,G,2000,21.322522270547378,0.5975560097139208,1.2533 * std / sqrt(n_samples)
B-H,B,H,2000,29.559992821172905,0.8284081560928191,1.2533 * std / sqrt(n_samples)
C-D,C,D,2000,21.949490513834448,0.6151265689996516,1.2533 * std / sqrt(n_samples)
C-E,C,E,2000,26.435172274199072,0.7408361853180023,1.2533 * std / sqrt(n_samples)
C-F,C,F,2000,18.013865595058668,0.5048320976254657,1.2533 * std / sqrt(n_samples)
C-G,C,G,2000,25.142513259149197,0.7046098818275898,1.2533 * std / sqrt(n_samples)
C-H,C,H,2000,25.12975280893386,0.7042522748045518,1.2533 * std / sqrt(n_samples)
D-E,D,E,2000,35.86032382958332,1.004972664244976,1.2533 * std / sqrt(n_samples)
D-F,D,F,2000,23.75974550586036,0.6658583133905996,1.2533 * std / sqrt(n_samples)
D-G,D,G,2000,20.359753375931753,0.5705747580757005,1.2533 * std / sqrt(n_samples)
D-H,D,H,2000,31.021297816324584,0.8693607024566241,1.2533 * std / sqrt(n_samples)
E-F,E,F,2000,21.780608007872424,0.6103936975741847,1.2533 * std / sqrt(n_samples)
E-G,E,G,2000,17.58056762249059,0.4926890779479787,1.2533 * std / sqrt(n_samples)
E-H,E,H,2000,22.145352696966388,0.6206155361640965,1.2533 * std / sqrt(n_samples)
F-G,F,G,2000,16.299611948596734,0.45679075637981603,1.2533 * std / sqrt(n_samples)
F-H,F,H,2000,25.55514493632071,0.7161737360172397,1.2533 * std / sqrt(n_samples)
G-H,G,H,2000,21.683834718380577,0.6076816609782368,1.2533 * std / sqrt(n_samples)
