case_id,case_label,n_bootstrap,delay_term_name,anchor_delay_rel_A_sd_median_mm,anchor_delay_rel_A_sd_p95_mm,anchor_delay_rel_A_sd_worst_mm,common_mode_sd_mm,pair_residual_rms_median_mm,pair_residual_rms_p95_mm,identifiability_note
original_selfcal,FULL original self-cal v4-io/T4,300,layout-level residual delay correction rel_A,0.5580247158069332,0.620325492619739,0.6304011263934123,0.11818365410918717,51.54761575522528,51.82396439862366,only rel_A differences are quotable from pair/range data; absolute delay is gauge-coupled
vicon_truth_delaycal,FULL Vicon-truth+delaycal v4-io/T4,300,layout-level residual delay correction rel_A,0.4476995502200139,0.4672533146244068,0.46755370386488,0.06697523401502488,43.836153056722665,44.06793248755995,only rel_A differences are quotable from pair/range data; absolute delay is gauge-coupled
scale_to_vicon_delaycal,FULL Sim(3)-scale-to-Vicon+delaycal v4-io/T4,300,layout-level residual delay correction rel_A,0.531859729122427,0.5914487980051062,0.6007498915503512,0.06761712095340526,34.376494800556344,34.63571632116808,only rel_A differences are quotable from pair/range data; absolute delay is gauge-coupled
one_baseline_EH_delaycal,FULL one-baseline E-H+delaycal v4-io/T4,300,layout-level residual delay correction rel_A,0.5438982323609529,0.603887341038741,0.6154809391279537,0.47196305230350816,37.262558643480084,37.6120673902379,only rel_A differences are quotable from pair/range data; absolute delay is gauge-coupled
