anchor_id,anchor_label,v4_d_anchor_mm,v5_d_anchor_mm,v5_minus_v4_d_anchor_mm,v5_common_mode_mm,v5_differential_e_i_mm,v5_delay_parameterization,v5_e_reg_scale_mm,v4_tag_delay_mm,v5_tag_delay_mm
0,A,0.0,99.63407516744715,99.63407516744715,111.98479117186592,-12.350716004418773,d_i = c + e_i for all anchors; no d_A=0 gauge,20.0,0.0,0.0
1,B,37.127097197321255,113.68825825925543,76.56116106193417,111.98479117186592,1.7034670873895184,d_i = c + e_i for all anchors; no d_A=0 gauge,20.0,0.0,0.0
2,C,59.99999999999338,127.33774979143755,67.33774979144417,111.98479117186592,15.352958619571629,d_i = c + e_i for all anchors; no d_A=0 gauge,20.0,0.0,0.0
3,D,59.999999999999986,124.5107442518789,64.51074425187892,111.98479117186592,12.525953080012982,d_i = c + e_i for all anchors; no d_A=0 gauge,20.0,0.0,0.0
4,E,31.143226774707873,109.62530494698989,78.48207817228202,111.98479117186592,-2.35948622487604,d_i = c + e_i for all anchors; no d_A=0 gauge,20.0,0.0,0.0
5,F,27.042519801587616,111.36188584987471,84.3193660482871,111.98479117186592,-0.6229053219912155,d_i = c + e_i for all anchors; no d_A=0 gauge,20.0,0.0,0.0
6,G,27.558723285689375,100.04169098589358,72.4829677002042,111.98479117186592,-11.943100185972344,d_i = c + e_i for all anchors; no d_A=0 gauge,20.0,0.0,0.0
7,H,32.41907674793188,109.67861862456729,77.25954187663541,111.98479117186592,-2.3061725472986354,d_i = c + e_i for all anchors; no d_A=0 gauge,20.0,0.0,0.0
