layout_source,correction_source,tag_delay_mode,d_tag_mm,capture_id,tag,opti_marker,status,n_overlap,frames_input,frames_solved,beta_s,err3d_median_mm,err3d_p75_mm,err3d_p95_mm,err3d_rmse_mm,median_horiz_mm,rmse_horiz_mm,median_abs_vertical_y_mm,rmse_vertical_y_mm,alignment,n_positions,n_frames,median_3d_mm,p75_3d_mm,p95_3d_mm,rmse_3d_mm,median_vert_mm,rmse_vert_mm,signed_vertical_slope_mm_per_m,signed_vertical_slope_r2,fail_rate
L_V5,C_V5,D0,0.0,R01,BS2DCE,WandBantenna,ok,1201,1201,1201,37.70795600000014,143.68021504321501,246.02562887467874,659.9433809493477,273.0110037171247,94.63835519754109,129.65252577278048,90.88909653105247,240.26075566219797,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,,,,,,,,,,,
L_V5,C_V5,D0,0.0,R01,BSDC91,WandCantenna,ok,1200,1200,1200,37.70795600000014,102.92707660345454,153.9349985312588,342.5581582317796,170.7974798575071,68.53568956537345,97.00867550492733,62.85021137950059,140.5741654873159,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,,,,,,,,,,,
L_V5,C_V5,D0,0.0,R02,BS2DCE,WandBantenna,ok,1201,1201,1201,46.52235800000014,148.4446216962162,234.10897687790853,416.771185334222,218.9862334705192,95.52545595700973,122.62987730900154,85.78107424069503,181.43010676506802,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,,,,,,,,,,,
L_V5,C_V5,D0,0.0,R02,BSDC91,WandCantenna,ok,1200,1200,1200,46.52235800000014,112.06739933838537,157.41673285757923,264.8569883940292,150.11006521770315,73.90352756117997,87.30243696741897,72.50426571846151,122.11190023586128,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,,,,,,,,,,,
L_V5,C_V5,D0,0.0,R03,BS2DCE,WandBantenna,ok,1050,1200,1200,46.377582000000146,174.06015795830933,257.01081902381594,365.02262309805167,212.86219262110907,95.75327589249709,125.0955141951171,126.38478788376455,172.2249266968211,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,,,,,,,,,,,
L_V5,C_V5,D0,0.0,R03,BSDC91,WandCantenna,ok,1200,1200,1200,46.377582000000146,110.46071353982687,158.78019858331788,251.4713854015106,143.99033897556382,71.07514289050162,92.3481023618427,75.38371313993412,110.47644865972293,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,,,,,,,,,,,
L_V5,C_V5,D0,0.0,R04,BS2DCE,WandBantenna,ok,1200,1200,1200,47.29321100000013,154.53651661952114,232.75751155930448,380.3426015789555,200.26904442499603,94.00939377872918,125.27537354426923,105.24511369161962,156.24906699959791,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,,,,,,,,,,,
L_V5,C_V5,D0,0.0,R04,BSDC91,WandCantenna,ok,1200,1200,1200,47.29321100000013,95.81481979228332,141.00396277502588,264.3304737117558,139.035627288371,65.93059838314682,97.84031718759606,48.21981502794097,98.78349046324193,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,,,,,,,,,,,
L_V5,C_V5,D0,0.0,R05,BSDC91,WandCantenna,ok,1201,1201,1201,48.70257800000013,109.22152794783935,155.99087382904676,230.1077636968333,133.26075583300167,81.46904309644556,100.71761290110229,56.49424052462837,87.26048072688232,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,,,,,,,,,,,
L_V5,C_V5,D0,0.0,R05,BS2DCE,WandBantenna,ok,1200,1200,1200,48.70257800000013,162.06838665010258,237.6711060545788,384.8761744871166,216.01998055771926,100.32126285060828,147.39220276860624,103.34494657246591,157.92457238560274,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,,,,,,,,,,,
L_V5,C_V5,D0,0.0,R06,BS2DCE,WandBantenna,ok,1200,1200,1200,45.52379100000014,182.16825298782334,244.05054700669416,321.82943969319,203.98044784027493,91.59914782247313,112.96657243191103,142.67784379263264,169.84279971227784,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,,,,,,,,,,,
L_V5,C_V5,D0,0.0,R06,BSDC91,WandCantenna,ok,1201,1201,1201,45.52379100000014,102.05795655774041,149.6793098561768,230.0539895942738,130.8802035806797,66.00986836061402,91.00142616615415,57.083243788561504,94.06576489374949,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,,,,,,,,,,,
L_V5,C_V5,D0,0.0,R07,BS2DCE,WandBantenna,ok,1200,1200,1200,45.229804000000115,164.6022373993598,231.96271174243532,325.7584826604388,193.08896394278116,90.42833181228286,123.1954467968482,117.94425598320606,148.68163936754794,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,,,,,,,,,,,
L_V5,C_V5,D0,0.0,R07,BSDC91,WandCantenna,ok,1201,1201,1201,45.229804000000115,96.32142029175917,142.084992030416,208.98348895536859,119.43364055707872,68.43416470429888,90.03764650132106,52.13337614128113,78.47048304439465,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,,,,,,,,,,,
L_V5,C_V5,D0,0.0,R08,BSDC91,WandCantenna,ok,1200,1200,1200,44.84747700000013,95.54361556153391,134.51783132750364,213.837106675637,121.06553404066351,64.0581492945752,81.30469657465144,51.75499341220575,89.70178285549801,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,,,,,,,,,,,
L_V5,C_V5,D0,0.0,R08,BS2DCE,WandBantenna,ok,1201,1201,1201,44.84747700000013,147.95606562691017,216.26238972273103,355.85376112493975,194.34234765089295,88.57630026761119,113.73234612433264,102.31972197837968,157.5877582032168,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,,,,,,,,,,,
L_V5,C_V5,D0,0.0,R09,BS2DCE,WandBantenna,ok,1200,1200,1200,44.96743900000014,180.02350846292236,265.89824115937586,418.16725874892416,227.89635515680598,107.31500371195074,147.45370434716523,124.66277275756693,173.76465051343393,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,,,,,,,,,,,
L_V5,C_V5,D0,0.0,R09,BSDC91,WandCantenna,ok,1200,1200,1200,44.96743900000014,110.7098255687944,160.49471550009883,249.8179446124954,139.68305744142157,85.98899320042484,112.3884144610296,48.57392867684314,82.94697602154835,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,,,,,,,,,,,
L_V5,C_V5,D0,0.0,R10,BSDC91,WandCantenna,ok,1200,1200,1200,45.34070900000013,84.7060872049922,124.311610192861,236.49792232299762,117.97170687531126,53.26313454365053,76.1045107392168,56.26066671097527,90.1411508037189,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,,,,,,,,,,,
L_V5,C_V5,D0,0.0,R10,BS2DCE,WandBantenna,ok,1200,1200,1200,45.34070900000013,155.20896762161044,218.33973640873174,327.0144050325399,189.642313195551,76.79733063636797,95.96876807654442,127.04743938653343,163.56711927532953,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,,,,,,,,,,,
L_V5,C_V5,D0,0.0,R11,BS2DCE,WandBantenna,ok,1201,1201,1201,45.512481000000136,144.02229626543476,190.64334208352182,285.3022898138636,181.80230283744817,76.79281919150773,118.35164449728751,100.62865199191265,138.0034983679287,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,,,,,,,,,,,
L_V5,C_V5,D0,0.0,R11,BSDC91,WandCantenna,ok,1200,1200,1200,45.512481000000136,94.0443512481184,130.5413104105007,187.33032539520045,114.96964803618367,61.60100293932434,79.85629141428484,58.29715205074751,82.7102937434076,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,,,,,,,,,,,
L_V5,C_V5,D0,0.0,R12,BS2DCE,WandBantenna,ok,1200,1200,1200,46.934825000000124,161.20547312046244,218.72301892948582,302.8621247183196,183.21516045387,81.57883456046552,104.63047912358013,106.23999081911131,150.40032532713283,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,,,,,,,,,,,
L_V5,C_V5,D0,0.0,R13,BS2DCE,WandBantenna,ok,1201,1201,1201,44.91856400000012,149.3579703179644,201.34624112275807,281.5254667060526,173.15902341760975,75.36565654982476,104.37797628051358,106.18333860970347,138.16398032238672,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,,,,,,,,,,,
L_V5,C_V5,D0,0.0,R12,BSDC91,WandCantenna,ok,1200,1200,1200,46.934825000000124,109.95482633387678,151.3108965239821,219.7065065804477,130.54294258325504,59.751283544934935,78.84980151865683,76.86224182219894,104.03926498569396,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,,,,,,,,,,,
L_V5,C_V5,D0,0.0,R13,BSDC91,WandCantenna,ok,1200,1200,1200,44.91856400000012,97.43936574889389,132.331462183032,206.93674552061873,120.27226130271829,59.83483511334637,78.25927992866838,58.46413612935464,91.3285384965492,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,,,,,,,,,,,
L_V5,C_V5,D0,0.0,R14,BSDC91,WandCantenna,ok,1200,1200,1200,45.59368200000013,93.88197541987574,134.38380088967568,200.23566469751376,114.61251494639683,50.15322837294785,60.47487570987096,67.06459181522385,97.35922139280744,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,,,,,,,,,,,
L_V5,C_V5,D0,0.0,R14,BS2DCE,WandBantenna,ok,1201,1201,1201,45.59368200000013,150.9155765742148,209.02222211246414,293.52819582631025,176.66980348240017,61.31103334902636,73.79934371482165,131.28392698219625,160.51752655012945,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,,,,,,,,,,,
