tag_delay_mode,facing,n_positions,n_frames,frames_input_total,median_3d_mm,p75_3d_mm,p95_3d_mm,rmse_3d_mm,median_horiz_mm,rmse_horiz_mm,median_vert_mm,rmse_vert_mm,signed_vertical_slope_mm_per_m,signed_vertical_slope_r2,fail_rate,residual_rms_median_mm,d3_std_median_mm,distance_to_centroid_slope_mm_per_m,distance_to_centroid_slope_r2
D0,ABEF,6,7203,7203,94.49530586069135,164.98983489564108,216.7468465684721,139.67663827385178,30.223467870060087,37.2324874467296,89.4207269270108,134.62282554609214,188.43418461881149,0.6859526776132241,0.0,80.4203190140465,68.49567936436502,163.22940402444232,0.4112399127033941
D0,ADHE,6,7206,7206,128.8153378373519,148.5260623440174,168.43890676277826,129.95806181855298,39.112077671331214,50.982385376248146,125.8435264321628,119.54034554485173,203.42259384688296,0.9655136450290559,0.0,88.00054752819062,62.91943809723898,153.12170165339927,0.930940861878119
D0,BCGF,6,7203,7203,68.53945418194533,177.64338641107383,251.9967918329396,146.68896485258227,39.74470718246065,42.314245451615044,58.03422704563596,140.45339811262164,199.78992859597383,0.7368462811077441,0.0,83.38804084546071,62.680669200518,254.0415272859128,0.6512481204980947
D0,CDHG,6,7206,7206,136.48226474444417,180.6754922601644,198.90821660471806,145.1453156073475,61.084124175853034,64.0996182637734,120.94487632693051,130.22442774378024,193.60184333486927,0.845589575209717,0.0,108.25205770108994,83.6621680955283,75.21812568725385,0.09044602119013478
D_LOO_CV,ABEF,6,7203,7203,66.34478412851892,84.37481458792055,142.16827388759012,86.58279993272217,35.109088798635135,45.06491484653163,57.31290937366532,73.93060728862334,76.90064364523344,0.43656916029796733,0.0,85.31383293024797,72.40261501642681,72.82306807318952,0.1608925990498089
D_LOO_CV,ADHE,6,7206,7206,40.48819627655406,60.58099857482007,88.81265898290046,55.62155385139197,21.38085933991767,31.736332943050762,34.14446865336333,45.67890568053408,71.7272152279564,0.8105226916148573,0.0,62.147670148100346,49.57212620601061,69.95701026611539,0.5955767132840353
D_LOO_CV,BCGF,6,7203,7203,58.62962590028811,116.20883296625676,148.70819192326903,91.78624922861614,26.703979046572666,34.996920961362456,49.86535496181443,84.85240757151081,74.93036428431475,0.2961975284831556,0.0,79.54674265852955,51.22999778743987,84.1777430202794,0.22088034978636417
D_LOO_CV,CDHG,6,7206,7206,80.90059617226777,87.96584546660225,127.90173399648226,91.69221559517277,45.44307947138135,46.80571291680923,63.92688290394517,78.84597414643872,84.0029345165369,0.4602717978277855,0.0,108.65575988244984,74.30740349832067,53.36967373327489,0.23540938891852858
D_sweep_grid,ABEF,6,7203,7203,59.838643804513794,65.96206555764346,130.26802190831344,81.34394938022054,42.73709528533968,56.20175640706967,47.56146058201659,58.806467990623986,32.34643684867112,0.1295819718642045,0.0,95.95160866684012,74.15022516162207,61.40815865287834,0.15899396151599243
D_sweep_grid,ADHE,6,7206,7206,26.8606989296813,40.12725321786273,62.230701109700775,37.8445629235547,20.9793463361221,30.430954930465138,14.320575288724086,22.49817603484537,15.617354362239347,0.1597511169639073,0.0,64.70083708086798,49.198265502337264,2.0001573719757464,0.0008876071290250254
D_sweep_grid,BCGF,6,7203,7203,69.04301822743994,94.66096863646291,109.81369687196567,77.85756852926563,27.39578860140781,36.692452089642636,63.50139895586017,68.66924301999094,15.411161450045359,0.019736410696522766,0.0,79.96796761073824,54.836196148067415,-5.8665117352792295,0.003059414388129733
D_sweep_grid,CDHG,6,7206,7206,80.54779914915424,113.95015518606053,126.75759088418056,89.89309017684191,44.57124402295062,46.259114134909474,72.68606839514604,77.07698762273503,30.516943449004174,0.05643008598487809,0.0,117.54876560427505,68.81289965695242,47.688482000653494,0.0889796642791636
