ID,location,height,facing,x_mm,y_vertical_mm,z_mm,gdop,hdop,vdop,condition
ID01,edge,low,ABEF,-542.215344349341,182.54280058407934,-383.3240609304319,1.1330075004452327,0.8223484387604267,0.7793901727205974,2.4520948826410214
ID02,edge,mid,ABEF,-543.22998,1105.589,-259.92136,1.226362205665891,0.7862723746225609,0.9411376160748798,3.774431061802341
ID03,edge,high,ABEF,-554.00287,1625.5614500000001,-256.2951,1.1515116298014283,0.8151547829114992,0.8133275560710138,2.7253651492198347
ID04,edge,low,BCGF,-321.178815,182.16379,479.93381999999997,1.1114332712920114,0.8048577231764312,0.7664776330579469,2.074616999117121
ID05,edge,mid,BCGF,-184.9818897969324,1103.5866165595767,473.70402893394925,1.1797436264709393,0.7744695023949377,0.8899393316731994,2.923787412151223
ID06,edge,high,BCGF,-193.231255,1684.95255,476.52297999999996,1.1160472927199894,0.802480824366226,0.7756198077100146,2.142421599329015
ID07,edge,low,CDHG,352.14755,211.565355,53.795866000000004,1.143286893234829,0.8218267852715563,0.794799128870161,2.6034535759571615
ID08,edge,mid,CDHG,391.90054,1132.2804,-71.53192899999999,1.2190873426763373,0.7878859877042625,0.9302739486048892,3.6725731191398214
ID09,edge,high,CDHG,408.80994,1568.1853500000002,-62.425788499999996,1.1642291927938422,0.81237857848525,0.833948834504663,2.9022578074459986
ID10,edge,low,ADHE,65.499245,238.64973,-938.19342,1.1192658829249151,0.7997620109764446,0.7830305501566354,2.1621478131947325
ID11,edge,mid,ADHE,-63.9057945,1133.4998500000002,-956.9902950000001,1.1763716869461713,0.7740027688842228,0.885872484959397,2.840328730355173
ID12,edge,high,ADHE,-43.6886845,1590.1300500000002,-956.35754,1.131774160044482,0.7933023676863394,0.8072075958312338,2.3152995999689487
ID13,center,mid,ABEF,-189.628155,1139.0976,-197.96616,1.2224376043870908,0.78167928204675,0.9398570086127609,3.689128872473671
ID14,center,mid,BCGF,-198.69532,1132.6278,-194.690585,1.2230599109597355,0.7815987904032665,0.940733159103572,3.6977619087718088
ID15,center,mid,CDHG,-200.165335,1132.2551,-184.312585,1.222990559692027,0.781590448916421,0.94064992386033,3.6966497520792716
ID16,center,mid,ADHE,-184.85465499999998,1122.0572,-185.78015499999998,1.2238871256460637,0.7813053778389802,0.9420518047761876,3.707995412496933
ID17,center,low,ABEF,-180.39839999999998,209.45865500000002,-328.203235,1.1260792633132686,0.8109016846310737,0.7813404924401653,2.3485541731230604
ID18,center,low,BCGF,-295.4243,206.90585,-224.00141000000002,1.1276854730670074,0.8126858293468415,0.7818032162540626,2.3728003378896223
ID19,center,low,CDHG,-188.530555,205.96057000000002,-114.135095,1.1257579755923361,0.8111058459939934,0.7806653099786894,2.343718470827511
ID20,center,low,ADHE,-80.19599149999999,202.56013000000002,-220.692665,1.1257216562753343,0.8118242785851082,0.7798657500538476,2.343154037608662
ID21,center,high,ABEF,-212.053465,1598.6443,-226.93474500000002,1.1448288467357108,0.8046598740561581,0.8143436469956314,2.625865102121032
ID22,center,high,BCGF,-232.83767,1599.3211999999999,-235.17408,1.1449928461407386,0.8049087459063562,0.8143282682536117,2.628385879190804
ID23,center,high,CDHG,-230.87733,1599.6642499999998,-223.24148,1.1448945624660856,0.8049419566799949,0.8141572363742711,2.6269791352602536
ID24,center,high,ADHE,-218.202475,1599.5815,-226.071175,1.144728254857593,0.8047978937967347,0.8140658005405031,2.624466543467929
