pair,pred_mm,fused_mm,err_mm,abs_err_mm
A-B,4545.213265803272,4547.000000000001,-1.7867341967285029,1.7867341967285029
A-C,8874.793853048988,8872.5,2.2938530489882396,2.2938530489882396
A-D,9471.659702692863,9469.54751131222,2.112191380643708,2.112191380643708
A-E,1565.8337977936383,1567.1558164354324,-1.3220186417941022,1.3220186417941022
A-F,4482.553868173297,4484.000000000001,-1.4461318267040042,1.4461318267040042
A-G,9136.7815095565,9137.80198019802,-1.0204706415206601,1.0204706415206601
A-H,9738.879870279723,9738.528548123979,0.3513221557441284,0.3513221557441284
B-C,5945.983864187861,5947.596673596675,-1.6128094088135185,1.6128094088135185
B-D,5355.830458482873,5357.297936210131,-1.4674777272584834,1.4674777272584834
B-E,4610.936025999314,4609.469724770642,1.4663012286719095,1.4663012286719095
B-F,1341.8922089439066,1340.36,1.532208943906653,1.532208943906653
B-G,6179.213529246873,6177.639999999999,1.573529246873477,1.573529246873477
B-H,5702.842397814844,5701.474375821287,1.3680219935567948,1.3680219935567948
C-D,8624.47408242321,8623.397647058824,1.0764353643862705,1.0764353643862705
C-E,8850.010305694195,8850.5,-0.4896943058047327,0.4896943058047327
C-F,6185.030198690296,6186.095022624435,-1.0648239341389854,1.0648239341389854
C-G,1413.4621923479326,1413.5410881801126,-0.07889583218002372,0.07889583218002372
C-H,8894.254613543915,8894.0,0.254613543915184,0.254613543915184
D-E,9420.582467106608,9420.439004149377,0.14346295723044022,0.14346295723044022
D-F,5758.411623576458,5759.795294117646,-1.3836705411886214,1.3836705411886214
D-G,8685.8395439947,8686.07397260274,-0.23442860804061638,0.23442860804061638
D-H,1365.8857727243858,1366.0,-0.11422727561421198,0.11422727561421198
E-F,4088.8633246789373,4088.0,0.8633246789372606,0.8633246789372606
E-G,8867.058679169726,8867.543396226416,-0.48471705668998766,0.48471705668998766
E-H,9467.842048593437,9469.737991266375,-1.895942672937963,1.895942672937963
F-G,6124.616151171805,6124.000000000001,0.6161511718037218,0.6161511718037218
F-H,5789.904664704707,5789.324324324324,0.5803403803829497,0.5803403803829497
G-H,8736.727189181534,8737.534441805226,-0.8072526236919657,0.8072526236919657
