capture_id,tag,frames,finite_frames,xyz_diff_rmse_mm,xyz_diff_p95_mm,xyz_diff_max_mm,cpu_accept_rate,gpu_accept_rate,row_spec,R,L,I,T,prior_sigma_mm,range_sigma_scale,robust
R16,BS2DCE,1201,1201,0.0003191161359135682,0.000562807734382979,0.0011819970543680209,1.0,1.0,R2:L2:I7:T6,R2,L2,I7,T6,112.0884375,1.0,False
R16,BSDC91,1200,1200,0.00038355274949098854,0.0007276605884519237,0.0011626850225026327,1.0,1.0,R2:L2:I7:T6,R2,L2,I7,T6,112.0884375,1.0,False
R17,BS2DCE,1201,1201,0.0003931751572277024,0.0007242344963419299,0.0010555214847153887,1.0,1.0,R2:L2:I7:T6,R2,L2,I7,T6,112.0884375,1.0,False
R17,BSDC91,1200,1200,0.0003838372877147159,0.0006744343224811176,0.0011583699989380824,1.0,1.0,R2:L2:I7:T6,R2,L2,I7,T6,112.0884375,1.0,False
R01,BS2DCE,1201,1201,0.0004972141549059361,0.0009453577081470411,0.0014239188291760654,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R01,BSDC91,1200,1200,0.0004796921296557261,0.0009707273509819336,0.0017012341340392617,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R02,BS2DCE,1201,1201,0.00041121364367917854,0.0008251343768390447,0.0013644088259039682,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R02,BSDC91,1200,1200,0.0004982982228989626,0.0010262956499310606,0.0019048191052795213,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R03,BS2DCE,1200,1200,0.00034083818299713404,0.0005572429751972291,0.0007312577220741897,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R03,BSDC91,1200,1200,0.0005595342458811549,0.0010831005402817794,0.0023511778505855186,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R04,BS2DCE,1200,1200,0.0003899804323371984,0.0007208508149858733,0.001387014685353372,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R04,BSDC91,1200,1200,0.0003857194806954152,0.0006866210041535713,0.0013089201610313708,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R05,BS2DCE,1200,1200,0.0005029403396438098,0.000932632879458336,0.001468385450892752,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R05,BSDC91,1201,1201,0.0006063996234797487,0.00118424650196856,0.0022715568728584323,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R06,BS2DCE,1200,1200,0.0005067606356046199,0.0010740964684492695,0.0015971134143957036,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R06,BSDC91,1201,1201,0.0006108442289470448,0.001353078997205488,0.002230943420570014,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R07,BS2DCE,1200,1200,0.0004967479633740169,0.000899039224499838,0.001828004464260919,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R07,BSDC91,1201,1201,0.0006494504797365316,0.00133317490927249,0.0037634464052337595,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R08,BS2DCE,1201,1201,0.00038459986186464926,0.000683476990903403,0.0015077082564582572,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R08,BSDC91,1200,1200,0.0003374530406089392,0.0005346669824390139,0.0008724284135243373,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R09,BS2DCE,1200,1200,0.0003654212218314409,0.0006593284840510511,0.0015599598800511657,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R09,BSDC91,1200,1200,0.0007499950691598924,0.001419845288528809,0.002696685596443867,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R10,BS2DCE,1200,1200,0.0004887022601851255,0.0009187204867686696,0.0015905934589405882,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R10,BSDC91,1200,1200,0.0004462362020647495,0.0009140812628751036,0.0014949703927562283,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R11,BS2DCE,1201,1201,0.0006772349117779949,0.0013853268415443662,0.0027271728120479254,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R11,BSDC91,1200,1200,0.0004579677022380289,0.0008148176181048772,0.0012895600207848228,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R12,BS2DCE,1200,1200,0.0004042190648260486,0.000737376875525032,0.0013546522271601625,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R12,BSDC91,1200,1200,0.00030564373316178034,0.0004667528072625867,0.0009922953453230148,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R13,BS2DCE,1201,1201,8.076167783011305,0.0007269198150282697,271.3797881254425,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R13,BSDC91,1200,1200,0.00029523546803118556,0.000506714597299935,0.0009170192110678834,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R14,BS2DCE,1201,1201,0.00045552445365307876,0.0009017540639470497,0.0018900134581407782,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R14,BSDC91,1200,1200,0.00028612884553734123,0.0005387154754592207,0.0011560180613924967,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R15,BS2DCE,1200,1200,0.00043618080037502444,0.0007496157331562117,0.001844957058359952,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R15,BSDC91,1200,1200,0.0004964523441253815,0.0009001579199966614,0.0027092055402421766,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R16,BS2DCE,1201,1201,0.00031433822287245866,0.0005244779719202591,0.0010616815923550856,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R16,BSDC91,1200,1200,0.00035392439499600453,0.0006362171883285954,0.0010361975171997103,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R17,BS2DCE,1201,1201,0.00036611385870818707,0.0006413902224477045,0.0010469508989722116,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R17,BSDC91,1200,1200,0.0003637033342229491,0.000610607567770388,0.0010193984291188688,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
