wall_count,distance_cm,seeds,phase1_pos_p95_m,phase2_pos_err_p95_m_median,phase2_pos_err_p95_m_p90,phase2_z_err_p95_m_median,phase2_z_err_p95_m_p90,phase2_hor_err_p95_m_median,phase2_hor_err_p95_m_p90,phase2_failure_gt_0p5m_ratio_median,phase2_failure_gt_0p5m_ratio_p90,phase2_range_bias_mean_m_median,phase2_range_bias_mean_m_p90,metal_delta_pos_p95_m,metal_ratio_pos_p95
0,0,12,0.062210503965616226,0.32221846282482147,0.37972996532917025,0.27493853867053986,0.3123545110225677,0.20232640951871872,0.23281936198472977,0.004790190840139985,0.015597943589091303,0.056488581001758575,0.056488584727048874,0.26000795885920525,5.179486457832133
0,40,12,0.06187921017408371,0.17001844942569733,0.18604453057050704,0.14774179458618164,0.15868854969739915,0.10816160589456558,0.11689715310931206,0.0,2.3366784080280926e-05,0.027296697720885277,0.027296697720885277,0.10813923925161362,2.747585965421785
0,100,12,0.06253035366535187,0.08682382479310036,0.09101200178265571,0.07749664410948753,0.08006122633814812,0.05612808279693127,0.05841362662613392,0.0,0.0,0.00916926097124815,0.00916926097124815,0.02429347112774849,1.3885068563303125
1,0,12,0.3436850905418396,0.5328124463558197,0.5600981771945953,0.4898163974285126,0.5075017988681794,0.32168301939964294,0.3421244502067566,0.06714260950684547,0.08293732330203056,0.10899502038955688,0.10899502038955688,0.1891273558139801,1.5502925818394093
1,40,12,0.12867388129234314,0.23815733939409256,0.25816596746444703,0.21096297353506088,0.2327458679676056,0.14871355146169662,0.15886099934577944,0.00021522038150578737,0.0006296733277849853,0.04404133930802345,0.04404133930802345,0.10948345810174942,1.8508599958448937
1,100,12,0.06720680743455887,0.09663688018918037,0.10159008353948593,0.08592619374394417,0.08921827748417854,0.06154377944767475,0.06306851953268051,0.0,0.0,0.01218484342098236,0.01218484342098236,0.029430072754621506,1.4379031511544182
2,0,12,0.44936010241508484,0.6556587219238281,0.6748025357723236,0.6120022833347321,0.6262778401374817,0.3847363442182541,0.38976781368255614,0.19654539972543716,0.19900137335062026,0.161501444876194,0.1615014523267746,0.2062986195087433,1.459094206183397
2,40,12,0.16468706727027893,0.2921789735555649,0.3147757798433304,0.26692676544189453,0.2806598424911499,0.17468750476837158,0.1876564309000969,0.0008731798152439296,0.0038555194158107044,0.06078597903251648,0.06078598275780678,0.12749190628528595,1.774146436623651
2,100,12,0.07228980958461761,0.10401080548763275,0.10470090657472611,0.0941731296479702,0.09514382258057594,0.06527429819107056,0.06570837274193764,0.0,0.0,0.015200424008071423,0.015200424008071423,0.03172099590301514,1.4388031464640207
3,0,12,0.6374461054801941,0.7828648686408997,0.7919772684574127,0.7380139529705048,0.7481175005435944,0.4532797634601593,0.45784443616867065,0.395470529794693,0.401082244515419,0.2140078842639923,0.2140078842639923,0.14541876316070557,1.2281271497472876
3,40,12,0.23651835322380066,0.3549526780843735,0.3720292955636978,0.3254268914461136,0.34168543517589567,0.21151990443468094,0.2191416636109352,0.004722550045698881,0.008954397961497306,0.0775306224822998,0.0775306224822998,0.11843432486057281,1.500740527093501
3,100,12,0.08077126741409302,0.11372322216629982,0.115528804063797,0.10409630462527275,0.10566894188523293,0.07001101225614548,0.07173745855689048,0.0,0.0,0.018216004595160484,0.018216004595160484,0.0329519547522068,1.4079662955302015
4,0,12,0.7636804580688477,0.8917574286460876,0.8988467991352082,0.8484852015972137,0.8521532714366913,0.4931740462779999,0.49556398391723633,0.5458726584911346,0.5470754563808441,0.26651430130004883,0.26651430130004883,0.12807697057724,1.1677101583836698
4,40,12,0.2868529260158539,0.404974102973938,0.41793135106563567,0.3772237002849579,0.38515553772449496,0.23424844443798065,0.24139500111341478,0.011443574912846088,0.01752139935269952,0.09427526593208313,0.09427526593208313,0.1181211769580841,1.4117830645783818
4,100,12,0.08753393590450287,0.12287627160549164,0.12548385933041573,0.11302733048796654,0.11457112208008766,0.0748671218752861,0.07636001780629158,0.0,0.0,0.02123158611357212,0.02123158797621727,0.03534233570098877,1.4037558157963592
