series,material,distance_cm,pos_err_p95_m,failure_gt_0p5m_ratio
Phase2 wall+metal median,,300,0.06276421248912811,0.0
Phase3 light_drywall,light_drywall,0,0.19510529935359955,0.0
Phase3 light_drywall,light_drywall,5,0.1741424947977066,0.0
Phase3 light_drywall,light_drywall,10,0.15706269443035126,0.0
Phase3 light_drywall,light_drywall,15,0.14120274782180786,0.0
Phase3 light_drywall,light_drywall,20,0.12933939695358276,0.0
Phase3 light_drywall,light_drywall,25,0.11789024621248245,0.0
Phase3 light_drywall,light_drywall,30,0.10878850519657135,0.0
Phase3 light_drywall,light_drywall,35,0.10114797949790955,0.0
Phase3 light_drywall,light_drywall,40,0.09450049698352814,0.0
Phase3 light_drywall,light_drywall,45,0.08930361270904541,0.0
Phase3 light_drywall,light_drywall,50,0.08481858670711517,0.0
Phase3 light_drywall,light_drywall,55,0.08099093288183212,0.0
Phase3 light_drywall,light_drywall,60,0.07775650918483734,0.0
Phase3 light_drywall,light_drywall,65,0.07527230679988861,0.0
Phase3 light_drywall,light_drywall,70,0.07310424745082855,0.0
Phase3 light_drywall,light_drywall,75,0.07146928459405899,0.0
Phase3 light_drywall,light_drywall,80,0.06943716108798981,0.0
Phase3 light_drywall,light_drywall,85,0.06845908612012863,0.0
Phase3 light_drywall,light_drywall,90,0.06770545244216919,0.0
Phase3 light_drywall,light_drywall,95,0.0665697306394577,0.0
Phase3 light_drywall,light_drywall,100,0.0660666823387146,0.0
Phase3 light_drywall,light_drywall,105,0.0652504712343216,0.0
Phase3 light_drywall,light_drywall,110,0.0650615468621254,0.0
Phase3 light_drywall,light_drywall,115,0.06458093225955963,0.0
Phase3 light_drywall,light_drywall,120,0.0644037202000618,0.0
Phase3 light_drywall,light_drywall,125,0.06421440094709396,0.0
Phase3 light_drywall,light_drywall,130,0.06370735168457031,0.0
Phase3 light_drywall,light_drywall,135,0.06341075897216797,0.0
Phase3 light_drywall,light_drywall,140,0.06347782164812088,0.0
Phase3 light_drywall,light_drywall,145,0.06332122534513474,0.0
Phase3 light_drywall,light_drywall,150,0.0633644238114357,0.0
Phase3 light_drywall,light_drywall,155,0.06302843987941742,0.0
Phase3 light_drywall,light_drywall,160,0.06319519877433777,0.0
Phase3 light_drywall,light_drywall,165,0.06272527575492859,0.0
Phase3 light_drywall,light_drywall,170,0.06270278990268707,0.0
Phase3 light_drywall,light_drywall,175,0.06272237002849579,0.0
Phase3 light_drywall,light_drywall,180,0.06267256289720535,0.0
Phase3 light_drywall,light_drywall,185,0.06287853419780731,0.0
Phase3 light_drywall,light_drywall,190,0.06293688714504242,0.0
Phase3 light_drywall,light_drywall,195,0.06291183829307556,0.0
Phase3 light_drywall,light_drywall,200,0.0627797544002533,0.0
Phase3 light_drywall,light_drywall,205,0.06249496340751648,0.0
Phase3 light_drywall,light_drywall,210,0.06263544410467148,0.0
Phase3 light_drywall,light_drywall,215,0.06253921240568161,0.0
Phase3 light_drywall,light_drywall,220,0.062696173787117,0.0
Phase3 light_drywall,light_drywall,225,0.062440335750579834,0.0
Phase3 light_drywall,light_drywall,230,0.0622311607003212,0.0
Phase3 light_drywall,light_drywall,235,0.06245765835046768,0.0
