host_time_iso,target,sweep,anchor_id,anchor,raw_distance_mm,rx_timestamp,carrier_integrator,first_path,first_path_amp1,first_path_amp2,first_path_amp3,fp_amp_sum,max_growth_cir,rx_pream_count,std_noise,max_noise,raw_line
2026-06-01T23:50:27.135+02:00,BSF66F,7088,1,B,3156,1966850671,5653,47715,1661,1703,1375,4739,130,37,16,300,[RECV] BSF66F notify: CRX;1;7088;1;3156;1966850671;5653;47715;1661;1703;1375;130;37;16;300
2026-06-01T23:50:27.139+02:00,BSF66F,7088,5,F,2932,2222440470,3,47618,2002,7632,7509,17143,2055,123,52,1234,[RECV] BSF66F notify: CRX;1;7088;5;2932;2222440470;3;47618;2002;7632;7509;2055;123;52;1234
2026-06-01T23:50:27.140+02:00,BSF66F,7088,3,D,2544,2097923254,7181,47754,6431,6913,6690,20034,2015,119,44,1037,[RECV] BSF66F notify: CRX;1;7088;3;2544;2097923254;7181;47754;6431;6913;6690;2015;119;44;1037
2026-06-01T23:50:27.142+02:00,BSF66F,7088,7,H,2257,2340407023,7408,47811,6824,7627,7533,21984,2150,122,40,991,[RECV] BSF66F notify: CRX;1;7088;7;2257;2340407023;7408;47811;6824;7627;7533;2150;122;40;991
2026-06-01T23:50:27.352+02:00,BSF66F,7089,0,A,2665,1793630296,5661,47676,3144,5220,3024,11388,1763,119,44,916,[RECV] BSF66F notify: CRX;1;7089;0;2665;1793630296;5661;47676;3144;5220;3024;1763;119;44;916
2026-06-01T23:50:27.353+02:00,BSF66F,7089,1,B,3181,1859167065,5571,47949,2933,3005,2870,8808,369,58,20,421,[RECV] BSF66F notify: CRX;1;7089;1;3181;1859167065;5571;47949;2933;3005;2870;369;58;20;421
2026-06-01T23:50:27.355+02:00,BSF66F,7089,5,F,3005,2114756900,-116,47888,4017,7450,7150,18617,2061,123,52,1229,[RECV] BSF66F notify: CRX;1;7089;5;3005;2114756900;-116;47888;4017;7450;7150;2061;123;52;1229
2026-06-01T23:50:27.355+02:00,BSF66F,7089,2,C,2712,1924703044,6592,47912,3295,3311,2539,9145,563,60,24,517,[RECV] BSF66F notify: CRX;1;7089;2;2712;1924703044;6592;47912;3295;3311;2539;563;60;24;517
2026-06-01T23:50:27.359+02:00,BSF66F,7089,3,D,2798,1990239215,6216,48099,2214,2259,1829,6302,251,46,16,334,[RECV] BSF66F notify: CRX;1;7089;3;2798;1990239215;6216;48099;2214;2259;1829;251;46;16;334
2026-06-01T23:50:27.360+02:00,BSF66F,7089,7,H,2234,2232723360,7404,47988,7267,7264,4524,19055,2127,124,40,950,[RECV] BSF66F notify: CRX;1;7089;7;2234;2232723360;7404;47988;7267;7264;4524;2127;124;40;950
2026-06-01T23:50:27.531+02:00,BSF66F,7090,0,A,2669,1692500363,5671,47983,2332,5124,3461,10917,1661,118,48,946,[RECV] BSF66F notify: CRX;1;7090;0;2669;1692500363;5671;47983;2332;5124;3461;1661;118;48;946
2026-06-01T23:50:27.532+02:00,BSF66F,7090,4,E,2598,1954645704,8631,47764,7020,7558,6451,21029,1954,123,52,1237,[RECV] BSF66F notify: CRX;1;7090;4;2598;1954645704;8631;47764;7020;7558;6451;1954;123;52;1237
2026-06-01T23:50:27.535+02:00,BSF66F,7090,2,C,2520,1823572858,7115,47966,6265,7144,6102,19511,1964,123,32,729,[RECV] BSF66F notify: CRX;1;7090;2;2520;1823572858;7115;47966;6265;7144;6102;1964;123;32;729
2026-06-01T23:50:27.536+02:00,BSF66F,7090,6,G,2509,2072611563,11543,47791,3980,6804,4613,15397,1717,117,40,904,[RECV] BSF66F notify: CRX;1;7090;6;2509;2072611563;11543;47791;3980;6804;4613;1717;117;40;904
2026-06-01T23:50:27.735+02:00,BSF66F,7091,0,A,2659,1580534359,5792,47675,3143,4969,2928,11040,1640,119,44,784,[RECV] BSF66F notify: CRX;1;7091;0;2659;1580534359;5792;47675;3143;4969;2928;1640;119;44;784
2026-06-01T23:50:27.736+02:00,BSF66F,7091,1,B,3182,1646071012,5493,47832,1885,1822,1682,5389,148,39,16,316,[RECV] BSF66F notify: CRX;1;7091;1;3182;1646071012;5493;47832;1885;1822;1682;148;39;16;316
2026-06-01T23:50:27.738+02:00,BSF66F,7091,5,F,2937,1901660604,80,48040,6700,7318,5384,19402,1868,118,60,1405,[RECV] BSF66F notify: CRX;1;7091;5;2937;1901660604;80;48040;6700;7318;5384;1868;118;60;1405
2026-06-01T23:50:27.739+02:00,BSF66F,7091,3,D,2505,1777143078,7167,47882,6261,6941,6580,19782,1960,118,44,1033,[RECV] BSF66F notify: CRX;1;7091;3;2505;1777143078;7167;47882;6261;6941;6580;1960;118;44;1033
2026-06-01T23:50:27.741+02:00,BSF66F,7091,7,H,2227,2019627359,7411,47931,7320,7283,4129,18732,1942,118,48,1133,[RECV] BSF66F notify: CRX;1;7091;7;2227;2019627359;7411;47931;7320;7283;4129;1942;118;48;1133
2026-06-01T23:50:27.974+02:00,BSF66F,7092,0,A,2687,1474546975,5591,47875,2252,3142,4649,10043,1736,119,48,992,[RECV] BSF66F notify: CRX;1;7092;0;2687;1474546975;5591;47875;2252;3142;4649;1736;119;48;992
2026-06-01T23:50:27.975+02:00,BSF66F,7092,1,B,3181,1540083144,5658,48060,3405,3252,1777,8434,414,61,24,523,[RECV] BSF66F notify: CRX;1;7092;1;3181;1540083144;5658;48060;3405;3252;1777;414;61;24;523
2026-06-01T23:50:27.978+02:00,BSF66F,7092,5,F,3014,1795673243,-273,47775,6457,7090,5763,19310,1902,120,60,1402,[RECV] BSF66F notify: CRX;1;7092;5;3014;1795673243;-273;47775;6457;7090;5763;1902;120;60;1402
