row_type,common_mode_mm,e_reg_mm,mean_e_mm,max_abs_e_mm,pair_residual_rms_mm,anchor_id,anchor_label,d_anchor_mm,e_i_mm,pair,measured_median_mm,geometric_mm,bias_mm,predicted_bias_mm,residual_mm
summary,94.73287777503414,20.0,3.552713678800501e-15,53.63790904744132,43.813393496262535,,,,,,,,,,
anchor,,,,,,0,A,148.37078682247545,53.63790904744131,,,,,,
anchor,,,,,,1,B,96.43979180084214,1.706914025808004,,,,,,
anchor,,,,,,2,C,127.18900484267812,32.456127067643976,,,,,,
anchor,,,,,,3,D,114.71927040195814,19.986392626924,,,,,,
anchor,,,,,,4,E,49.21969501510073,-45.51318275993341,,,,,,
anchor,,,,,,5,F,50.55910501287908,-44.17377276215506,,,,,,
anchor,,,,,,6,G,85.86957174764835,-8.86330602738579,,,,,,
anchor,,,,,,7,H,85.49579655669112,-9.237081218343022,,,,,,
,,,,,,,,,,A-B,2895.0,2665.0643575793506,229.9356424206494,244.8105786233176,14.87493620266821
,,,,,,,,,,A-C,3718.0,3414.1085019320158,303.89149806798423,275.55979166515357,-28.33170640283066
,,,,,,,,,,A-D,2429.0,2165.8598471827554,263.1401528172446,263.0900572244336,-0.050095592810976086
,,,,,,,,,,A-E,1550.0,1403.6365517390243,146.3634482609757,197.5904818375762,51.22703357660049
,,,,,,,,,,A-F,3322.0,3074.024420727174,247.97557927282605,198.92989183535454,-49.045687437471514
,,,,,,,,,,A-G,4020.5,3734.3841559079856,286.1158440920144,234.24035857012382,-51.875485521890596
,,,,,,,,,,A-H,2688.0,2517.200327023951,170.7996729760489,233.86658337916657,63.066910403117674
,,,,,,,,,,B-C,2407.0,2179.133082966119,227.86691703388078,223.62879664352027,-4.238120390360507
,,,,,,,,,,B-D,3670.0,3440.4790686576366,229.52093134236338,211.15906220280027,-18.36186913956311
,,,,,,,,,,B-E,3135.0,2955.9630981271275,179.03690187287248,145.65948681594287,-33.37741505692961
,,,,,,,,,,B-F,1620.0,1392.3829235074895,227.61707649251048,146.99889681372122,-80.61817967878926
,,,,,,,,,,B-G,2745.0,2658.9595708272213,86.04042917277866,182.3093635484905,96.26893437571184
,,,,,,,,,,B-H,3902.0,3745.511858044666,156.48814195533396,181.93558835753328,25.44744640219932
,,,,,,,,,,C-D,2887.0,2636.9464765477865,250.05352345221354,241.90827524463626,-8.145248207577282
,,,,,,,,,,C-E,3885.0,3718.707957323416,166.29204267658406,176.40869985777886,10.116657181194796
,,,,,,,,,,C-F,2672.0,2566.2905209564447,105.70947904355535,177.7481098555572,72.03863081200186
,,,,,,,,,,C-G,1618.0,1406.489122081887,211.510877918113,213.05857659032648,1.5476986722134711
,,,,,,,,,,C-H,3347.0,3091.2461466183227,255.75385338167735,212.68480139936923,-43.06905198230811
,,,,,,,,,,D-E,2793.0,2660.813628381067,132.1863716189332,163.93896541705888,31.752593798125673
,,,,,,,,,,D-F,3850.0,3737.3010362894142,112.69896371058576,165.27837541483723,52.57941170425147
,,,,,,,,,,D-G,3160.0,2964.7456840920613,195.2543159079387,200.58884214960648,5.334526241667788
,,,,,,,,,,D-H,1659.0,1395.6256482556894,263.3743517443106,200.21506695864926,-63.159284785661356
,,,,,,,,,,E-F,2762.0,2682.8449302921804,79.15506970781962,99.77880002797981,20.623730320160192
,,,,,,,,,,E-G,3711.0,3495.0033830335615,215.99661696643852,135.08926676274908,-80.90735020368945
,,,,,,,,,,E-H,2333.0,2198.9630417696453,134.03695823035468,134.71549157179186,0.6785333414371735
,,,,,,,,,,F-G,2374.0,2236.1352352837457,137.86476471625429,136.42867676052742,-1.4360879557268618
,,,,,,,,,,F-H,3660.0,3509.9137150979086,150.0862849020914,136.0549015695702,-14.031383332521187
,,,,,,,,,,G-H,2880.0,2739.7245543524423,140.27544564755772,171.36536830433948,31.089922656781766
