A,reason,detail,U,P,R,T
A1,NOT_RUN_SOURCE_MISSING,Phase3 runner currently has A0 v4-io layout and U4/P/R artifacts only.,,,,
A2,NOT_RUN_SOURCE_MISSING,Phase3 runner currently has A0 v4-io layout and U4/P/R artifacts only.,,,,
,NOT_RUN_SOURCE_MISSING,Only U4 solved-position sample stream exists in this runner.,U1-U3,,,
,NOT_IMPLEMENTED_IN_THIS_RUNNER,This runner currently provides P0 and P2 only.,,P1/P3/P4/P5,,
,NOT_IMPLEMENTED_IN_THIS_RUNNER,This runner currently provides R2 and R4 only.,,,R0/R1/R3,
,NOT_IMPLEMENTED_IN_THIS_RUNNER,This runner currently provides T2/T3/T5/T6/T8/T11 plus B0/T1 control.,,,,T4/T7/T9/T10/T12
