experiment_id,kind,A,U,P,R,L,I,T,seed_count,trackmedian_err3d_p50_mm_mean,trackmedian_err3d_p50_mm_std,trackmedian_err3d_p50_mm_min,trackmedian_err3d_p50_mm_max,trackmedian_err3d_p95_mm_mean,trackmedian_err3d_p95_mm_std,trackmedian_err3d_p95_mm_min,trackmedian_err3d_p95_mm_max,legacy_deltaR_error_rms_mm_mean,legacy_deltaR_error_rms_mm_std,legacy_deltaR_error_rms_mm_min,legacy_deltaR_error_rms_mm_max,trackmedian_radius_error_abs_mm_mean,trackmedian_radius_error_abs_mm_std,trackmedian_radius_error_abs_mm_min,trackmedian_radius_error_abs_mm_max,screening_score_mean,screening_score_std,screening_score_min,screening_score_max,rank
X_A0_U4_P2_L2_I2_T2,position_fusion,A0,U4,P2,nan,L2,I2,T2,1,103.69935572440798,0.0,103.69935572440798,103.69935572440798,176.32913856834801,0.0,176.32913856834801,176.32913856834801,106.74739892774812,0.0,106.74739892774812,106.74739892774812,42.64814094725347,0.0,42.64814094725347,42.64814094725347,261.4618039463802,0.0,261.4618039463802,261.4618039463802,1
X_A0_U4_P0_L2_I2_T2,position_fusion,A0,U4,P0,nan,L2,I2,T2,1,104.58433859338975,0.0,104.58433859338975,104.58433859338975,190.07874843386287,0.0,190.07874843386287,190.07874843386287,94.86293219389763,0.0,94.86293219389763,94.86293219389763,51.78746798694581,0.0,51.78746798694581,51.78746798694581,263.409687074443,0.0,263.409687074443,263.409687074443,2
X_A0_U4_P0_L2_I0_T5,position_fusion,A0,U4,P0,nan,L2,I0,T5,1,104.41401011636088,0.0,104.41401011636088,104.41401011636088,227.62682930267408,0.0,227.62682930267408,227.62682930267408,84.41674209432543,0.0,84.41674209432543,84.41674209432543,59.391847860052906,0.0,59.391847860052906,59.391847860052906,272.87104376835106,0.0,272.87104376835106,272.87104376835106,3
B0_A0_U4_P0_T1,baseline,A0,U4,P0,nan,nan,nan,T1,1,105.83784720842489,0.0,105.83784720842489,105.83784720842489,231.80213799547772,0.0,231.80213799547772,231.80213799547772,80.07935390701411,0.0,80.07935390701411,80.07935390701411,59.73216676551942,0.0,59.73216676551942,59.73216676551942,272.8902266245117,0.0,272.8902266245117,272.8902266245117,4
X_A0_U4_P0_L2_I0_T3,position_fusion,A0,U4,P0,nan,L2,I0,T3,1,102.4418013997228,0.0,102.4418013997228,102.4418013997228,220.83013186616972,0.0,220.83013186616972,220.83013186616972,91.47550401318968,0.0,91.47550401318968,91.47550401318968,58.88405664954152,0.0,58.88405664954152,58.88405664954152,273.20722868688574,0.0,273.20722868688574,273.20722868688574,5
X_A0_U4_P0_L2_I0_T2,position_fusion,A0,U4,P0,nan,L2,I0,T2,1,98.61081510665645,0.0,98.61081510665645,98.61081510665645,197.9784341204827,0.0,197.9784341204827,197.9784341204827,118.16771873734862,0.0,118.16771873734862,118.16771873734862,56.31537809015387,0.0,56.31537809015387,56.31537809015387,278.77835921004635,0.0,278.77835921004635,278.77835921004635,6
X_A0_U4_P0_L2_I2_T5,position_fusion,A0,U4,P0,nan,L2,I2,T5,1,101.42381290704328,0.0,101.42381290704328,101.42381290704328,215.75956244701794,0.0,215.75956244701794,215.75956244701794,104.2179170223616,0.0,104.2179170223616,104.2179170223616,58.198993792380605,0.0,58.198993792380605,58.198993792380605,278.991698575343,0.0,278.991698575343,278.991698575343,7
X_A0_U4_P0_L2_I7_T5,position_fusion,A0,U4,P0,nan,L2,I7,T5,1,101.30429791465475,0.0,101.30429791465475,101.30429791465475,215.25745288973673,0.0,215.25745288973673,215.25745288973673,105.26870040193931,0.0,105.26870040193931,105.26870040193931,58.131300774909676,0.0,58.131300774909676,58.131300774909676,279.39814709487496,0.0,279.39814709487496,279.39814709487496,8
X_A0_U4_P0_L2_I1_T5,position_fusion,A0,U4,P0,nan,L2,I1,T5,1,102.9408996768312,0.0,102.9408996768312,102.9408996768312,216.55362165784163,0.0,216.55362165784163,216.55362165784163,103.69269272749803,0.0,103.69269272749803,103.69269272749803,58.2545837280195,0.0,58.2545837280195,58.2545837280195,280.4468440303341,0.0,280.4468440303341,280.4468440303341,9
X_A0_U4_P0_L2_I3_T5,position_fusion,A0,U4,P0,nan,L2,I3,T5,1,101.33838374621124,0.0,101.33838374621124,101.33838374621124,212.17328047010668,0.0,212.17328047010668,212.17328047010668,110.94136680415745,0.0,110.94136680415745,110.94136680415745,57.907006911346684,0.0,57.907006911346684,57.907006911346684,282.2114921293321,0.0,282.2114921293321,282.2114921293321,10
