layout,tag_method,kind,keep_k,drop_category,drop_sets,dropped_lower_count_median,dropped_upper_count_median,turn_center_rms_3d_mm_median,turn_center_rms_3d_mm_p95_over_drop_sets,circle_thickness_rms_mm_median,radius_mm_median,d3_std_mm_median,d3_std_mm_p95_over_drop_sets,z_std_mm_median,residual_rms_median_mm
v1-old,T1,roto,7,lower_heavy,4,1.0,0.0,19.187744903921367,21.46887656237868,111.94715264398424,612.2610990915139,,,,
v1-old,T1,roto,7,upper_heavy,4,0.0,1.0,17.954664896964236,21.445393031180803,109.63485409698282,602.1304976218455,,,,
v1-old,T1,roto,6,balanced,16,1.0,1.0,24.322944296199665,27.428005618208488,133.31271017357676,616.7474612400911,,,,
v1-old,T1,roto,6,lower_heavy,6,2.0,0.0,30.115720149853374,34.18217130678799,131.58292814876603,604.9828546588799,,,,
v1-old,T1,roto,6,upper_heavy,6,0.0,2.0,20.99841599485893,26.20251333362797,124.30387212673372,599.7366227874834,,,,
v1-old,T1,roto,5,lower_heavy,28,2.0,1.0,34.29472422423614,50.48912187000217,160.60802631953462,617.1492788161216,,,,
v1-old,T1,roto,5,upper_heavy,28,1.0,2.0,28.013337365363746,46.17823019745817,148.1440564341994,613.9998996886488,,,,
v1-old,T1,roto,4,balanced,36,2.0,2.0,54.217194478234376,348.80958709655897,200.50589112449558,644.3440025762834,,,,
v1-old,T1,roto,4,lower_heavy,17,3.0,1.0,60.72190799186061,162.452418884868,202.24626666922612,620.6589870739963,,,,
v1-old,T1,roto,4,upper_heavy,17,1.0,3.0,36.47446404617744,53.619433125741594,173.43321297360222,629.3851465773937,,,,
v1-old,T1,static,7,lower_heavy,4,1.0,0.0,,,,,75.83458518981934,77.20437374114991,49.81949710845947,90.52703666687012
v1-old,T1,static,7,upper_heavy,4,0.0,1.0,,,,,61.15741157531738,72.0394639968872,45.32997417449951,89.8840913772583
v1-old,T1,static,6,balanced,16,1.0,1.0,,,,,79.13515663146973,104.20608425140382,50.69827938079834,80.76008224487305
v1-old,T1,static,6,lower_heavy,6,2.0,0.0,,,,,90.25101280212402,98.25145626068115,65.23343086242676,81.66280460357666
v1-old,T1,static,6,upper_heavy,6,0.0,2.0,,,,,71.12566375732422,79.79432106018066,45.11167621612549,78.62301635742188
v1-old,T1,static,5,lower_heavy,28,2.0,1.0,,,,,105.13109397888184,141.1371208190918,70.45154762268066,63.57736301422119
v1-old,T1,static,5,upper_heavy,28,1.0,2.0,,,,,77.57530212402344,105.94602794647216,50.80327129364014,67.30273151397705
v1-old,T1,static,4,balanced,36,2.0,2.0,,,,,113.64895248413086,164.32206535339355,67.57179546356201,40.25197744369507
v1-old,T1,static,4,lower_heavy,17,3.0,1.0,,,,,126.0710563659668,176.46993560791014,84.31068801879883,35.250794410705566
v1-old,T1,static,4,upper_heavy,17,1.0,3.0,,,,,58.61232376098633,103.397061920166,37.0790958404541,35.37939643859863
v1-old,T2,roto,7,lower_heavy,4,1.0,0.0,19.341269946800907,21.703157139070903,111.94212862734426,612.3271969948191,,,,
v1-old,T2,roto,7,upper_heavy,4,0.0,1.0,17.834410562352623,21.926195970461457,109.64775767827695,601.7660088569813,,,,
v1-old,T2,roto,6,balanced,16,1.0,1.0,24.430558220480766,27.6863315041845,133.098827466582,616.7492502690401,,,,
v1-old,T2,roto,6,lower_heavy,6,2.0,0.0,30.229818402408,34.83587427920812,131.5855784118571,605.0736002757583,,,,
v1-old,T2,roto,6,upper_heavy,6,0.0,2.0,21.160913626080706,26.393455195182376,124.51958475578508,599.1820685565247,,,,
v1-old,T2,roto,5,lower_heavy,28,2.0,1.0,34.45916540699706,51.69106188057958,160.59254718125337,617.3702142911725,,,,
v1-old,T2,roto,5,upper_heavy,28,1.0,2.0,28.273404581076914,46.54853746472815,147.90834853696083,613.7747639521416,,,,
v1-old,T2,roto,4,balanced,36,2.0,2.0,57.293954455339744,349.02805045630544,200.8194422457772,647.1460203598169,,,,
v1-old,T2,roto,4,lower_heavy,17,3.0,1.0,60.737754363020045,160.3643119118583,200.31363297808247,620.6149833041179,,,,
v1-old,T2,roto,4,upper_heavy,17,1.0,3.0,36.4283305998183,53.94332294462314,175.14703168644456,629.2086158810946,,,,
v1-old,T2,static,7,lower_heavy,4,1.0,0.0,,,,,75.84855079650879,78.62957572937012,49.71661949157715,90.59489059448242
v1-old,T2,static,7,upper_heavy,4,0.0,1.0,,,,,61.519951820373535,74.52370271682739,45.369465827941895,89.91598224639893
v1-old,T2,static,6,balanced,16,1.0,1.0,,,,,79.03528022766113,102.79729652404787,50.950660705566406,80.74184226989746
v1-old,T2,static,6,lower_heavy,6,2.0,0.0,,,,,90.82231140136719,99.35283756256104,67.8415117263794,81.84110641479492
v1-old,T2,static,6,upper_heavy,6,0.0,2.0,,,,,71.60684013366699,80.20488929748535,45.0332555770874,78.63677787780762
v1-old,T2,static,5,lower_heavy,28,2.0,1.0,,,,,106.27340698242188,141.33795585632322,72.23595237731934,63.61654281616211
v1-old,T2,static,5,upper_heavy,28,1.0,2.0,,,,,77.76747703552246,106.8644769668579,50.41331768035889,67.59578323364258
v1-old,T2,static,4,balanced,36,2.0,2.0,,,,,112.78936958312988,164.55785751342773,68.45155334472656,40.24564504623413
v1-old,T2,static,4,lower_heavy,17,3.0,1.0,,,,,129.32857131958008,175.9491180419922,87.8821792602539,35.250794410705566
v1-old,T2,static,4,upper_heavy,17,1.0,3.0,,,,,58.59882545471192,102.93873443603516,37.05706024169922,35.3926887512207
v1-old,T3,roto,7,lower_heavy,4,1.0,0.0,23.558883332354824,26.837688285494018,114.29205827734991,605.0793395428598,,,,
v1-old,T3,roto,7,upper_heavy,4,0.0,1.0,20.756656135764178,24.627302432551115,106.54173271327996,591.9071341233125,,,,
v1-old,T3,roto,6,balanced,16,1.0,1.0,30.28553287224046,35.80819293281699,131.57366673006578,612.5992358554017,,,,
v1-old,T3,roto,6,lower_heavy,6,2.0,0.0,34.17217133153355,43.995678662509434,132.7527474451129,598.3013977496394,,,,
v1-old,T3,roto,6,upper_heavy,6,0.0,2.0,26.24221060502758,31.244019138541127,127.33824636717361,584.0841221422278,,,,
v1-old,T3,roto,5,lower_heavy,28,2.0,1.0,40.903714005035724,75.42656679881041,158.11272393748635,609.50372137091,,,,
v1-old,T3,roto,5,upper_heavy,28,1.0,2.0,30.721567150768486,68.93594864832511,146.72757847882443,606.8236297406493,,,,
v1-old,T3,roto,4,balanced,36,2.0,2.0,50.24352225193741,126.09879567451203,180.84445872848772,612.307897046042,,,,
v1-old,T3,roto,4,lower_heavy,17,3.0,1.0,63.06109155340325,138.72751817276327,189.0500997368643,611.8873084600134,,,,
v1-old,T3,roto,4,upper_heavy,17,1.0,3.0,37.320630581057486,69.89570544960947,162.82464438743835,610.9285605996513,,,,
