version,eval_set,method,n_tags,err_3d_median_mm,err_3d_p95_mm,err_3d_rms_mm,err_horizontal_median_mm,err_vertical_median_mm,range_median_min_mm,range_median_max_mm,range_p95_min_mm,range_p95_max_mm,det,scale,note
v1-old,all8,A_tag_cloud_fit_WRONG_circular,24,150.1658398218225,328.99425815410905,190.91131353537557,52.035602441186825,134.99497359156555,,,,,-1.0000000000000007,1.0,WRONG for accuracy: transform fitted to tag truth; included only to show circular optimism.
v1-old,all8,B_centroid_only_WRONG_underdetermined,24,,,,,,301.61544101537487,1626.0817979251963,607.9613904688139,2263.06816698518,,1.0,"WRONG for accuracy: centroid fixes translation only; rotation/reflection remain free, so error is a range."
v1-old,all8,C_anchor_locked_OFFICIAL,24,167.61947011305477,314.7898277297456,193.3867034356742,54.79208131515115,144.46928725592042,,,,,,1.0,"CORRECT: transform fitted from anchors only, reflection allowed, no scale."
v1-old,noG,A_tag_cloud_fit_WRONG_circular,24,150.1658398218225,328.99425815410905,190.91131353537557,52.035602441186825,134.99497359156555,,,,,-1.0000000000000007,1.0,WRONG for accuracy: transform fitted to tag truth; included only to show circular optimism.
v1-old,noG,B_centroid_only_WRONG_underdetermined,24,,,,,,301.61544101537487,1626.0817979251963,607.9613904688139,2263.06816698518,,1.0,"WRONG for accuracy: centroid fixes translation only; rotation/reflection remain free, so error is a range."
v1-old,noG,C_anchor_locked_OFFICIAL,24,154.4719914176559,330.0981647547857,193.74951077258544,54.11183200532275,140.79877232037643,,,,,,1.0,"CORRECT: transform fitted from anchors only, reflection allowed, no scale."
v2,all8,A_tag_cloud_fit_WRONG_circular,24,78.01637722362307,225.63680873811143,131.6405359847679,46.8702173396252,58.02466666760017,,,,,-1.0000000000000004,1.0,WRONG for accuracy: transform fitted to tag truth; included only to show circular optimism.
v2,all8,B_centroid_only_WRONG_underdetermined,24,,,,,,255.0490945175549,1563.1040163793632,556.4665282402993,2187.952697901455,,1.0,"WRONG for accuracy: centroid fixes translation only; rotation/reflection remain free, so error is a range."
v2,all8,C_anchor_locked_OFFICIAL,24,81.4935030164423,233.1077736825216,133.96674094728743,45.45349815277515,68.19865499121693,,,,,,1.0,"CORRECT: transform fitted from anchors only, reflection allowed, no scale."
v2,noG,A_tag_cloud_fit_WRONG_circular,24,78.01637722362307,225.63680873811143,131.6405359847679,46.8702173396252,58.02466666760017,,,,,-1.0000000000000004,1.0,WRONG for accuracy: transform fitted to tag truth; included only to show circular optimism.
v2,noG,B_centroid_only_WRONG_underdetermined,24,,,,,,255.0490945175549,1563.1040163793632,556.4665282402993,2187.952697901455,,1.0,"WRONG for accuracy: centroid fixes translation only; rotation/reflection remain free, so error is a range."
v2,noG,C_anchor_locked_OFFICIAL,24,80.52362848738147,242.8614195826897,135.87657785492237,47.92644658482385,69.65140336712068,,,,,,1.0,"CORRECT: transform fitted from anchors only, reflection allowed, no scale."
v3-full,all8,A_tag_cloud_fit_WRONG_circular,24,116.76711877528265,267.58968374915935,156.487404339377,45.86552917592733,114.09665333851868,,,,,-1.0000000000000007,1.0,WRONG for accuracy: transform fitted to tag truth; included only to show circular optimism.
v3-full,all8,B_centroid_only_WRONG_underdetermined,24,,,,,,280.86812519711555,1579.7748724839698,615.2949515821695,2238.1273220144426,,1.0,"WRONG for accuracy: centroid fixes translation only; rotation/reflection remain free, so error is a range."
