version,tag_method,eval_set,method,n_tags,err_3d_median_mm,err_3d_p95_mm,err_3d_rms_mm,err_horizontal_median_mm,err_vertical_median_mm,range_median_min_mm,range_median_max_mm,range_p95_min_mm,range_p95_max_mm,det,scale,note
v1-old,T1,all8,A_tag_cloud_fit_WRONG_circular,24,150.11564139537757,331.2339100882538,191.54291395338765,51.37829660439172,134.5263510561226,,,,,-0.9999999999999993,1.0,WRONG: transform fitted to tag truth; included as a circularity diagnostic.
v1-old,T1,all8,B_centroid_only_WRONG_underdetermined,24,,,,,,308.1804306948575,1625.8466414640711,609.3252939701579,2262.6376262756603,,1.0,WRONG: centroid fixes translation only; rotation/reflection remain free.
v1-old,T1,all8,C_anchor_locked_OFFICIAL,24,168.0584506611998,316.4688053772768,194.1330623740474,53.85169063519905,144.98732426490704,,,,,,1.0,"CORRECT: transform fitted from anchors only, reflection allowed, no scale."
v1-old,T1,noG,A_tag_cloud_fit_WRONG_circular,24,146.17231932864007,379.4172355626798,192.8900907638643,50.80913680481777,125.15458319332872,,,,,-0.9999999999999991,1.0,WRONG: transform fitted to tag truth; included as a circularity diagnostic.
v1-old,T1,noG,B_centroid_only_WRONG_underdetermined,24,,,,,,282.44782342328546,1609.6752570291,556.7978529240703,2302.8440554706112,,1.0,WRONG: centroid fixes translation only; rotation/reflection remain free.
v1-old,T1,noG,C_anchor_locked_OFFICIAL,24,159.572282272343,382.5293076989335,201.45009389697165,72.74197344934146,139.3217598187607,,,,,,1.0,"CORRECT: transform fitted from anchors only, reflection allowed, no scale."
v1-old,T2,all8,A_tag_cloud_fit_WRONG_circular,24,149.42710142280112,331.177724730645,191.34479608921686,52.0920507857832,134.58585943746456,,,,,-1.0000000000000002,1.0,WRONG: transform fitted to tag truth; included as a circularity diagnostic.
v1-old,T2,all8,B_centroid_only_WRONG_underdetermined,24,,,,,,308.0011422499476,1626.0584007775612,608.5939658229814,2263.593660000995,,1.0,WRONG: centroid fixes translation only; rotation/reflection remain free.
v1-old,T2,all8,C_anchor_locked_OFFICIAL,24,167.6754767581387,316.3487611324706,194.02312113770623,53.06639973143113,145.9015699978814,,,,,,1.0,"CORRECT: transform fitted from anchors only, reflection allowed, no scale."
v1-old,T2,noG,A_tag_cloud_fit_WRONG_circular,24,146.39294547171795,379.02022590243774,193.03866774392498,50.653336253298946,125.42658092846034,,,,,-1.0000000000000009,1.0,WRONG: transform fitted to tag truth; included as a circularity diagnostic.
v1-old,T2,noG,B_centroid_only_WRONG_underdetermined,24,,,,,,282.047388813144,1610.3002302644081,557.3608177473425,2302.5112574551936,,1.0,WRONG: centroid fixes translation only; rotation/reflection remain free.
v1-old,T2,noG,C_anchor_locked_OFFICIAL,24,159.6191057559388,382.11737097706384,201.58638772291002,72.8087881715897,139.49115656052618,,,,,,1.0,"CORRECT: transform fitted from anchors only, reflection allowed, no scale."
v1-old,T3,all8,A_tag_cloud_fit_WRONG_circular,24,119.70982090253884,314.910492349655,165.80597456913364,52.498100820449636,108.33081658087747,,,,,-1.0000000000000009,1.0,WRONG: transform fitted to tag truth; included as a circularity diagnostic.
v1-old,T3,all8,B_centroid_only_WRONG_underdetermined,24,,,,,,241.10771538397694,1603.5404432775867,596.56455361819,2251.5715785541497,,1.0,WRONG: centroid fixes translation only; rotation/reflection remain free.
v1-old,T3,all8,C_anchor_locked_OFFICIAL,24,119.80987316866293,312.376926294218,168.2664993491273,56.847812725166584,111.86840900542205,,,,,,1.0,"CORRECT: transform fitted from anchors only, reflection allowed, no scale."
v1-old,T3,noG,A_tag_cloud_fit_WRONG_circular,24,139.10446505670058,323.29979972153814,174.21804899271723,50.869759594938714,121.04836307982761,,,,,-1.000000000000001,1.0,WRONG: transform fitted to tag truth; included as a circularity diagnostic.
v1-old,T3,noG,B_centroid_only_WRONG_underdetermined,24,,,,,,228.45524993988218,1590.3539298739443,540.8408495629053,2280.585082240684,,1.0,WRONG: centroid fixes translation only; rotation/reflection remain free.
v1-old,T3,noG,C_anchor_locked_OFFICIAL,24,143.15063985150852,346.0843622763884,187.4096544215955,71.93970527780526,104.42100934245926,,,,,,1.0,"CORRECT: transform fitted from anchors only, reflection allowed, no scale."
v1-old,T4,all8,A_tag_cloud_fit_WRONG_circular,24,134.912265676317,244.11681318369835,158.9040918209383,45.086889621001916,124.46869068553303,,,,,-0.9999999999999998,1.0,WRONG: transform fitted to tag truth; included as a circularity diagnostic.
v1-old,T4,all8,B_centroid_only_WRONG_underdetermined,24,,,,,,260.5920344142987,1620.5791287748011,600.5907289119003,2247.964734352505,,1.0,WRONG: centroid fixes translation only; rotation/reflection remain free.
v1-old,T4,all8,C_anchor_locked_OFFICIAL,24,134.30428189897475,253.5571704119938,160.56169287136774,50.931256378505985,128.35761891726997,,,,,,1.0,"CORRECT: transform fitted from anchors only, reflection allowed, no scale."
v1-old,T4,noG,A_tag_cloud_fit_WRONG_circular,24,139.10446505670058,323.29979972153814,174.21804899271723,50.869759594938714,121.04836307982761,,,,,-1.000000000000001,1.0,WRONG: transform fitted to tag truth; included as a circularity diagnostic.
v1-old,T4,noG,B_centroid_only_WRONG_underdetermined,24,,,,,,228.45524993988218,1590.3539298739443,540.8408495629053,2280.585082240684,,1.0,WRONG: centroid fixes translation only; rotation/reflection remain free.
v1-old,T4,noG,C_anchor_locked_OFFICIAL,24,143.15063985150852,346.0843622763884,187.4096544215955,71.93970527780526,104.42100934245926,,,,,,1.0,"CORRECT: transform fitted from anchors only, reflection allowed, no scale."
