grid_mm,mask,n_grid_points,n_finite,n_nan,vdop_median,vdop_p90,vdop_p95,gdop_median,hdop_median,cond_p95,with_range_bias,device
25.0,all8,2762625,2762625,0,0.8038397431373596,0.9106726050376892,0.9410157799720764,1.1700291633605957,0.8613162636756897,5.560518741607666,False,cuda
25.0,dropAB,2762625,2762625,0,0.9407179951667786,1.376818299293518,1.6223688125610352,1.4278274774551392,1.0453989505767822,11.179160118103027,False,cuda
25.0,dropAC,2762625,2762625,0,0.934379518032074,1.2095959186553955,1.329018235206604,1.4135912656784058,1.0221973657608032,7.2280473709106445,False,cuda
25.0,dropAD,2762625,2762625,0,0.9335405230522156,1.4641475677490234,1.736409306526184,1.4465322494506836,1.0551331043243408,12.773829460144043,False,cuda
25.0,dropAE,2762625,2762625,0,0.935547947883606,1.4002403020858765,1.5477547645568848,1.4892864227294922,1.1021541357040405,12.419358253479004,False,cuda
25.0,dropAF,2762625,2762625,0,0.9338858723640442,1.287928819656372,1.452651023864746,1.4066927433013916,1.0459963083267212,9.019502639770508,False,cuda
25.0,dropAG,2762625,2762625,0,0.9410340785980225,1.3128470182418823,1.4639338254928589,1.430334210395813,1.0656098127365112,10.247706413269043,False,cuda
25.0,dropAH,2762625,2762625,0,0.929429292678833,1.3287209272384644,1.5108932256698608,1.4073013067245483,1.054839849472046,10.850576400756836,False,cuda
25.0,dropBC,2762625,2762625,0,0.9363580942153931,1.4450122117996216,1.7047038078308105,1.438639521598816,1.0470852851867676,12.126440048217773,False,cuda
25.0,dropBD,2762625,2762625,0,0.9365115165710449,1.2254142761230469,1.3509979248046875,1.4271599054336548,1.0309067964553833,7.521169662475586,False,cuda
25.0,dropBE,2762625,2762625,0,0.9299654960632324,1.2530889511108398,1.4005099534988403,1.4065264463424683,1.0439066886901855,8.243029594421387,False,cuda
25.0,dropBF,2762625,2762625,0,0.9379425644874573,1.4011332988739014,1.5511833429336548,1.4895386695861816,1.0995769500732422,12.037083625793457,False,cuda
25.0,dropBG,2762625,2762625,0,0.9248968958854675,1.3008726835250854,1.4670677185058594,1.4005142450332642,1.053265929222107,10.492788314819336,False,cuda
25.0,dropBH,2762625,2762625,0,0.9470314979553223,1.3311614990234375,1.4827841520309448,1.4304476976394653,1.0619523525238037,10.058051109313965,False,cuda
25.0,dropCD,2762625,2762625,0,0.9424185156822205,1.3992365598678589,1.657505750656128,1.4318101406097412,1.0486007928848267,11.544894218444824,False,cuda
25.0,dropCE,2762625,2762625,0,0.9380233883857727,1.2755498886108398,1.4120012521743774,1.4153907299041748,1.0481271743774414,8.990659713745117,False,cuda
25.0,dropCF,2762625,2762625,0,0.9283632636070251,1.2923647165298462,1.4601051807403564,1.4000048637390137,1.0468103885650635,9.985123634338379,False,cuda
25.0,dropCG,2762625,2762625,0,0.933262050151825,1.3901995420455933,1.5373510122299194,1.4793808460235596,1.0946440696716309,11.900964736938477,False,cuda
25.0,dropCH,2762625,2762625,0,0.9346681833267212,1.291906476020813,1.4554728269577026,1.4034713506698608,1.039674997329712,8.880170822143555,False,cuda
25.0,dropDE,2762625,2762625,0,0.9264492392539978,1.3167270421981812,1.4869681596755981,1.4053181409835815,1.0568063259124756,10.929908752441406,False,cuda
25.0,dropDF,2762625,2762625,0,0.946516215801239,1.3377066850662231,1.493349313735962,1.4336012601852417,1.0693641901016235,10.324687004089355,False,cuda
25.0,dropDG,2762625,2762625,0,0.931259274482727,1.2831631898880005,1.4379955530166626,1.4137380123138428,1.053802251815796,8.872187614440918,False,cuda
25.0,dropDH,2762625,2762625,0,0.942055344581604,1.438759684562683,1.5900688171386719,1.5066083669662476,1.1088494062423706,12.896424293518066,False,cuda
25.0,dropEF,2762625,2762625,0,0.9419676065444946,1.3908476829528809,1.6433608531951904,1.4303709268569946,1.0489885807037354,11.470696449279785,False,cuda
25.0,dropEG,2762625,2762625,0,0.9294716119766235,1.2033377885818481,1.3231837749481201,1.4148694276809692,1.0287364721298218,7.227609157562256,False,cuda
25.0,dropEH,2762625,2762625,0,0.9368910193443298,1.4574223756790161,1.7205262184143066,1.4420745372772217,1.0493063926696777,12.421865463256836,False,cuda
25.0,dropFG,2762625,2762625,0,0.933771550655365,1.4392414093017578,1.6940876245498657,1.4379452466964722,1.0493062734603882,12.071988105773926,False,cuda
25.0,dropFH,2762625,2762625,0,0.9423975348472595,1.234024167060852,1.3588050603866577,1.4238847494125366,1.0242559909820557,7.468100070953369,False,cuda
25.0,dropGH,2762625,2762625,0,0.9422516226768494,1.4055756330490112,1.6634293794631958,1.4313995838165283,1.0477124452590942,11.65172004699707,False,cuda
