eval_set,outcome,n,slope_mm_per_m,intercept_mm,r2,p_value,slope_ci95_low_mm_per_m,slope_ci95_high_mm_per_m,verdict
all8,err_3d_mm,24,166.48683523169942,-2.820801149986252,0.28315801954655284,0.00743859204818303,49.36226466336869,283.6114058000301,positive significant
all8,radial_component_mm,24,229.85966248244054,-84.99432819071367,0.47722862216346484,0.00018611441511756787,123.48792445825734,336.23140050662374,positive significant
noG,err_3d_mm,24,158.03074721617602,7.360699071074251,0.2626182332719764,0.010455510035180556,40.947115624434076,275.114378807918,positive significant
noG,radial_component_mm,24,245.59685754671966,-98.21061280908911,0.5147784209712114,7.935700287362252e-05,140.16945090452407,351.02426418891525,positive significant
