layout,tag_method,kind,keep_k,keep_set,dropped_set,dropped_lower_count,dropped_upper_count,drop_category,drops_G,drops_H,drops_FGH_count,roto_tracks_ok,solved_total,turn_center_rms_3d_mm_median,turn_center_p95_3d_mm_median,circle_thickness_rms_mm_median,radius_mm_median,turn_count_median
v1-old,T1,roto,7,ABCDEFG,H,0,1,upper_heavy,0,1,1,34,40811,16.462201244224275,25.98898525790223,109.95355094499851,598.6083343605137,23.0
v1-old,T1,roto,7,ABCDEFH,G,0,1,upper_heavy,1,0,1,34,40811,18.21692772514652,31.06093395562845,109.3161572489671,605.6526608831773,23.0
v1-old,T1,roto,7,ABCDEGH,F,0,1,upper_heavy,0,0,1,34,40811,17.692402068781952,30.340031068887754,102.7070914824692,590.5283352259625,23.0
v1-old,T1,roto,7,ABCDFGH,E,0,1,upper_heavy,0,0,0,34,40811,22.015122202833915,35.687869861537756,111.3690261569187,611.4076963059985,23.0
v1-old,T1,roto,7,ABCEFGH,D,1,0,lower_heavy,0,0,0,34,40811,18.821141303583683,31.731271178371028,102.49491653665356,575.2496302544366,23.0
v1-old,T1,roto,7,ABDEFGH,C,1,0,lower_heavy,0,0,0,34,40811,21.862853311878247,33.604323598358725,119.35346069195398,625.1767290540738,23.0
v1-old,T1,roto,7,ACDEFGH,B,1,0,lower_heavy,0,0,0,34,40811,19.2363416485478,29.658656808744148,107.24544438793967,604.7771239560306,23.0
v1-old,T1,roto,7,BCDEFGH,A,1,0,lower_heavy,0,0,0,34,40811,19.139148159294933,31.002491658885425,116.64886090002881,619.7450742269973,23.0
v1-old,T1,roto,6,ABCDEF,GH,0,2,upper_heavy,1,1,2,34,40811,19.8580955845282,36.24557543951988,127.9528204906604,593.1603983510839,23.0
v1-old,T1,roto,6,ABCDEG,FH,0,2,upper_heavy,0,1,2,34,40811,20.494232401386377,35.37885462618656,120.65492376280704,621.9530922185764,23.0
v1-old,T1,roto,6,ABCDEH,FG,0,2,upper_heavy,1,0,2,34,40811,21.502599588331485,35.4993729845856,117.69816047887969,574.8546675300909,23.0
v1-old,T1,roto,6,ABCDFG,EH,0,2,upper_heavy,0,1,1,34,40810,24.931005874640253,43.10168373145871,129.61010212816012,606.312847223883,23.0
v1-old,T1,roto,6,ABCDFH,EG,0,2,upper_heavy,1,0,1,34,40810,26.62634915329054,40.28009739504097,136.3440444436161,621.8122591054613,23.0
v1-old,T1,roto,6,ABCDGH,EF,0,2,upper_heavy,0,0,1,34,40811,19.12188656082578,31.46196011289014,110.91100301260477,566.9050415210347,23.0
v1-old,T1,roto,6,ABCEFG,DH,1,1,balanced,0,1,1,34,40810,19.521587496077466,32.16949080391464,112.26024840817615,558.5625402782412,23.0
v1-old,T1,roto,6,ABCEFH,DG,1,1,balanced,1,0,1,34,40810,24.09048655295522,39.641927569829306,124.46882028856002,590.4701894306429,23.0
v1-old,T1,roto,6,ABCEGH,DF,1,1,balanced,0,0,1,34,40811,21.582833333359197,36.51439986210103,130.07968139775295,636.6006104585756,23.0
v1-old,T1,roto,6,ABCFGH,DE,1,1,balanced,0,0,0,34,40809,26.859926118211437,45.65699701598966,122.44040659366937,582.9440279136321,23.0
v1-old,T1,roto,6,ABDEFG,CH,1,1,balanced,0,1,1,34,40811,26.16236463030851,40.61881194524329,134.03082652310195,634.1402265448835,23.0
v1-old,T1,roto,6,ABDEFH,CG,1,1,balanced,1,0,1,34,40811,23.700743656585,43.24853832269656,137.9800517972872,610.7188411164625,23.0
v1-old,T1,roto,6,ABDEGH,CF,1,1,balanced,0,0,1,34,40811,24.272286839737394,37.605146888417536,133.1673004490046,624.5577865767016,23.0
v1-old,T1,roto,6,ABDFGH,CE,1,1,balanced,0,0,0,34,40811,25.032484518226102,41.14383773634562,141.18104704142493,655.3709137347071,23.0
v1-old,T1,roto,6,ABEFGH,CD,2,0,lower_heavy,0,0,0,34,40811,31.55254226321825,56.522568155834236,126.50154748557466,546.4428684254547,23.0
v1-old,T1,roto,6,ACDEFG,BH,1,1,balanced,0,1,1,34,40810,26.251940711399705,49.73479028472772,143.09017493654306,660.3192348097003,23.0
v1-old,T1,roto,6,ACDEFH,BG,1,1,balanced,1,0,1,34,40810,25.43559698680299,43.916115596083856,150.81021772520353,625.3968195682094,23.0
v1-old,T1,roto,6,ACDEGH,BF,1,1,balanced,0,0,1,34,40811,17.709522797335765,29.34232951299366,115.31398790984574,567.0742386176585,23.0
v1-old,T1,roto,6,ACDFGH,BE,1,1,balanced,0,0,0,34,40809,29.13224411819963,47.87234442154255,138.03274037032236,610.8215377518217,23.0
v1-old,T1,roto,6,ACEFGH,BD,2,0,lower_heavy,0,0,0,34,40809,28.81355212990689,48.85663175817844,128.2701933968508,594.5046317961089,23.0
v1-old,T1,roto,6,ADEFGH,BC,2,0,lower_heavy,0,0,0,34,40811,35.058714321311236,60.57068440027005,153.9768161177367,619.7739626555208,23.0
v1-old,T1,roto,6,BCDEFG,AH,1,1,balanced,0,1,1,34,40810,23.063746604044354,36.79821931577516,126.61251472770479,612.0476914654242,23.0
