pair,pred_mm,fused_mm,err_mm,abs_err_mm
A-B,4600.078122343437,4600.1305,-0.052377656563294295,0.052377656563294295
A-C,9969.729805222662,9970.978,-1.2481947773376305,1.2481947773376305
A-D,9639.27537083984,9639.3615,-0.08612916016136296,0.08612916016136296
A-E,1392.1501268154375,1392.2725,-0.12237318456254798,0.12237318456254798
A-F,5157.902668966936,5158.506,-0.6033310330640234,0.6033310330640234
A-G,9740.98706316352,9739.4315,1.5555631635197642,1.5555631635197642
A-H,9823.703620178574,9823.2205,0.48312017857460887,0.48312017857460887
B-C,6951.158463884013,6951.055,0.10346388401285367,0.10346388401285367
B-D,5314.436110189298,5314.71,-0.27388981070180307,0.27388981070180307
B-E,4645.441773375894,4646.086,-0.6442266241065226,0.6442266241065226
B-F,1515.4487588620846,1515.073,0.3757588620844672,0.3757588620844672
B-G,6654.289595545187,6654.7545,-0.4649044548132224,0.4649044548132224
B-H,5527.6265991949,5528.005,-0.3784008050997727,0.3784008050997727
C-D,8691.070305854031,8690.695,0.3753058540314669,0.3753058540314669
C-E,9813.426641911534,9812.465,0.9616419115336612,0.9616419115336612
C-F,6794.244324908063,6793.8985,0.34582490806315036,0.34582490806315036
C-G,1546.209685516603,1546.347,-0.13731448339694907,0.13731448339694907
C-H,8723.642567533501,8724.191,-0.5484324664994347,0.5484324664994347
D-E,9650.47135050457,9649.531,0.9403505045684142,0.9403505045684142
D-F,5348.697216119388,5349.4215,-0.7242838806123473,0.7242838806123473
D-G,8366.751505160093,8366.888,-0.1364948399077548,0.1364948399077548
D-H,1305.9535891986466,1305.8535,0.10008919864662857,0.10008919864662857
E-F,4778.047924449504,4778.903,-0.8550755504966219,0.8550755504966219
E-G,9381.05687261382,9381.589,-0.5321273861791269,0.5321273861791269
E-H,9648.843815303859,9648.5925,0.251315303858064,0.251315303858064
F-G,6168.397776235581,6169.3875,-0.9897237644190682,0.9897237644190682
F-H,5196.178376016842,5196.6875,-0.5091239831581333,0.5091239831581333
G-H,8176.567905596359,8175.7845,0.7834055963594437,0.7834055963594437
