rank,bits_elbow_wrist_ankle,cost,margin_from_best,mapping_json
1,000,-95.80448916240378,0.0,"{""BSF1120"":""Elbow_R"",""BSF31CC"":""Central"",""BSF3C79"":""Knee_R"",""BSF44AD"":""Knee_L"",""BSF6C53"":""Ankle_L"",""BSF8BC4"":""Ankle_R"",""BSFAA61"":""Elbow_L"",""BSFB165"":""Wrist_L"",""BSFC2CC"":""Pelvis"",""BSFEC35"":""Wrist_R""}"
2,100,-62.59175793295128,33.2127312294525,"{""BSF1120"":""Elbow_L"",""BSF31CC"":""Central"",""BSF3C79"":""Knee_R"",""BSF44AD"":""Knee_L"",""BSF6C53"":""Ankle_L"",""BSF8BC4"":""Ankle_R"",""BSFAA61"":""Elbow_R"",""BSFB165"":""Wrist_L"",""BSFC2CC"":""Pelvis"",""BSFEC35"":""Wrist_R""}"
3,001,51.03247000418764,146.8369591665914,"{""BSF1120"":""Elbow_R"",""BSF31CC"":""Central"",""BSF3C79"":""Knee_R"",""BSF44AD"":""Knee_L"",""BSF6C53"":""Ankle_R"",""BSF8BC4"":""Ankle_L"",""BSFAA61"":""Elbow_L"",""BSFB165"":""Wrist_L"",""BSFC2CC"":""Pelvis"",""BSFEC35"":""Wrist_R""}"
4,101,84.24520123364012,180.0496903960439,"{""BSF1120"":""Elbow_L"",""BSF31CC"":""Central"",""BSF3C79"":""Knee_R"",""BSF44AD"":""Knee_L"",""BSF6C53"":""Ankle_R"",""BSF8BC4"":""Ankle_L"",""BSFAA61"":""Elbow_R"",""BSFB165"":""Wrist_L"",""BSFC2CC"":""Pelvis"",""BSFEC35"":""Wrist_R""}"
5,010,150.0881404386199,245.89262960102366,"{""BSF1120"":""Elbow_R"",""BSF31CC"":""Central"",""BSF3C79"":""Knee_R"",""BSF44AD"":""Knee_L"",""BSF6C53"":""Ankle_L"",""BSF8BC4"":""Ankle_R"",""BSFAA61"":""Elbow_L"",""BSFB165"":""Wrist_R"",""BSFC2CC"":""Pelvis"",""BSFEC35"":""Wrist_L""}"
6,110,183.3008716680724,279.1053608304762,"{""BSF1120"":""Elbow_L"",""BSF31CC"":""Central"",""BSF3C79"":""Knee_R"",""BSF44AD"":""Knee_L"",""BSF6C53"":""Ankle_L"",""BSF8BC4"":""Ankle_R"",""BSFAA61"":""Elbow_R"",""BSFB165"":""Wrist_R"",""BSFC2CC"":""Pelvis"",""BSFEC35"":""Wrist_L""}"
7,011,296.9250996052113,392.7295887676151,"{""BSF1120"":""Elbow_R"",""BSF31CC"":""Central"",""BSF3C79"":""Knee_R"",""BSF44AD"":""Knee_L"",""BSF6C53"":""Ankle_R"",""BSF8BC4"":""Ankle_L"",""BSFAA61"":""Elbow_L"",""BSFB165"":""Wrist_R"",""BSFC2CC"":""Pelvis"",""BSFEC35"":""Wrist_L""}"
8,111,330.1378308346638,425.9423199970676,"{""BSF1120"":""Elbow_L"",""BSF31CC"":""Central"",""BSF3C79"":""Knee_R"",""BSF44AD"":""Knee_L"",""BSF6C53"":""Ankle_R"",""BSF8BC4"":""Ankle_L"",""BSFAA61"":""Elbow_R"",""BSFB165"":""Wrist_R"",""BSFC2CC"":""Pelvis"",""BSFEC35"":""Wrist_L""}"
