parent,child,status,clinical_validity
Central,Elbow_L,MVP_APPROX_NO_SHOULDER,False
Central,Elbow_R,MVP_APPROX_NO_SHOULDER,False
Elbow_L,Wrist_L,OBSERVABLE_RELATIVE,False
Elbow_R,Wrist_R,OBSERVABLE_RELATIVE,False
Pelvis,Knee_L,OBSERVABLE_RELATIVE,False
Pelvis,Knee_R,OBSERVABLE_RELATIVE,False
Knee_L,Ankle_L,OBSERVABLE_RELATIVE,False
Knee_R,Ankle_R,OBSERVABLE_RELATIVE,False
