phase,node,samples,speed_median_mps,speed_p95_mps,external_accuracy
walk,BSF3C79,581,0.32002677212026054,1.202970257433695,False
walk,BSFC2CC,581,0.36463347776074295,0.9290278419531928,False
walk,BSF44AD,581,0.3825467417516642,1.347106693606928,False
walk,BSF6C53,581,0.18994898956958178,1.8176129340647278,False
walk,BSF8BC4,581,0.34501016419248537,2.347549517237598,False
walk,BSF1120,582,0.48744365113913324,1.4494412910843089,False
walk,BSF31CC,582,0.4987806022363064,1.1796624007189744,False
walk,BSFAA61,582,0.3202812868511694,1.5930380410997491,False
walk,BSFB165,582,0.33059860633114235,1.7477337415120873,False
walk,BSFEC35,582,0.5032226431122098,1.5762964347656834,False
final_still,BSF3C79,160,0.10658261567835403,0.21617692936960312,False
final_still,BSFC2CC,160,0.04554608101499593,0.07875995362272428,False
final_still,BSF44AD,160,0.08992947698302903,0.3023789192933837,False
final_still,BSF6C53,160,0.040649631441678324,0.06852854239473893,False
final_still,BSF8BC4,160,0.059621542767345805,0.1286988640663205,False
final_still,BSF1120,160,0.0751078470507513,0.10062953933554823,False
final_still,BSF31CC,160,0.07084887585742194,0.11834382740463574,False
final_still,BSFAA61,160,0.029895961841639878,0.06824463995413928,False
final_still,BSFB165,160,0.08972428138442845,0.1900902713285248,False
final_still,BSFEC35,161,0.055133155931569255,0.1053990217436403,False
