chunk_id,stage,seed_id,row_spec,R,L,I,T,status,max_tracks,max_frames
agreement_0000,agreement,S00,R2:L2:I3:T6,R2,L2,I3,T6,done,2,200
partial_raw_0000,partial_raw,S00,R2:L2:I0:T6,R2,L2,I0,T6,done,2,200
partial_raw_0000,partial_raw,S00,R2:L2:I0:T8,R2,L2,I0,T8,done,2,200
partial_raw_0000,partial_raw,S00,R2:L2:I1:T6,R2,L2,I1,T6,done,2,200
partial_raw_0000,partial_raw,S00,R2:L2:I1:T8,R2,L2,I1,T8,done,2,200
partial_raw_0000,partial_raw,S00,R2:L2:I3:T6,R2,L2,I3,T6,done,2,200
partial_raw_0000,partial_raw,S00,R2:L2:I3:T8,R2,L2,I3,T8,done,2,200
partial_raw_0000,partial_raw,S00,R2:L2:I4:T6,R2,L2,I4,T6,done,2,200
partial_raw_0000,partial_raw,S00,R2:L2:I4:T8,R2,L2,I4,T8,done,2,200
partial_raw_0000,partial_raw,S00,R2:L2:I7:T6,R2,L2,I7,T6,done,2,200
partial_raw_0000,partial_raw,S00,R2:L2:I7:T8,R2,L2,I7,T8,done,2,200
partial_raw_0000,partial_raw,S00,R2:L2:I8:T6,R2,L2,I8,T6,done,2,200
partial_raw_0000,partial_raw,S00,R2:L2:I8:T8,R2,L2,I8,T8,done,2,200
partial_raw_0000,partial_raw,S00,R2:L2:I1+I3+I7:T6,R2,L2,I1+I3+I7,T6,done,2,200
partial_raw_0000,partial_raw,S00,R2:L2:I1+I3+I7:T8,R2,L2,I1+I3+I7,T8,done,2,200
partial_raw_0000,partial_raw,S00,R2:L2:I1+I2+I3+I8:T6,R2,L2,I1+I2+I3+I8,T6,done,2,200
partial_raw_0000,partial_raw,S00,R2:L2:I1+I2+I3+I8:T8,R2,L2,I1+I2+I3+I8,T8,done,2,200
partial_raw_0001,partial_raw,S00,R2:L3:I0:T6,R2,L3,I0,T6,done,2,200
partial_raw_0001,partial_raw,S00,R2:L3:I0:T8,R2,L3,I0,T8,done,2,200
