capture_id,tag,frames,finite_frames,xyz_diff_rmse_mm,xyz_diff_p95_mm,xyz_diff_max_mm,cpu_accept_rate,gpu_accept_rate,row_spec,seed_id,R,L,I,T,prior_sigma_mm,range_sigma_scale,robust,chunk_id,gpu_device,child_run_id
R01,BS2DCE,200,200,0.0004513767823792,0.0007740355081978,0.0010377059291951,1.0,1.0,R2:L2:I3:T6,S00,R2,L2,I3,T6,100.88,1.0,False,agreement_0000,cuda:0,smoke_shm_cache_concurrent_20260606T210437Z_agreement_0000_cuda0
R01,BSDC91,200,200,0.0004661901849684,0.000883460688895,0.0010396368914874,1.0,1.0,R2:L2:I3:T6,S00,R2,L2,I3,T6,100.88,1.0,False,agreement_0000,cuda:0,smoke_shm_cache_concurrent_20260606T210437Z_agreement_0000_cuda0
