capture_id,tag,frames,finite_frames,xyz_diff_rmse_mm,xyz_diff_p95_mm,xyz_diff_max_mm,cpu_accept_rate,gpu_accept_rate,row_spec,seed_id,R,L,I,T,prior_sigma_mm,range_sigma_scale,robust
R01,BS2DCE,1201,1201,0.0005528420528865788,0.0009727634553848338,0.001608651275415522,1.0,1.0,R2:L10:I1+I3+I7:T6,,R2,L10,I1+I3+I7,T6,85.58550000000001,1.0,False
R01,BSDC91,1200,1200,0.0004059974938984224,0.0007227529610556384,0.0012438567403665092,1.0,1.0,R2:L10:I1+I3+I7:T6,,R2,L10,I1+I3+I7,T6,85.58550000000001,1.0,False
R02,BS2DCE,1201,1201,0.00041359199890622753,0.0007282320482984867,0.0012599380578254195,1.0,1.0,R2:L10:I1+I3+I7:T6,,R2,L10,I1+I3+I7,T6,85.58550000000001,1.0,False
R02,BSDC91,1200,1200,0.000523229568407213,0.0009444981874535502,0.001852773100286949,1.0,1.0,R2:L10:I1+I3+I7:T6,,R2,L10,I1+I3+I7,T6,85.58550000000001,1.0,False
R03,BS2DCE,1200,1200,0.0003660126501656595,0.0006332340008447634,0.0014411208592847856,1.0,1.0,R2:L10:I1+I3+I7:T6,,R2,L10,I1+I3+I7,T6,85.58550000000001,1.0,False
R03,BSDC91,1200,1200,0.00047961061085780287,0.0009081180416697414,0.0014351658337670783,1.0,1.0,R2:L10:I1+I3+I7:T6,,R2,L10,I1+I3+I7,T6,85.58550000000001,1.0,False
R04,BS2DCE,1200,1200,0.000417059443163174,0.0006712529767140298,0.001145737437416915,1.0,1.0,R2:L10:I1+I3+I7:T6,,R2,L10,I1+I3+I7,T6,85.58550000000001,1.0,False
R04,BSDC91,1200,1200,0.0005016233478366938,0.0009579540489030628,0.0017308863126527384,1.0,1.0,R2:L10:I1+I3+I7:T6,,R2,L10,I1+I3+I7,T6,85.58550000000001,1.0,False
R05,BS2DCE,1200,1200,0.00034421670031033083,0.0005846046190891678,0.0008119458641200355,1.0,1.0,R2:L10:I1+I3+I7:T6,,R2,L10,I1+I3+I7,T6,85.58550000000001,1.0,False
R05,BSDC91,1201,1201,0.0004234914558894735,0.0007226610932748146,0.001079794920070198,1.0,1.0,R2:L10:I1+I3+I7:T6,,R2,L10,I1+I3+I7,T6,85.58550000000001,1.0,False
R06,BS2DCE,1200,1200,0.0004929109240143474,0.0008740059334261838,0.0013615097682163724,1.0,1.0,R2:L10:I1+I3+I7:T6,,R2,L10,I1+I3+I7,T6,85.58550000000001,1.0,False
R06,BSDC91,1201,1201,0.0004503841000745446,0.000850255539205028,0.0013375475124320518,1.0,1.0,R2:L10:I1+I3+I7:T6,,R2,L10,I1+I3+I7,T6,85.58550000000001,1.0,False
R07,BS2DCE,1200,1200,0.0005606578315011279,0.0009723406237998151,0.0016977744109771624,1.0,1.0,R2:L10:I1+I3+I7:T6,,R2,L10,I1+I3+I7,T6,85.58550000000001,1.0,False
R07,BSDC91,1201,1201,0.0005581097280242337,0.0010428592108452962,0.001542861686890003,1.0,1.0,R2:L10:I1+I3+I7:T6,,R2,L10,I1+I3+I7,T6,85.58550000000001,1.0,False
R08,BS2DCE,1201,1201,0.0002997356741513653,0.00044649081528435307,0.0007216980259329198,1.0,1.0,R2:L10:I1+I3+I7:T6,,R2,L10,I1+I3+I7,T6,85.58550000000001,1.0,False
R08,BSDC91,1200,1200,0.000416173272005283,0.0007787299823063069,0.001290954017267813,1.0,1.0,R2:L10:I1+I3+I7:T6,,R2,L10,I1+I3+I7,T6,85.58550000000001,1.0,False
R09,BS2DCE,1200,1200,0.0003330548931799772,0.0005867365524324478,0.000998787656954483,1.0,1.0,R2:L10:I1+I3+I7:T6,,R2,L10,I1+I3+I7,T6,85.58550000000001,1.0,False
R09,BSDC91,1200,1200,0.00043281469803884917,0.000710248970979562,0.0009926182787592182,1.0,1.0,R2:L10:I1+I3+I7:T6,,R2,L10,I1+I3+I7,T6,85.58550000000001,1.0,False
R10,BS2DCE,1200,1200,0.00042137383289120604,0.0007802575250113595,0.0012782655830129166,1.0,1.0,R2:L10:I1+I3+I7:T6,,R2,L10,I1+I3+I7,T6,85.58550000000001,1.0,False
R10,BSDC91,1200,1200,0.0003954019893535198,0.000728551566816786,0.0012880020044310399,1.0,1.0,R2:L10:I1+I3+I7:T6,,R2,L10,I1+I3+I7,T6,85.58550000000001,1.0,False
R11,BS2DCE,1201,1201,0.0007431017184183139,0.0015884769396794468,0.0035492912456590218,1.0,1.0,R2:L10:I1+I3+I7:T6,,R2,L10,I1+I3+I7,T6,85.58550000000001,1.0,False
R11,BSDC91,1200,1200,0.00035951596129123057,0.0005781505701713723,0.0009388672418026178,1.0,1.0,R2:L10:I1+I3+I7:T6,,R2,L10,I1+I3+I7,T6,85.58550000000001,1.0,False
R12,BS2DCE,1200,1200,0.00033982049040152983,0.0006087392505314576,0.0011032680802224258,1.0,1.0,R2:L10:I1+I3+I7:T6,,R2,L10,I1+I3+I7,T6,85.58550000000001,1.0,False
R12,BSDC91,1200,1200,0.0003354588226793684,0.0006016671036191702,0.0009950883523169758,1.0,1.0,R2:L10:I1+I3+I7:T6,,R2,L10,I1+I3+I7,T6,85.58550000000001,1.0,False
R13,BS2DCE,1201,1201,18.092902809422274,0.0021286595969442963,529.6916845673966,1.0,1.0,R2:L10:I1+I3+I7:T6,,R2,L10,I1+I3+I7,T6,85.58550000000001,1.0,False
R13,BSDC91,1200,1200,0.0005015024894004914,0.0010103987151793478,0.0019909265883909606,1.0,1.0,R2:L10:I1+I3+I7:T6,,R2,L10,I1+I3+I7,T6,85.58550000000001,1.0,False
R14,BS2DCE,1201,1201,0.0002948933276900178,0.0004906243298550378,0.0009172696398783342,1.0,1.0,R2:L10:I1+I3+I7:T6,,R2,L10,I1+I3+I7,T6,85.58550000000001,1.0,False
R14,BSDC91,1200,1200,0.00038984372259503737,0.0007487490659533385,0.0012145622351097626,1.0,1.0,R2:L10:I1+I3+I7:T6,,R2,L10,I1+I3+I7,T6,85.58550000000001,1.0,False
R15,BS2DCE,1200,1200,0.0004007039162993544,0.0006670540809235812,0.0013510643255641292,1.0,1.0,R2:L10:I1+I3+I7:T6,,R2,L10,I1+I3+I7,T6,85.58550000000001,1.0,False
R15,BSDC91,1200,1200,0.0004023821266467283,0.0007035305550909983,0.0011730662660139125,1.0,1.0,R2:L10:I1+I3+I7:T6,,R2,L10,I1+I3+I7,T6,85.58550000000001,1.0,False
R16,BS2DCE,1201,1201,0.0003096373637632608,0.0005185795236876335,0.0008286651895545551,1.0,1.0,R2:L10:I1+I3+I7:T6,,R2,L10,I1+I3+I7,T6,85.58550000000001,1.0,False
R16,BSDC91,1200,1200,0.00042115188309287127,0.0008533037786107167,0.0015272547355674175,1.0,1.0,R2:L10:I1+I3+I7:T6,,R2,L10,I1+I3+I7,T6,85.58550000000001,1.0,False
R17,BS2DCE,1201,1201,0.0003479271309942958,0.0005868244678893748,0.0009833190173183708,1.0,1.0,R2:L10:I1+I3+I7:T6,,R2,L10,I1+I3+I7,T6,85.58550000000001,1.0,False
R17,BSDC91,1200,1200,0.0003133419932524276,0.0005001932390518695,0.0007819019369755169,1.0,1.0,R2:L10:I1+I3+I7:T6,,R2,L10,I1+I3+I7,T6,85.58550000000001,1.0,False
R01,BS2DCE,1201,1201,0.0005675839354686739,0.0010301031467706966,0.0015644164391507946,1.0,1.0,R2:L10:I1+I3+I7:T8,,R2,L10,I1+I3+I7,T8,125.08650000000002,1.0,True
