host_elapsed_s,sweep,conn_id,peer_name,tag_id,plan,pmode,anchor_label,status,reason,raw_mm,filt_mm,pred_mm,resid_mm,tracker_quality_percent,solve_quality_percent
0.060244,62896,,BSDC91,,cal_roto,5,A,ok,ok,2415,2415,0,0,100,100
0.060296,62896,,BSDC91,,cal_roto,5,B,ok,ok,2452,2452,0,0,100,100
0.061929,62896,,BSDC91,,cal_roto,5,C,timeout,rx_timeout,0,3022,0,0,66,66
0.109024,62896,,BSDC91,,cal_roto,5,D,ok,ok,3202,3202,0,0,100,100
0.111618,62896,,BSDC91,,cal_roto,5,E,ok,ok,2688,2688,0,0,100,100
0.111663,62896,,BSDC91,,cal_roto,5,F,ok,ok,2435,2435,0,0,100,100
0.11717,62896,,BSDC91,,cal_roto,5,G,ok,ok,3210,3210,0,0,100,100
0.117275,62896,,BSDC91,,cal_roto,5,H,ok,ok,3456,3456,0,0,100,100
0.416282,62897,,BSDC91,,cal_roto,5,A,ok,ok,2434,2434,0,0,100,100
0.418053,62897,,BSDC91,,cal_roto,5,B,ok,ok,2663,2663,0,0,100,100
0.420227,62897,,BSDC91,,cal_roto,5,C,ok,ok,3093,3093,0,0,75,75
0.420362,62897,,BSDC91,,cal_roto,5,D,ok,ok,2821,2821,0,0,100,100
0.422113,62897,,BSDC91,,cal_roto,5,E,ok,ok,2487,2487,0,0,100,100
0.446695,62897,,BSDC91,,cal_roto,5,F,timeout,rx_timeout,0,2435,0,0,75,75
0.448713,62897,,BSDC91,,cal_roto,5,G,ok,ok,3259,3259,0,0,100,100
0.903496,62898,,BSDC91,,cal_roto,5,A,ok,ok,2702,2702,0,0,100,100
0.904904,62898,,BSDC91,,cal_roto,5,B,ok,ok,2764,2764,0,0,100,100
0.907524,62898,,BSDC91,,cal_roto,5,C,ok,ok,2942,2942,0,0,80,80
0.907599,62898,,BSDC91,,cal_roto,5,D,ok,ok,2680,2680,0,0,100,100
0.90911,62898,,BSDC91,,cal_roto,5,E,ok,ok,2637,2637,0,0,100,100
0.934274,62898,,BSDC91,,cal_roto,5,F,ok,ok,2750,2750,0,0,80,80
0.935691,62898,,BSDC91,,cal_roto,5,G,ok,ok,3023,3023,0,0,100,100
1.120042,62899,,BSDC91,,cal_roto,5,A,ok,ok,2838,2838,0,0,100,100
1.120094,62899,,BSDC91,,cal_roto,5,B,reject,raw_outlier,3584,2764,0,0,83,83
1.137357,62899,,BSDC91,,cal_roto,5,C,ok,ok,2887,2887,0,0,83,83
1.138522,62899,,BSDC91,,cal_roto,5,D,timeout,rx_timeout,0,2680,0,0,83,83
1.13998,62899,,BSDC91,,cal_roto,5,E,ok,ok,2909,2909,0,0,100,100
1.141754,62899,,BSDC91,,cal_roto,5,F,reject,raw_outlier,3499,2750,0,0,66,66
1.166026,62899,,BSDC91,,cal_roto,5,G,ok,ok,2629,2629,0,0,100,100
1.167868,62899,,BSDC91,,cal_roto,5,H,ok,ok,3514,3514,0,0,66,66
