row_spec,seed_id,stage,wall_time_s,gpu_warmup,repeat_count,wall_time_min_s,wall_time_max_s
R2:L19:I1:T6,S04,simulate_imu_prior,0.625806674011983,,,,
R2:L19:I1:T6,S04,cpu_golden,27.54094875699957,,,,
R2:L19:I1:T6,S04,torch_gpu,2.4875965479877777,0,1,2.4875965479877777,2.4875965479877777
R2:L19:I1:T8,S04,simulate_imu_prior,1.151661013980629,,,,
R2:L19:I1:T8,S04,cpu_golden,31.310606983985053,,,,
R2:L19:I1:T8,S04,torch_gpu,4.135375993006164,0,1,4.135375993006164,4.135375993006164
