row_spec,seed_id,stage,wall_time_s,gpu_warmup,repeat_count,wall_time_min_s,wall_time_max_s,chunk_id,gpu_device,child_run_id
R2:L0:I3:T6,S01,simulate_imu_prior,0.1416707680036779,,,,,partial_raw_0002,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0002_cuda1
R2:L0:I3:T6,S01,cpu_golden,25.610874901991338,,,,,partial_raw_0002,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0002_cuda1
R2:L0:I3:T6,S01,torch_gpu,2.651771522010677,0.0,1.0,2.651771522010677,2.651771522010677,partial_raw_0002,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0002_cuda1
R2:L0:I3:T8,S01,simulate_imu_prior,0.0989390030154027,,,,,partial_raw_0002,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0002_cuda1
R2:L0:I3:T8,S01,cpu_golden,26.258083549008006,,,,,partial_raw_0002,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0002_cuda1
R2:L0:I3:T8,S01,torch_gpu,2.5545726340205874,0.0,1.0,2.5545726340205874,2.5545726340205874,partial_raw_0002,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0002_cuda1
R2:L0:I4:T6,S01,simulate_imu_prior,0.1041212069976609,,,,,partial_raw_0003,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0003_cuda1
R2:L0:I4:T6,S01,cpu_golden,20.16987249199883,,,,,partial_raw_0003,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0003_cuda1
R2:L0:I4:T6,S01,torch_gpu,2.1106579460029025,0.0,1.0,2.1106579460029025,2.1106579460029025,partial_raw_0003,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0003_cuda1
R2:L0:I4:T8,S01,simulate_imu_prior,0.099995044991374,,,,,partial_raw_0003,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0003_cuda1
