sample_utc,gpu_index,gpu_util_pct,mem_used_mb,mem_total_mb,temperature_c,power_w
2026-06-05T12:29:46.601623+00:00,0,0.0,150.0,11264.0,40.0,10.5
2026-06-05T12:29:46.601643+00:00,1,0.0,10.0,11264.0,41.0,8.77
2026-06-05T12:30:01.628891+00:00,0,0.0,150.0,11264.0,42.0,13.65
2026-06-05T12:30:01.628911+00:00,1,0.0,10.0,11264.0,39.0,8.68
2026-06-05T12:30:16.660269+00:00,0,0.0,150.0,11264.0,39.0,10.01
2026-06-05T12:30:16.660290+00:00,1,0.0,10.0,11264.0,38.0,8.48
2026-06-05T12:30:31.692749+00:00,0,0.0,328.0,11264.0,38.0,58.0
2026-06-05T12:30:31.692774+00:00,1,22.0,682.0,11264.0,42.0,59.05
2026-06-05T12:30:46.725177+00:00,0,18.0,1046.0,11264.0,47.0,82.67
2026-06-05T12:30:46.725198+00:00,1,0.0,906.0,11264.0,44.0,57.14
2026-06-05T12:31:01.758148+00:00,0,0.0,1046.0,11264.0,47.0,59.99
2026-06-05T12:31:01.758169+00:00,1,0.0,682.0,11264.0,45.0,57.63
2026-06-05T12:31:16.793032+00:00,0,31.0,822.0,11264.0,46.0,61.83
2026-06-05T12:31:16.793052+00:00,1,0.0,458.0,11264.0,43.0,9.22
2026-06-05T12:31:31.835574+00:00,0,0.0,150.0,11264.0,49.0,72.85
2026-06-05T12:31:31.835596+00:00,1,0.0,10.0,11264.0,45.0,12.69
2026-06-05T12:31:46.869278+00:00,0,0.0,150.0,11264.0,50.0,73.32
2026-06-05T12:31:46.869299+00:00,1,0.0,10.0,11264.0,41.0,8.66
2026-06-05T12:32:01.898333+00:00,0,0.0,374.0,11264.0,52.0,73.99
2026-06-05T12:32:01.898351+00:00,1,23.0,682.0,11264.0,45.0,58.97
2026-06-05T12:32:16.930141+00:00,0,0.0,1046.0,11264.0,51.0,61.14
2026-06-05T12:32:16.930162+00:00,1,0.0,906.0,11264.0,47.0,57.31
2026-06-05T12:32:31.961811+00:00,0,0.0,1046.0,11264.0,50.0,55.14
2026-06-05T12:32:31.961830+00:00,1,0.0,682.0,11264.0,45.0,13.56
2026-06-05T12:32:46.991570+00:00,0,23.0,822.0,11264.0,49.0,62.58
2026-06-05T12:32:46.991590+00:00,1,0.0,458.0,11264.0,45.0,57.53
2026-06-05T12:33:02.021475+00:00,0,0.0,150.0,11264.0,49.0,56.64
