event,monotonic,wall,verdict,new_t0,collector_restart,listener_rc,fusion_rc
FORMAL_LISTENER_START,196464.502854138,2026-08-11T00:13:50.517+02:00,,,,,
FORMAL_FUSION_START,196469.487307,2026-08-11T00:13:55.501+02:00,,,,,
T0,196469.533385283,2026-08-11T00:13:55.548+02:00,,,,,
SMOKE_INTERVAL_START,196469.533385283,2026-08-11T00:13:55.548+02:00,,,,,
SMOKE_INTERVAL_END,197069.533385283,2026-08-11T00:23:55.548+02:00,SMOKE_RECORDED_MINIMUM_CAPTURE_CONTINUES,,,,
CONTINUOUS_LONG_CAPTURE,197069.533385283,2026-08-11T00:23:55.548+02:00,,False,False,,
FINAL_FLUSHED_FUSION_RECORD,219445.270746,2026-08-11T06:36:51.285+02:00,,,,,
OPERATOR_STOP_REQUEST_AND_COLLECTOR_SIGINT,219445.27086054,2026-08-11T06:36:51.286+02:00,,,,,
