board,field,last_value,timestamp,explicitly_observed,confidence
BSF3C79,uptime/node_ms,25785515,219444.308769,True,high
BSF3C79,reset_reason,1,219444.308769,True,high
BSF3C79,boot_counter,,,False,unavailable
BSF3C79,recovery_reset_count,,,False,unavailable
BSF3C79,recovery_cause,,,False,unavailable
BSF3C79,recovery_frozen_ms,,,False,unavailable
BSF3C79,reset_intent,,,False,unavailable
BSF3C79,watchdog_witness,,,False,unavailable
BSF3C79,v45_corpse_present,,,False,unavailable
BSFC2CC,uptime/node_ms,25785521,219444.568144,True,high
BSFC2CC,reset_reason,0,219444.568144,True,high
BSFC2CC,boot_counter,,,False,unavailable
BSFC2CC,recovery_reset_count,,,False,unavailable
BSFC2CC,recovery_cause,,,False,unavailable
BSFC2CC,recovery_frozen_ms,,,False,unavailable
BSFC2CC,reset_intent,,,False,unavailable
BSFC2CC,watchdog_witness,,,False,unavailable
BSFC2CC,v45_corpse_present,,,False,unavailable
BSF44AD,uptime/node_ms,25785511,219444.542712,True,high
BSF44AD,reset_reason,1,219444.542712,True,high
BSF44AD,boot_counter,,,False,unavailable
BSF44AD,recovery_reset_count,,,False,unavailable
BSF44AD,recovery_cause,,,False,unavailable
BSF44AD,recovery_frozen_ms,,,False,unavailable
BSF44AD,reset_intent,,,False,unavailable
BSF44AD,watchdog_witness,,,False,unavailable
BSF44AD,v45_corpse_present,,,False,unavailable
BSF6C53,uptime/node_ms,26179766,219444.422968,True,high
BSF6C53,reset_reason,1,219444.422968,True,high
BSF6C53,boot_counter,,,False,unavailable
BSF6C53,recovery_reset_count,,,False,unavailable
BSF6C53,recovery_cause,,,False,unavailable
BSF6C53,recovery_frozen_ms,,,False,unavailable
BSF6C53,reset_intent,,,False,unavailable
BSF6C53,watchdog_witness,,,False,unavailable
BSF6C53,v45_corpse_present,,,False,unavailable
BSF8BC4,uptime/node_ms,25784514,219445.038794,True,high
BSF8BC4,reset_reason,1,219445.038794,True,high
BSF8BC4,boot_counter,,,False,unavailable
BSF8BC4,recovery_reset_count,,,False,unavailable
BSF8BC4,recovery_cause,,,False,unavailable
BSF8BC4,recovery_frozen_ms,,,False,unavailable
BSF8BC4,reset_intent,,,False,unavailable
BSF8BC4,watchdog_witness,,,False,unavailable
BSF8BC4,v45_corpse_present,,,False,unavailable
BSF1120,uptime/node_ms,25785529,219444.578491,True,high
BSF1120,reset_reason,1,219444.578491,True,high
BSF1120,boot_counter,,,False,unavailable
BSF1120,recovery_reset_count,,,False,unavailable
BSF1120,recovery_cause,,,False,unavailable
BSF1120,recovery_frozen_ms,,,False,unavailable
BSF1120,reset_intent,,,False,unavailable
BSF1120,watchdog_witness,,,False,unavailable
BSF1120,v45_corpse_present,,,False,unavailable
BSF31CC,uptime/node_ms,25782518,219444.656038,True,high
BSF31CC,reset_reason,0,219444.656038,True,high
BSF31CC,boot_counter,,,False,unavailable
BSF31CC,recovery_reset_count,,,False,unavailable
BSF31CC,recovery_cause,,,False,unavailable
BSF31CC,recovery_frozen_ms,,,False,unavailable
BSF31CC,reset_intent,,,False,unavailable
BSF31CC,watchdog_witness,,,False,unavailable
BSF31CC,v45_corpse_present,,,False,unavailable
BSFAA61,uptime/node_ms,25783516,219444.348578,True,high
BSFAA61,reset_reason,1,219444.348578,True,high
BSFAA61,boot_counter,,,False,unavailable
BSFAA61,recovery_reset_count,,,False,unavailable
BSFAA61,recovery_cause,,,False,unavailable
BSFAA61,recovery_frozen_ms,,,False,unavailable
BSFAA61,reset_intent,,,False,unavailable
BSFAA61,watchdog_witness,,,False,unavailable
BSFAA61,v45_corpse_present,,,False,unavailable
BSFB165,uptime/node_ms,25783518,219444.412963,True,high
BSFB165,reset_reason,0,219444.412963,True,high
BSFB165,boot_counter,,,False,unavailable
BSFB165,recovery_reset_count,,,False,unavailable
BSFB165,recovery_cause,,,False,unavailable
BSFB165,recovery_frozen_ms,,,False,unavailable
BSFB165,reset_intent,,,False,unavailable
BSFB165,watchdog_witness,,,False,unavailable
BSFB165,v45_corpse_present,,,False,unavailable
BSFEC35,uptime/node_ms,25786516,219445.133226,True,high
BSFEC35,reset_reason,0,219445.133226,True,high
BSFEC35,boot_counter,,,False,unavailable
BSFEC35,recovery_reset_count,,,False,unavailable
BSFEC35,recovery_cause,,,False,unavailable
BSFEC35,recovery_frozen_ms,,,False,unavailable
BSFEC35,reset_intent,,,False,unavailable
BSFEC35,watchdog_witness,,,False,unavailable
BSFEC35,v45_corpse_present,,,False,unavailable
