window_s,window_index,start_monotonic,start_wall,node,fusion_imu_hz,fusion_uwb_hz,listener_deduplicated_observed_hz,telemetry_hz,qos_hz,control_hz,LAE_hz,LBF_hz,LDH_hz,LLOW_hz,LMID_hz
60,0,196469.533385283,2026-08-11T00:13:55.548+02:00,BSF3C79,200.5,8.35,8.333333333333334,1.0,1.0166666666666666,1.0,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334
60,0,196469.533385283,2026-08-11T00:13:55.548+02:00,BSFC2CC,200.5,8.35,0.03333333333333333,1.0166666666666666,1.0166666666666666,1.0,0.0,0.016666666666666666,0.0,0.016666666666666666,0.0
60,0,196469.533385283,2026-08-11T00:13:55.548+02:00,BSF44AD,200.33333333333334,8.333333333333334,0.38333333333333336,1.0,1.0166666666666666,1.0,0.25,0.016666666666666666,0.06666666666666667,0.0,0.05
60,0,196469.533385283,2026-08-11T00:13:55.548+02:00,BSF6C53,200.5,7.483333333333333,7.45,1.0,1.0,1.0,0.35,7.316666666666666,5.266666666666667,6.983333333333333,3.65
60,0,196469.533385283,2026-08-11T00:13:55.548+02:00,BSF8BC4,200.33333333333334,8.333333333333334,8.333333333333334,1.0,1.0166666666666666,1.0,7.3,8.216666666666667,7.666666666666667,8.033333333333333,7.35
60,0,196469.533385283,2026-08-11T00:13:55.548+02:00,BSF1120,200.5,8.333333333333334,7.4,1.0,1.0,1.0,6.966666666666667,0.0,3.533333333333333,0.13333333333333333,5.133333333333334
60,0,196469.533385283,2026-08-11T00:13:55.548+02:00,BSF31CC,200.33333333333334,8.35,2.966666666666667,1.0,1.0166666666666666,1.0,2.5833333333333335,0.15,0.3,0.06666666666666667,0.11666666666666667
60,0,196469.533385283,2026-08-11T00:13:55.548+02:00,BSFAA61,200.5,8.366666666666667,1.1833333333333333,1.0,1.0166666666666666,1.0,0.25,1.0333333333333334,0.7833333333333333,0.85,0.6833333333333333
60,0,196469.533385283,2026-08-11T00:13:55.548+02:00,BSFB165,200.35,8.366666666666667,5.266666666666667,1.0,1.0166666666666666,1.0,0.85,2.466666666666667,1.3,1.1166666666666667,1.4
60,0,196469.533385283,2026-08-11T00:13:55.548+02:00,BSFEC35,200.33333333333334,8.35,2.533333333333333,1.0,1.0166666666666666,1.0,0.8166666666666667,1.35,0.95,1.45,1.05
60,1,196529.533385283,2026-08-11T00:14:55.548+02:00,BSF3C79,200.0,8.333333333333334,8.333333333333334,1.0,1.0,1.0,8.333333333333334,8.316666666666666,8.333333333333334,8.333333333333334,8.333333333333334
60,1,196529.533385283,2026-08-11T00:14:55.548+02:00,BSFC2CC,199.91666666666666,8.333333333333334,0.05,1.0,1.0,1.0,0.016666666666666666,0.0,0.0,0.0,0.03333333333333333
60,1,196529.533385283,2026-08-11T00:14:55.548+02:00,BSF44AD,200.0,8.333333333333334,0.5,1.0,1.0,1.0,0.3,0.13333333333333333,0.016666666666666666,0.0,0.05
60,1,196529.533385283,2026-08-11T00:14:55.548+02:00,BSF6C53,200.0,7.316666666666666,7.25,1.0,1.0,1.0,0.7333333333333333,7.083333333333333,5.283333333333333,6.9,4.116666666666666
60,1,196529.533385283,2026-08-11T00:14:55.548+02:00,BSF8BC4,199.83333333333334,8.333333333333334,8.333333333333334,1.0,1.0,1.0,7.683333333333334,8.133333333333333,7.766666666666667,8.083333333333334,7.383333333333334
60,1,196529.533385283,2026-08-11T00:14:55.548+02:00,BSF1120,200.16666666666666,8.333333333333334,7.016666666666667,1.0,1.0,1.0,6.783333333333333,0.0,2.1666666666666665,0.016666666666666666,3.5833333333333335
60,1,196529.533385283,2026-08-11T00:14:55.548+02:00,BSF31CC,200.0,8.333333333333334,1.8833333333333333,1.0,1.0,1.0,1.3166666666666667,0.31666666666666665,0.13333333333333333,0.08333333333333333,0.13333333333333333
60,1,196529.533385283,2026-08-11T00:14:55.548+02:00,BSFAA61,200.0,8.333333333333334,1.2833333333333334,1.0,1.0,1.0,0.5333333333333333,1.0666666666666667,0.8666666666666667,0.9666666666666667,0.7833333333333333
60,1,196529.533385283,2026-08-11T00:14:55.548+02:00,BSFB165,199.86666666666667,8.333333333333334,5.683333333333334,1.0,1.0,1.0,0.8333333333333334,3.85,1.0333333333333334,1.0,1.6166666666666667
60,1,196529.533385283,2026-08-11T00:14:55.548+02:00,BSFEC35,200.0,8.333333333333334,2.8,1.0,1.0,1.0,1.0,1.2333333333333334,1.1,1.4833333333333334,1.3833333333333333
60,2,196589.533385283,2026-08-11T00:15:55.548+02:00,BSF3C79,200.0,8.333333333333334,8.333333333333334,1.0,0.9833333333333333,1.0,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334
60,2,196589.533385283,2026-08-11T00:15:55.548+02:00,BSFC2CC,199.98333333333332,8.333333333333334,0.05,1.0,0.9833333333333333,1.0,0.0,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.0
60,2,196589.533385283,2026-08-11T00:15:55.548+02:00,BSF44AD,200.0,8.333333333333334,0.6,1.0,0.9833333333333333,1.0,0.38333333333333336,0.06666666666666667,0.0,0.03333333333333333,0.11666666666666667
60,2,196589.533385283,2026-08-11T00:15:55.548+02:00,BSF6C53,200.0,7.466666666666667,7.45,1.0,0.9833333333333333,1.0,0.45,7.35,5.466666666666667,6.933333333333334,4.0
60,2,196589.533385283,2026-08-11T00:15:55.548+02:00,BSF8BC4,200.0,8.333333333333334,8.333333333333334,1.0,0.9833333333333333,1.0,7.35,8.216666666666667,8.016666666666667,7.95,7.233333333333333
60,2,196589.533385283,2026-08-11T00:15:55.548+02:00,BSF1120,199.83333333333334,8.333333333333334,7.3,1.0,0.9833333333333333,1.0,7.016666666666667,0.0,2.9166666666666665,0.08333333333333333,4.416666666666667
60,2,196589.533385283,2026-08-11T00:15:55.548+02:00,BSF31CC,200.0,8.333333333333334,3.05,1.0,0.9833333333333333,1.0,2.5166666666666666,0.2,0.2833333333333333,0.1,0.2
60,2,196589.533385283,2026-08-11T00:15:55.548+02:00,BSFAA61,200.0,8.333333333333334,1.45,1.0,0.9833333333333333,1.0,0.36666666666666664,1.1833333333333333,0.75,0.8,0.5166666666666667
60,2,196589.533385283,2026-08-11T00:15:55.548+02:00,BSFB165,200.0,8.333333333333334,5.233333333333333,1.0,0.9833333333333333,1.0,0.75,2.716666666666667,0.95,0.8833333333333333,1.9166666666666667
60,2,196589.533385283,2026-08-11T00:15:55.548+02:00,BSFEC35,200.0,8.333333333333334,2.3666666666666667,1.0,0.9833333333333333,1.0,0.8333333333333334,1.2333333333333334,0.9833333333333333,1.1833333333333333,1.05
60,3,196649.533385283,2026-08-11T00:16:55.548+02:00,BSF3C79,199.88333333333333,8.333333333333334,8.333333333333334,1.0,1.0,1.0,8.333333333333334,8.316666666666666,8.333333333333334,8.333333333333334,8.333333333333334
60,3,196649.533385283,2026-08-11T00:16:55.548+02:00,BSFC2CC,200.0,8.333333333333334,0.03333333333333333,1.0,1.0,1.0,0.0,0.016666666666666666,0.016666666666666666,0.0,0.0
60,3,196649.533385283,2026-08-11T00:16:55.548+02:00,BSF44AD,200.0,8.333333333333334,0.43333333333333335,1.0,1.0,1.0,0.31666666666666665,0.05,0.016666666666666666,0.016666666666666666,0.03333333333333333
60,3,196649.533385283,2026-08-11T00:16:55.548+02:00,BSF6C53,200.0,7.65,7.6,1.0,1.0,1.0,0.4666666666666667,7.466666666666667,5.366666666666666,7.15,4.15
60,3,196649.533385283,2026-08-11T00:16:55.548+02:00,BSF8BC4,200.0,8.333333333333334,8.333333333333334,1.0,1.0,1.0,7.3,8.166666666666666,7.633333333333334,8.066666666666666,7.5
60,3,196649.533385283,2026-08-11T00:16:55.548+02:00,BSF1120,199.83333333333334,8.333333333333334,7.45,1.0,1.0,1.0,7.016666666666667,0.0,2.683333333333333,0.1,4.816666666666666
60,3,196649.533385283,2026-08-11T00:16:55.548+02:00,BSF31CC,200.0,8.333333333333334,2.533333333333333,1.0,1.0,1.0,2.066666666666667,0.21666666666666667,0.31666666666666665,0.05,0.11666666666666667
60,3,196649.533385283,2026-08-11T00:16:55.548+02:00,BSFAA61,200.0,8.333333333333334,1.1666666666666667,1.0,1.0,1.0,0.3,0.9833333333333333,0.48333333333333334,0.6666666666666666,0.4
60,3,196649.533385283,2026-08-11T00:16:55.548+02:00,BSFB165,200.0,8.333333333333334,4.966666666666667,1.0,1.0,1.0,0.7166666666666667,2.65,1.2166666666666666,0.9333333333333333,1.55
60,3,196649.533385283,2026-08-11T00:16:55.548+02:00,BSFEC35,200.0,8.333333333333334,2.25,1.0,1.0,1.0,0.6666666666666666,1.1,0.8666666666666667,1.2166666666666666,0.7666666666666667
60,4,196709.533385283,2026-08-11T00:17:55.548+02:00,BSF3C79,200.0,8.333333333333334,8.333333333333334,1.0,1.0,1.0,8.333333333333334,8.316666666666666,8.333333333333334,8.333333333333334,8.333333333333334
60,4,196709.533385283,2026-08-11T00:17:55.548+02:00,BSFC2CC,200.0,8.333333333333334,0.016666666666666666,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.016666666666666666
60,4,196709.533385283,2026-08-11T00:17:55.548+02:00,BSF44AD,199.83333333333334,8.333333333333334,0.4,1.0,1.0,1.0,0.26666666666666666,0.05,0.0,0.03333333333333333,0.05
60,4,196709.533385283,2026-08-11T00:17:55.548+02:00,BSF6C53,200.0,8.333333333333334,8.316666666666666,1.0,1.0,1.0,0.5,8.216666666666667,6.383333333333334,7.883333333333334,4.266666666666667
60,4,196709.533385283,2026-08-11T00:17:55.548+02:00,BSF8BC4,199.68333333333334,8.333333333333334,8.333333333333334,1.0,1.0,1.0,7.333333333333333,8.25,7.883333333333334,8.0,7.033333333333333
60,4,196709.533385283,2026-08-11T00:17:55.548+02:00,BSF1120,200.33333333333334,8.333333333333334,8.116666666666667,1.0,1.0,1.0,7.7,0.0,2.8333333333333335,0.03333333333333333,5.066666666666666
60,4,196709.533385283,2026-08-11T00:17:55.548+02:00,BSF31CC,200.0,8.333333333333334,3.9,1.0,1.0,1.0,3.55,0.1,0.26666666666666666,0.0,0.26666666666666666
60,4,196709.533385283,2026-08-11T00:17:55.548+02:00,BSFAA61,200.0,8.333333333333334,0.5333333333333333,1.0,1.0,1.0,0.05,0.31666666666666665,0.016666666666666666,0.05,0.1
60,4,196709.533385283,2026-08-11T00:17:55.548+02:00,BSFB165,200.0,8.333333333333334,5.516666666666667,1.0,1.0,1.0,0.18333333333333332,3.65,0.9833333333333333,1.1666666666666667,1.5
60,4,196709.533385283,2026-08-11T00:17:55.548+02:00,BSFEC35,199.83333333333334,8.333333333333334,1.9,1.0,1.0,1.0,0.016666666666666666,0.9666666666666667,0.16666666666666666,0.6,0.3
60,5,196769.533385283,2026-08-11T00:18:55.548+02:00,BSF3C79,199.85,8.333333333333334,8.333333333333334,1.0,0.9833333333333333,1.0,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334
60,5,196769.533385283,2026-08-11T00:18:55.548+02:00,BSFC2CC,200.0,8.333333333333334,0.03333333333333333,1.0,0.9833333333333333,1.0,0.016666666666666666,0.0,0.016666666666666666,0.0,0.0
60,5,196769.533385283,2026-08-11T00:18:55.548+02:00,BSF44AD,200.16666666666666,8.333333333333334,0.38333333333333336,1.0,0.9833333333333333,1.0,0.2,0.08333333333333333,0.05,0.016666666666666666,0.06666666666666667
60,5,196769.533385283,2026-08-11T00:18:55.548+02:00,BSF6C53,200.0,8.333333333333334,8.3,1.0,0.9833333333333333,1.0,0.4166666666666667,8.15,6.166666666666667,7.966666666666667,4.416666666666667
60,5,196769.533385283,2026-08-11T00:18:55.548+02:00,BSF8BC4,200.33333333333334,8.333333333333334,8.333333333333334,1.0,0.9833333333333333,1.0,7.7,8.133333333333333,7.583333333333333,8.133333333333333,7.466666666666667
60,5,196769.533385283,2026-08-11T00:18:55.548+02:00,BSF1120,199.88333333333333,8.333333333333334,8.1,1.0,0.9833333333333333,1.0,7.733333333333333,0.016666666666666666,2.1166666666666667,0.08333333333333333,5.133333333333334
60,5,196769.533385283,2026-08-11T00:18:55.548+02:00,BSF31CC,199.86666666666667,8.333333333333334,2.4166666666666665,1.0,0.9833333333333333,1.0,1.9333333333333333,0.1,0.31666666666666665,0.0,0.3
60,5,196769.533385283,2026-08-11T00:18:55.548+02:00,BSFAA61,199.83333333333334,8.316666666666666,0.7,1.0,0.9833333333333333,1.0,0.15,0.45,0.06666666666666667,0.0,0.05
60,5,196769.533385283,2026-08-11T00:18:55.548+02:00,BSFB165,200.0,8.333333333333334,5.083333333333333,1.0,0.9833333333333333,1.0,0.2833333333333333,3.1166666666666667,1.3,0.8833333333333333,1.3833333333333333
60,5,196769.533385283,2026-08-11T00:18:55.548+02:00,BSFEC35,200.0,8.333333333333334,1.7666666666666666,1.0,0.9833333333333333,1.0,0.03333333333333333,0.9166666666666666,0.3333333333333333,0.4,0.26666666666666666
60,6,196829.533385283,2026-08-11T00:19:55.548+02:00,BSF3C79,199.66666666666666,8.333333333333334,8.333333333333334,1.0,1.0,1.0,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334
60,6,196829.533385283,2026-08-11T00:19:55.548+02:00,BSFC2CC,200.0,8.333333333333334,0.03333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.016666666666666666,0.016666666666666666
60,6,196829.533385283,2026-08-11T00:19:55.548+02:00,BSF44AD,200.0,8.333333333333334,0.31666666666666665,1.0,1.0,1.0,0.1,0.05,0.06666666666666667,0.03333333333333333,0.06666666666666667
60,6,196829.533385283,2026-08-11T00:19:55.548+02:00,BSF6C53,200.0,8.333333333333334,8.266666666666667,1.0,1.0,1.0,0.31666666666666665,8.2,6.016666666666667,7.916666666666667,4.25
60,6,196829.533385283,2026-08-11T00:19:55.548+02:00,BSF8BC4,199.83333333333334,8.333333333333334,8.333333333333334,1.0,1.0,1.0,7.7,8.233333333333333,7.7,8.116666666666667,7.066666666666666
60,6,196829.533385283,2026-08-11T00:19:55.548+02:00,BSF1120,199.66666666666666,8.316666666666666,8.183333333333334,1.0,1.0,1.0,7.916666666666667,0.0,2.6166666666666667,0.06666666666666667,4.933333333333334
60,6,196829.533385283,2026-08-11T00:19:55.548+02:00,BSF31CC,200.0,8.333333333333334,2.5,1.0,1.0,1.0,2.1333333333333333,0.016666666666666666,0.2,0.0,0.25
60,6,196829.533385283,2026-08-11T00:19:55.548+02:00,BSFAA61,199.83333333333334,8.333333333333334,0.6,1.0,1.0,1.0,0.03333333333333333,0.4,0.08333333333333333,0.05,0.03333333333333333
60,6,196829.533385283,2026-08-11T00:19:55.548+02:00,BSFB165,200.0,8.333333333333334,5.633333333333334,1.0,1.0,1.0,0.15,3.9833333333333334,0.9666666666666667,1.0,1.7
60,6,196829.533385283,2026-08-11T00:19:55.548+02:00,BSFEC35,199.83333333333334,8.316666666666666,1.9,1.0,1.0,1.0,0.016666666666666666,0.85,0.2833333333333333,0.6166666666666667,0.3
60,7,196889.533385283,2026-08-11T00:20:55.548+02:00,BSF3C79,199.81666666666666,8.333333333333334,8.333333333333334,1.0,1.0,1.0,8.333333333333334,8.316666666666666,8.333333333333334,8.333333333333334,8.333333333333334
60,7,196889.533385283,2026-08-11T00:20:55.548+02:00,BSFC2CC,200.0,8.333333333333334,0.016666666666666666,1.0,1.0,1.0,0.016666666666666666,0.0,0.0,0.0,0.0
60,7,196889.533385283,2026-08-11T00:20:55.548+02:00,BSF44AD,200.0,8.333333333333334,0.4666666666666667,1.0,1.0,1.0,0.18333333333333332,0.15,0.03333333333333333,0.05,0.1
60,7,196889.533385283,2026-08-11T00:20:55.548+02:00,BSF6C53,200.0,8.333333333333334,8.2,1.0,1.0,1.0,0.31666666666666665,8.066666666666666,5.783333333333333,7.733333333333333,4.35
60,7,196889.533385283,2026-08-11T00:20:55.548+02:00,BSF8BC4,199.83333333333334,8.333333333333334,8.333333333333334,1.0,1.0,1.0,7.883333333333334,8.1,7.616666666666666,8.0,7.416666666666667
60,7,196889.533385283,2026-08-11T00:20:55.548+02:00,BSF1120,200.16666666666666,8.35,8.1,1.0,1.0,1.0,7.933333333333334,0.0,3.716666666666667,0.11666666666666667,5.25
60,7,196889.533385283,2026-08-11T00:20:55.548+02:00,BSF31CC,200.0,8.333333333333334,2.066666666666667,1.0,1.0,1.0,1.5166666666666666,0.05,0.2833333333333333,0.03333333333333333,0.23333333333333334
60,7,196889.533385283,2026-08-11T00:20:55.548+02:00,BSFAA61,200.33333333333334,8.35,0.7,1.0,1.0,1.0,0.03333333333333333,0.5166666666666667,0.05,0.05,0.05
60,7,196889.533385283,2026-08-11T00:20:55.548+02:00,BSFB165,200.0,8.333333333333334,4.6,1.0,1.0,1.0,0.11666666666666667,2.7333333333333334,0.85,1.2166666666666666,1.4
60,7,196889.533385283,2026-08-11T00:20:55.548+02:00,BSFEC35,200.16666666666666,8.35,2.15,1.0,1.0,1.0,0.016666666666666666,0.95,0.26666666666666666,0.7,0.43333333333333335
60,8,196949.533385283,2026-08-11T00:21:55.548+02:00,BSF3C79,200.5,8.333333333333334,8.333333333333334,1.0,0.9833333333333333,1.0,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334
60,8,196949.533385283,2026-08-11T00:21:55.548+02:00,BSFC2CC,200.0,8.333333333333334,0.016666666666666666,1.0,0.9833333333333333,1.0,0.0,0.0,0.0,0.0,0.016666666666666666
60,8,196949.533385283,2026-08-11T00:21:55.548+02:00,BSF44AD,200.0,8.333333333333334,0.26666666666666666,1.0,0.9833333333333333,1.0,0.15,0.0,0.0,0.03333333333333333,0.08333333333333333
60,8,196949.533385283,2026-08-11T00:21:55.548+02:00,BSF6C53,200.0,8.333333333333334,8.333333333333334,1.0,0.9833333333333333,1.0,0.35,8.233333333333333,5.8,7.85,4.416666666666667
60,8,196949.533385283,2026-08-11T00:21:55.548+02:00,BSF8BC4,200.16666666666666,8.333333333333334,8.333333333333334,1.0,0.9833333333333333,1.0,7.85,8.216666666666667,7.533333333333333,7.95,7.316666666666666
60,8,196949.533385283,2026-08-11T00:21:55.548+02:00,BSF1120,200.0,8.333333333333334,8.183333333333334,1.0,0.9833333333333333,1.0,7.833333333333333,0.0,3.7333333333333334,0.05,4.633333333333334
60,8,196949.533385283,2026-08-11T00:21:55.548+02:00,BSF31CC,200.0,8.333333333333334,1.8,1.0,0.9833333333333333,1.0,1.3666666666666667,0.08333333333333333,0.26666666666666666,0.03333333333333333,0.2
60,8,196949.533385283,2026-08-11T00:21:55.548+02:00,BSFAA61,200.0,8.333333333333334,0.6833333333333333,1.0,0.9833333333333333,1.0,0.08333333333333333,0.4166666666666667,0.06666666666666667,0.05,0.1
60,8,196949.533385283,2026-08-11T00:21:55.548+02:00,BSFB165,199.83333333333334,8.316666666666666,5.016666666666667,1.0,0.9833333333333333,1.0,0.2,3.066666666666667,1.1166666666666667,1.0833333333333333,1.7166666666666666
60,8,196949.533385283,2026-08-11T00:21:55.548+02:00,BSFEC35,200.0,8.333333333333334,1.9833333333333334,1.0,0.9833333333333333,1.0,0.03333333333333333,0.8,0.15,0.7,0.5666666666666667
60,9,197009.533385283,2026-08-11T00:22:55.548+02:00,BSF3C79,200.0,8.333333333333334,8.333333333333334,1.0,1.0,1.0,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334
60,9,197009.533385283,2026-08-11T00:22:55.548+02:00,BSFC2CC,199.83333333333334,8.333333333333334,0.05,1.0,1.0,1.0,0.016666666666666666,0.0,0.016666666666666666,0.0,0.016666666666666666
60,9,197009.533385283,2026-08-11T00:22:55.548+02:00,BSF44AD,200.0,8.333333333333334,0.35,1.0,1.0,1.0,0.18333333333333332,0.05,0.06666666666666667,0.0,0.05
60,9,197009.533385283,2026-08-11T00:22:55.548+02:00,BSF6C53,200.0,8.333333333333334,8.266666666666667,1.0,1.0,1.0,0.45,8.166666666666666,5.733333333333333,7.816666666666666,4.366666666666666
